Team,Over Record,Over %,Under %,Total +/-
Sam Hous St,1-0-0,100.0%,0.0%,+21.0
Michigan,1-0-0,100.0%,0.0%,+10.5
Georgia St,1-0-0,100.0%,0.0%,+18.0
Rhode Island,1-0-0,100.0%,0.0%,+17.5
E Carolina,1-0-0,100.0%,0.0%,+18.5
App State,1-0-0,100.0%,0.0%,+5.5
BYU,2-0-0,100.0%,0.0%,+13.3
N Carolina,1-0-0,100.0%,0.0%,+20.5
Tennessee,2-0-0,100.0%,0.0%,+19.0
N Alabama,4-0-0,100.0%,0.0%,+15.6
Indiana St,1-0-0,100.0%,0.0%,+28.5
N Arizona,1-0-0,100.0%,0.0%,+8.5
E Tenn St,2-0-0,100.0%,0.0%,+6.3
Syracuse,1-0-0,100.0%,0.0%,+47.5
Navy,2-0-0,100.0%,0.0%,+29.5
Liberty,1-0-0,100.0%,0.0%,+3.5
Delaware,1-0-0,100.0%,0.0%,+10.5
Samford,2-0-0,100.0%,0.0%,+18.8
San Diego,2-0-0,100.0%,0.0%,+5.0
Oral Roberts,1-0-0,100.0%,0.0%,+16.0
TN Martin,1-0-0,100.0%,0.0%,+5.0
La Salle,2-0-0,100.0%,0.0%,+6.8
Arizona St,4-0-0,100.0%,0.0%,+12.1
Mass Lowell,1-0-0,100.0%,0.0%,+19.5
Ohio,2-0-0,100.0%,0.0%,+7.8
SE Missouri,1-0-0,100.0%,0.0%,+23.5
Illinois St,1-0-0,100.0%,0.0%,+6.0
Radford,3-0-0,100.0%,0.0%,+22.0
St Marys,1-0-0,100.0%,0.0%,+22.0
Cornell,2-0-1,100.0%,0.0%,+6.5
N Florida,2-0-0,100.0%,0.0%,+25.5
Utah St,1-0-0,100.0%,0.0%,+31.0
U Penn,2-0-1,100.0%,0.0%,+12.3
UAB,1-0-1,100.0%,0.0%,+14.3
Winthrop,1-0-0,100.0%,0.0%,+11.5
Oklahoma St,1-0-0,100.0%,0.0%,+1.5
Boise St,1-0-0,100.0%,0.0%,+12.0
Wm & Mary,3-0-0,100.0%,0.0%,+10.2
TX Southern,1-0-0,100.0%,0.0%,+8.0
Idaho,2-0-0,100.0%,0.0%,+5.5
Sacred Hrt,1-0-0,100.0%,0.0%,+15.5
San Jose St,2-0-0,100.0%,0.0%,+6.5
CS Bakersfld,1-0-0,100.0%,0.0%,+27.5
Baylor,1-0-0,100.0%,0.0%,+21.0
Army,2-0-0,100.0%,0.0%,+31.0
Virginia,1-0-0,100.0%,0.0%,+2.0
Colorado,2-0-0,100.0%,0.0%,+18.5
Utah,1-0-0,100.0%,0.0%,+11.5
American,2-0-0,100.0%,0.0%,+14.0
TN State,3-0-0,100.0%,0.0%,+15.8
Stony Brook,3-0-0,100.0%,0.0%,+8.2
Niagara,2-0-0,100.0%,0.0%,+13.8
S Mississippi,1-0-0,100.0%,0.0%,+28.5
Manhattan,1-0-0,100.0%,0.0%,+13.0
Holy Cross,1-0-0,100.0%,0.0%,+17.5
LIU,1-0-0,100.0%,0.0%,+19.0
St Peters,2-0-0,100.0%,0.0%,+13.0
Davidson,1-0-0,100.0%,0.0%,+29.5
Texas Tech,1-0-0,100.0%,0.0%,+2.5
Cal St Nrdge,1-0-0,100.0%,0.0%,+4.0
S Dakota St,1-0-0,100.0%,0.0%,+13.0
Akron,1-0-0,100.0%,0.0%,+18.5
Wisconsin,3-0-0,100.0%,0.0%,+8.2
IL-Chicago,2-0-0,100.0%,0.0%,+23.3
N Dakota St,2-0-0,100.0%,0.0%,+16.8
Villanova,2-0-1,100.0%,0.0%,+6.7
Wyoming,1-0-1,100.0%,0.0%,+4.8
TX A&M-CC,1-0-0,100.0%,0.0%,+21.0
St. Thomas,1-0-0,100.0%,0.0%,+20.0
Fla Atlantic,2-0-0,100.0%,0.0%,+55.0
Rutgers,1-0-0,100.0%,0.0%,+31.0
Loyola-Chi,1-0-1,100.0%,0.0%,+5.8
Neb Omaha,1-0-0,100.0%,0.0%,+5.5
Utah Tech,1-0-0,100.0%,0.0%,+9.5
Miami (OH),1-0-0,100.0%,0.0%,+17.0
Bryant,2-0-0,100.0%,0.0%,+19.0
Charl South,3-1-0,75.0%,25.0%,+1.8
Yale,3-1-0,75.0%,25.0%,+12.1
S Methodist,3-1-0,75.0%,25.0%,+9.3
Coppin St,3-1-0,75.0%,25.0%,+5.1
Geo Mason,3-1-0,75.0%,25.0%,+9.0
Belmont,3-1-0,75.0%,25.0%,+4.9
Richmond,3-1-0,75.0%,25.0%,+0.9
Maryland,3-1-0,75.0%,25.0%,+2.0
IPFW,3-1-0,75.0%,25.0%,+12.1
Detroit,2-1-0,66.7%,33.3%,+4.3
Missouri,2-1-0,66.7%,33.3%,+2.0
Loyola-MD,2-1-0,66.7%,33.3%,-3.7
Tulsa,2-1-0,66.7%,33.3%,+20.3
Hofstra,2-1-0,66.7%,33.3%,+5.0
Kennesaw St,2-1-0,66.7%,33.3%,+4.2
GA Southern,2-1-0,66.7%,33.3%,+7.8
W Michigan,2-1-0,66.7%,33.3%,-0.7
Northwestern,2-1-0,66.7%,33.3%,+2.3
Maryland ES,2-1-0,66.7%,33.3%,+14.7
USC,2-1-0,66.7%,33.3%,+0.2
Pacific,2-1-0,66.7%,33.3%,-5.8
St Josephs,2-1-0,66.7%,33.3%,+6.7
S Carolina,2-1-0,66.7%,33.3%,+4.8
Morgan St,2-1-0,66.7%,33.3%,+5.0
Michigan St,2-1-0,66.7%,33.3%,+4.0
NC Central,2-1-0,66.7%,33.3%,+3.2
Bucknell,2-1-0,66.7%,33.3%,+17.0
Air Force,2-1-0,66.7%,33.3%,-3.2
Denver,2-1-0,66.7%,33.3%,+8.8
UCSD,2-1-0,66.7%,33.3%,+6.3
Colorado St,2-1-0,66.7%,33.3%,+6.0
Chicago St,2-1-0,66.7%,33.3%,-3.7
UCSB,2-1-0,66.7%,33.3%,+4.7
Bradley,2-1-0,66.7%,33.3%,+1.0
Cal Poly,2-1-0,66.7%,33.3%,+7.5
NJIT,2-1-0,66.7%,33.3%,-2.3
Harvard,2-1-0,66.7%,33.3%,+10.3
Bellarmine,2-1-0,66.7%,33.3%,+6.8
Miss State,1-1-0,50.0%,50.0%,+3.5
Ball St,1-1-0,50.0%,50.0%,+7.3
Mercer,1-1-0,50.0%,50.0%,-4.3
Middle Tenn,1-1-0,50.0%,50.0%,+3.0
Wash State,2-2-0,50.0%,50.0%,-6.1
Boston Col,1-1-0,50.0%,50.0%,+1.3
Chattanooga,2-2-0,50.0%,50.0%,+5.5
Old Dominion,1-1-0,50.0%,50.0%,+7.8
Weber St,1-1-0,50.0%,50.0%,-5.0
Central Mich,1-1-0,50.0%,50.0%,-5.0
Texas,1-1-1,50.0%,50.0%,+2.2
