Team,Over Record,Over %,Under %,Total +/-
Rutgers,5-1-0,83.3%,16.7%,+7.0
N Colorado,14-3-0,82.4%,17.7%,+9.4
S Utah,9-2-0,81.8%,18.2%,+13.3
W Carolina,9-2-0,81.8%,18.2%,+12.4
Clemson,9-2-0,81.8%,18.2%,+5.8
W Illinois,8-2-0,80.0%,20.0%,+8.9
Dayton,14-4-0,77.8%,22.2%,+7.0
E Michigan,3-1-0,75.0%,25.0%,+6.3
S Florida,6-2-0,75.0%,25.0%,+10.1
Wagner,6-2-0,75.0%,25.0%,+11.0
Syracuse,9-3-0,75.0%,25.0%,+7.8
Sac State,9-3-0,75.0%,25.0%,+11.2
Portland,11-4-0,73.3%,26.7%,+5.9
Morehead St,8-3-0,72.7%,27.3%,+5.5
Lamar,8-3-0,72.7%,27.3%,+8.7
Kentucky,8-3-0,72.7%,27.3%,+10.5
NW State,10-4-1,71.4%,28.6%,+3.2
Marshall,12-5-0,70.6%,29.4%,+2.3
Southern,7-3-0,70.0%,30.0%,+4.7
Buffalo,14-6-0,70.0%,30.0%,+3.3
Tennessee,16-7-0,69.6%,30.4%,+1.3
Arizona St,9-4-1,69.2%,30.8%,+4.0
Albany,9-4-0,69.2%,30.8%,+5.5
Hampton,13-6-1,68.4%,31.6%,+3.5
Oakland,21-10-0,67.7%,32.3%,+3.4
Minnesota,6-3-0,66.7%,33.3%,+6.4
Bellarmine,6-3-0,66.7%,33.3%,+2.4
Army,8-4-0,66.7%,33.3%,+5.3
Utah Valley,10-5-0,66.7%,33.3%,+8.1
Ohio,10-5-0,66.7%,33.3%,+4.9
Missouri,8-4-0,66.7%,33.3%,+3.2
DePaul,4-2-0,66.7%,33.3%,+11.8
TN Martin,6-3-0,66.7%,33.3%,+2.2
Austin Peay,10-5-0,66.7%,33.3%,+5.8
Tulsa,6-3-1,66.7%,33.3%,+0.9
Alabama,12-6-2,66.7%,33.3%,+4.8
UAB,20-10-1,66.7%,33.3%,+9.3
James Mad,12-6-0,66.7%,33.3%,+3.4
Charlotte,10-5-2,66.7%,33.3%,+2.3
Bucknell,6-3-0,66.7%,33.3%,+4.9
Florida,12-6-0,66.7%,33.3%,+6.5
Grd Canyon,13-7-0,65.0%,35.0%,+1.2
Marquette,11-6-0,64.7%,35.3%,+1.9
TX Southern,9-5-0,64.3%,35.7%,+5.4
Wm & Mary,9-5-0,64.3%,35.7%,+5.9
Kennesaw St,9-5-0,64.3%,35.7%,+3.3
F Dickinson,7-4-0,63.6%,36.4%,+10.4
