Team,ATS Record,Cover %,MOV,ATS +/-
N Iowa,1-0-0,100.0%,-6.0,+1.5
Tennessee,1-0-0,100.0%,22.0,+24.5
U Mass,1-0-0,100.0%,-6.0,+3.0
St Peters,4-0-0,100.0%,-3.3,+6.4
NC-Grnsboro,2-0-0,100.0%,-12.0,+3.8
Grambling St,3-0-0,100.0%,-16.0,+8.3
E Kentucky,3-0-0,100.0%,3.7,+12.7
Delaware,1-0-0,100.0%,6.0,+12.5
Sac State,1-0-1,100.0%,-8.5,+1.3
LA Tech,1-0-0,100.0%,15.0,+16.5
Cincinnati,1-0-0,100.0%,16.0,+2.5
Air Force,1-0-0,100.0%,-9.0,+6.5
Citadel,1-0-0,100.0%,-9.0,+7.5
Detroit,2-0-0,100.0%,-5.5,+12.3
SE Louisiana,3-0-0,100.0%,-9.3,+5.7
Loyola-Chi,1-0-0,100.0%,5.0,+7.0
Illinois St,1-0-0,100.0%,9.0,+12.5
W Kentucky,1-0-0,100.0%,-2.0,+10.5
Gard-Webb,4-0-0,100.0%,-8.8,+5.4
Alabama St,1-0-1,100.0%,-13.5,+3.0
S Illinois,1-0-0,100.0%,-7.0,+5.0
NW State,3-0-0,100.0%,-13.0,+9.7
Idaho St,5-0-0,100.0%,-3.2,+11.2
Kent St,1-0-1,100.0%,-9.5,+1.0
St Bonavent,2-0-0,100.0%,9.0,+3.8
N Carolina,1-0-0,100.0%,-3.0,+5.0
S Alabama,2-0-0,100.0%,-2.0,+9.5
NC A&T,3-0-0,100.0%,-4.0,+10.8
Liberty,2-0-0,100.0%,11.5,+14.8
Florida,1-0-0,100.0%,13.0,+7.5
UC Irvine,2-0-0,100.0%,17.5,+18.8
Buffalo,3-0-0,100.0%,-6.3,+10.7
Col Charlestn,1-0-0,100.0%,15.0,+3.0
Elon,3-0-0,100.0%,4.0,+14.0
WI-Grn Bay,3-0-0,100.0%,-4.3,+7.3
TX A&M-CC,2-0-0,100.0%,-9.0,+5.8
Portland,2-0-0,100.0%,-4.0,+11.8
TN Tech,2-0-0,100.0%,-8.0,+16.8
Bucknell,3-0-0,100.0%,-3.3,+6.2
Hsn Christian,2-0-0,100.0%,-33.0,+1.5
Arizona St,1-0-0,100.0%,-8.0,+13.5
Kennesaw St,1-0-0,100.0%,-4.0,+6.5
Marquette,1-0-0,100.0%,4.0,+6.5
UCSD,1-0-0,100.0%,-5.0,+5.5
LSU,1-0-0,100.0%,11.0,+20.0
LIU,2-0-1,100.0%,-11.3,+7.8
Northeastrn,1-0-0,100.0%,8.0,+10.5
St Josephs,1-0-0,100.0%,17.0,+10.0
Indiana St,1-0-0,100.0%,10.0,+16.0
South Dakota,2-0-0,100.0%,-7.5,+1.0
Drexel,2-0-0,100.0%,-1.0,+5.0
TX-Pan Am,3-0-0,100.0%,-12.0,+12.3
IPFW,2-0-0,100.0%,-10.0,+4.3
Rice,1-0-0,100.0%,22.0,+25.0
Missouri St,1-0-0,100.0%,-7.0,+10.0
IL-Chicago,1-0-0,100.0%,-9.0,+6.0
Navy,1-0-0,100.0%,-7.0,+9.0
S Utah,1-0-0,100.0%,-4.0,+11.0
N Florida,3-0-0,100.0%,0.7,+16.7
Loyola Mymt,1-0-0,100.0%,-6.0,+0.5
Georgia,1-0-0,100.0%,8.0,+6.0
Notre Dame,1-0-0,100.0%,21.0,+18.0
Neb Omaha,4-0-0,100.0%,-4.5,+7.9
Campbell,2-0-0,100.0%,5.5,+16.5
Incar Word,1-0-0,100.0%,-5.0,+6.5
Central Mich,3-0-0,100.0%,-1.0,+14.5
Furman,1-0-0,100.0%,2.0,+4.5
Davidson,1-0-0,100.0%,6.0,+0.5
Gonzaga,1-0-0,100.0%,13.0,+2.0
Portland St,2-0-0,100.0%,0.5,+6.8
Winthrop,1-0-0,100.0%,-6.0,+3.0
Memphis,1-0-0,100.0%,6.0,+7.5
Middle Tenn,1-0-0,100.0%,23.0,+27.0
Wichita St,1-0-0,100.0%,7.0,+6.0
Coastal Car,2-0-0,100.0%,-8.0,+6.8
McNeese St,1-0-0,100.0%,-8.0,+9.5
Arkansas St,1-0-0,100.0%,-9.0,+16.5
Belmont,2-0-0,100.0%,4.5,+6.3
Mercyhurst,2-0-1,100.0%,-8.7,+4.8
Maryland ES,4-1-0,80.0%,-16.0,+5.1
UC Davis,3-1-0,75.0%,-2.3,+8.6
Maine,3-1-0,75.0%,-9.8,+2.8
Presbyterian,3-1-0,75.0%,-8.3,+3.4
TN Martin,3-1-0,75.0%,-5.5,+6.0
Cleveland St,3-1-0,75.0%,-16.0,-0.6
UC Riverside,3-1-0,75.0%,-15.5,-2.8
Florida A&M,3-1-0,75.0%,-32.5,-0.9
