Team,Over Record,Over %,Under %,Total +/-
N Mex State,1-0-0,100.0%,0.0%,+18.0
NC A&T,1-0-0,100.0%,0.0%,+9.5
TN State,1-0-0,100.0%,0.0%,+4.0
S Methodist,4-0-0,100.0%,0.0%,+14.9
S Dakota St,2-0-0,100.0%,0.0%,+18.5
Samford,1-0-0,100.0%,0.0%,+18.5
South Dakota,2-0-0,100.0%,0.0%,+26.5
Troy,1-0-0,100.0%,0.0%,+3.5
Kent St,1-0-0,100.0%,0.0%,+12.0
Wm & Mary,1-0-0,100.0%,0.0%,+1.0
Delaware,3-0-0,100.0%,0.0%,+11.8
Pepperdine,1-0-0,100.0%,0.0%,+5.0
Le Moyne,1-0-0,100.0%,0.0%,+18.5
SE Missouri,1-0-0,100.0%,0.0%,+23.5
IPFW,2-0-0,100.0%,0.0%,+12.0
Gard-Webb,1-0-0,100.0%,0.0%,+9.0
Radford,2-0-0,100.0%,0.0%,+18.5
TX A&M-CC,1-0-0,100.0%,0.0%,+3.0
Hofstra,2-0-0,100.0%,0.0%,+13.0
Yale,1-0-0,100.0%,0.0%,+6.5
UCSB,2-0-0,100.0%,0.0%,+18.0
Stetson,1-0-0,100.0%,0.0%,+5.5
IU Indy,1-0-0,100.0%,0.0%,+7.5
Tennessee,3-0-0,100.0%,0.0%,+13.5
Baylor,2-0-0,100.0%,0.0%,+11.5
James Mad,1-0-0,100.0%,0.0%,+17.0
TX-Arlington,1-0-0,100.0%,0.0%,+20.0
Morgan St,2-0-0,100.0%,0.0%,+5.8
Rhode Island,3-0-0,100.0%,0.0%,+11.3
California,3-0-0,100.0%,0.0%,+12.3
Utah,3-0-0,100.0%,0.0%,+8.3
N Florida,2-0-0,100.0%,0.0%,+8.5
Central Mich,1-0-0,100.0%,0.0%,+7.5
E Tenn St,1-0-0,100.0%,0.0%,+9.5
N Dakota St,1-0-0,100.0%,0.0%,+6.0
Fla Gulf Cst,1-0-0,100.0%,0.0%,+3.0
Evansville,1-0-0,100.0%,0.0%,+29.0
TN Tech,1-0-0,100.0%,0.0%,+6.0
Wisconsin,5-0-0,100.0%,0.0%,+14.0
NC Central,1-0-0,100.0%,0.0%,+27.5
E Washingtn,2-0-0,100.0%,0.0%,+17.3
Bryant,1-0-0,100.0%,0.0%,+29.5
Colgate,1-0-0,100.0%,0.0%,+7.5
Memphis,2-0-0,100.0%,0.0%,+3.0
Canisius,1-0-0,100.0%,0.0%,+25.0
Norfolk St,1-0-0,100.0%,0.0%,+7.0
North Texas,1-0-0,100.0%,0.0%,+10.0
Kentucky,3-0-0,100.0%,0.0%,+9.2
Stony Brook,1-0-0,100.0%,0.0%,+9.0
U Mass,2-0-0,100.0%,0.0%,+15.0
Cornell,2-0-1,100.0%,0.0%,+5.7
NC-Grnsboro,1-0-0,100.0%,0.0%,+2.5
Idaho,1-0-0,100.0%,0.0%,+10.5
N Alabama,3-0-0,100.0%,0.0%,+14.2
Texas Tech,3-0-1,100.0%,0.0%,+3.8
NC-Wilmgton,1-0-0,100.0%,0.0%,+23.5
Villanova,3-0-1,100.0%,0.0%,+9.9
Wyoming,2-0-0,100.0%,0.0%,+5.8
Dartmouth,2-0-0,100.0%,0.0%,+12.8
F Dickinson,1-0-0,100.0%,0.0%,+13.0
Loyola-MD,1-0-0,100.0%,0.0%,+14.5
Duquesne,2-0-0,100.0%,0.0%,+1.8
SC Upstate,1-0-0,100.0%,0.0%,+16.5
Loyola-Chi,2-0-1,100.0%,0.0%,+8.3
Sac State,2-0-0,100.0%,0.0%,+5.3
Harvard,1-0-0,100.0%,0.0%,+12.5
Denver,2-0-0,100.0%,0.0%,+20.0
Lamar,1-0-0,100.0%,0.0%,+7.5
Vermont,1-0-0,100.0%,0.0%,+5.0
U Penn,2-0-0,100.0%,0.0%,+18.5
Davidson,1-0-0,100.0%,0.0%,+3.0
Siena,2-0-0,100.0%,0.0%,+5.0
Utah Valley,1-0-0,100.0%,0.0%,+5.5
Bucknell,3-0-0,100.0%,0.0%,+21.0
North Dakota,1-0-0,100.0%,0.0%,+3.0
Mass Lowell,1-0-0,100.0%,0.0%,+19.5
Wofford,1-0-0,100.0%,0.0%,+27.5
Manhattan,1-0-0,100.0%,0.0%,+13.0
Charl South,1-0-0,100.0%,0.0%,+2.5
St Marys,3-0-0,100.0%,0.0%,+19.7
Toledo,1-0-0,100.0%,0.0%,+0.5
Richmond,2-0-0,100.0%,0.0%,+8.0
IL-Chicago,1-0-0,100.0%,0.0%,+31.5
N Carolina,2-0-0,100.0%,0.0%,+12.5
Central Ark,1-0-0,100.0%,0.0%,+1.0
W Georgia,1-0-0,100.0%,0.0%,+4.5
Georgia,3-1-0,75.0%,25.0%,+5.6
Vanderbilt,3-1-0,75.0%,25.0%,+10.8
Rutgers,3-1-0,75.0%,25.0%,+8.9
VA Tech,3-1-0,75.0%,25.0%,-5.8
Wash State,3-1-0,75.0%,25.0%,+10.6
Purdue,3-1-0,75.0%,25.0%,+6.0
Penn St,3-1-0,75.0%,25.0%,+13.1
S Carolina,3-1-0,75.0%,25.0%,+2.6
Geo Mason,3-1-0,75.0%,25.0%,+4.4
Navy,3-1-0,75.0%,25.0%,+14.6
Dayton,3-1-0,75.0%,25.0%,-1.3
Gonzaga,3-1-0,75.0%,25.0%,-1.6
La Salle,2-1-0,66.7%,33.3%,+0.7
Miss State,2-1-0,66.7%,33.3%,+5.5
Colorado,2-1-1,66.7%,33.3%,+4.0
Duke,2-1-0,66.7%,33.3%,+1.7
Syracuse,2-1-0,66.7%,33.3%,+19.0
Bradley,2-1-0,66.7%,33.3%,0.0
Utah St,2-1-0,66.7%,33.3%,+17.0
Oklahoma St,2-1-0,66.7%,33.3%,+2.0
Missouri,2-1-0,66.7%,33.3%,+2.0
