Team,Over Record,Over %,Under %,Total +/-
New Orleans,210-148-5,58.7%,41.3%,+2.8
Queens,37-28-2,56.9%,43.1%,+1.0
North Dakota,199-151-3,56.9%,43.1%,+2.4
Grd Canyon,138-105-2,56.8%,43.2%,+1.1
Oral Roberts,224-173-3,56.4%,43.6%,+2.4
Idaho St,289-224-6,56.3%,43.7%,+2.3
NC-Asheville,133-105-5,55.9%,44.1%,+1.8
Neb Omaha,186-147-3,55.9%,44.1%,+2.3
Oakland,251-199-6,55.8%,44.2%,+2.6
UCSD,58-46-3,55.8%,44.2%,+3.2
S Indiana,36-29-0,55.4%,44.6%,+2.3
Buffalo,327-264-9,55.3%,44.7%,+2.4
SE Missouri,293-238-8,55.2%,44.8%,+3.0
Youngs St,300-244-3,55.2%,44.9%,+2.6
Wake Forest,387-315-12,55.1%,44.9%,+1.6
Weber St,308-252-6,55.0%,45.0%,+1.5
Lipscomb,149-123-3,54.8%,45.2%,+2.1
McNeese St,110-91-2,54.7%,45.3%,+2.1
E Washingtn,311-259-6,54.6%,45.4%,+2.3
South Dakota,192-160-5,54.6%,45.5%,+2.9
Hsn Christian,109-91-3,54.5%,45.5%,+4.1
UTSA,181-152-3,54.4%,45.7%,+2.1
S Utah,219-184-6,54.3%,45.7%,+1.6
SC Upstate,131-111-0,54.1%,45.9%,+0.8
Gard-Webb,133-114-3,53.9%,46.2%,+1.9
N Colorado,252-216-7,53.9%,46.2%,+2.4
Denver,299-257-7,53.8%,46.2%,+1.1
NW State,116-100-5,53.7%,46.3%,+1.6
Radford,132-114-1,53.7%,46.3%,+0.8
Auburn,332-288-4,53.6%,46.5%,+1.6
TX Southern,147-128-2,53.5%,46.6%,+2.6
Portland St,282-246-8,53.4%,46.6%,+2.3
Boston Col,338-295-13,53.4%,46.6%,+1.1
Nevada,341-299-6,53.3%,46.7%,+1.1
Montana St,295-259-0,53.3%,46.8%,+1.2
Stetson,124-109-3,53.2%,46.8%,+1.7
W Michigan,315-277-5,53.2%,46.8%,+1.1
Bellarmine,59-52-2,53.2%,46.9%,+1.0
S Dakota St,222-196-3,53.1%,46.9%,+1.8
WI-Grn Bay,307-271-7,53.1%,46.9%,+1.4
Hofstra,309-273-6,53.1%,46.9%,+1.9
Baylor,321-284-7,53.1%,46.9%,+1.8
IPFW,209-185-9,53.1%,47.0%,+1.3
Florida Intl,278-247-6,53.0%,47.1%,+0.9
Montana,299-266-7,52.9%,47.1%,+1.4
Abl Christian,101-90-2,52.9%,47.1%,+1.5
Santa Clara,309-276-5,52.8%,47.2%,+1.0
Providence,346-309-9,52.8%,47.2%,+1.3
Iowa St,338-302-12,52.8%,47.2%,+1.4
Wofford,294-263-6,52.8%,47.2%,+0.7
Delaware,297-266-4,52.8%,47.3%,+1.5
Austin Peay,297-266-12,52.8%,47.3%,+2.9
WI-Milwkee,314-282-3,52.7%,47.3%,+1.3
Dayton,346-311-8,52.7%,47.3%,+0.7
SIU Edward,179-161-7,52.7%,47.4%,+0.2
Ball St,298-268-11,52.7%,47.4%,+1.2
Marquette,357-322-5,52.6%,47.4%,+1.3
Iowa,367-332-11,52.5%,47.5%,+1.6
U Mass,337-305-5,52.5%,47.5%,+1.3
Belmont,212-192-3,52.5%,47.5%,+1.4
TX-Pan Am,107-97-3,52.5%,47.6%,+0.6
Campbell,118-107-3,52.4%,47.6%,+0.7
Lafayette,118-107-5,52.4%,47.6%,+0.3
F Dickinson,121-110-4,52.4%,47.6%,+2.0
CS Bakersfld,122-111-0,52.4%,47.6%,+0.7
Samford,278-253-4,52.4%,47.7%,+2.1
Indiana St,313-285-8,52.3%,47.7%,+1.0
Colorado St,314-286-9,52.3%,47.7%,+1.4
Idaho,281-256-6,52.3%,47.7%,+0.8
Holy Cross,136-124-5,52.3%,47.7%,+0.2
UNLV,356-325-8,52.3%,47.7%,+1.1
Central Ark,106-97-4,52.2%,47.8%,+2.1
NC State,376-344-10,52.2%,47.8%,+0.8
N Florida,131-120-4,52.2%,47.8%,+1.6
Wyoming,315-289-11,52.2%,47.9%,+1.4
Brown,221-203-6,52.1%,47.9%,+1.0
Morgan St,124-114-5,52.1%,47.9%,+1.1
Miss Val St,126-116-4,52.1%,47.9%,+1.2
Incar Word,88-81-2,52.1%,47.9%,+1.5
Howard,114-105-3,52.1%,48.0%,+1.4
VMI,155-143-1,52.0%,48.0%,+2.5
Prairie View,117-108-2,52.0%,48.0%,+0.6
Toledo,313-289-5,52.0%,48.0%,+1.0
Northeastrn,283-262-9,51.9%,48.1%,+0.6
Charlotte,316-293-14,51.9%,48.1%,+1.1
Gonzaga,373-346-5,51.9%,48.1%,+0.8
Geo Mason,319-296-6,51.9%,48.1%,+0.8
Bowling Grn,305-283-5,51.9%,48.1%,+0.9
Lehigh,126-117-2,51.9%,48.2%,+1.9
Bucknell,141-131-4,51.8%,48.2%,+1.2
N Carolina,444-413-7,51.8%,48.2%,+0.7
Rhode Island,323-301-4,51.8%,48.2%,+0.6
IL-Chicago,313-292-2,51.7%,48.3%,+1.1
Ste F Austin,113-106-2,51.6%,48.4%,+0.5
Duquesne,289-272-6,51.5%,48.5%,+1.6
W Virginia,353-333-9,51.5%,48.5%,+1.2
Wright St,304-287-8,51.4%,48.6%,+0.1
