Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,3-0-0,100.0%,-0.7,+8.8
St. Thomas,39-20-2,66.1%,3.0,+4.2
Furman,111-72-0,60.7%,5.5,+1.7
Penn St,76-50-2,60.3%,3.6,+2.0
Colgate,69-46-3,60.0%,5.0,+2.5
Neb Omaha,88-60-2,59.5%,-3.0,+0.7
Wisconsin,76-53-7,58.9%,6.7,+1.5
Houston,82-58-2,58.6%,11.6,+3.4
UCF,81-59-1,57.9%,3.1,+2.2
Stony Brook,74-55-4,57.4%,1.0,+0.7
S Car State,59-44-3,57.3%,-6.0,+0.8
Baylor,96-72-3,57.1%,7.4,+1.4
NC Central,64-48-2,57.1%,2.0,+1.0
Nevada,97-73-4,57.1%,3.8,+0.4
Memphis,75-57-2,56.8%,5.2,+0.9
Oakland,101-77-4,56.7%,1.6,-0.1
Presbyterian,64-49-4,56.6%,-6.6,+0.4
St Bonavent,88-68-7,56.4%,4.9,+1.5
Jackson St,66-51-1,56.4%,-1.7,+0.9
Creighton,80-62-2,56.3%,5.9,+1.0
Marquette,80-62-2,56.3%,6.8,+2.1
Utah Valley,81-63-2,56.3%,0.8,+2.4
Sam Hous St,59-46-2,56.2%,2.8,+1.3
Yale,91-71-6,56.2%,4.9,+0.7
Butler,82-64-3,56.2%,6.1,+1.3
Hampton,66-52-1,55.9%,-3.0,+0.4
Rob Morris,81-64-2,55.9%,-1.7,+0.3
Michigan,82-65-1,55.8%,6.3,+2.0
S Alabama,107-85-2,55.7%,-1.9,0.0
Virginia,90-72-5,55.6%,8.3,-0.4
Maine,55-44-2,55.6%,-9.1,+1.2
Drake,96-77-5,55.5%,1.3,+1.0
LA Tech,108-87-0,55.4%,5.2,+0.1
Queens,21-17-1,55.3%,-0.2,+0.5
USC,106-86-0,55.2%,4.4,+1.0
Stetson,69-56-5,55.2%,-4.1,+1.8
TN Tech,98-80-3,55.1%,-3.9,+0.3
Niagara,83-68-0,55.0%,-2.8,+0.6
Maryland,68-56-3,54.8%,6.2,+0.6
Wm & Mary,105-87-4,54.7%,-0.8,+0.7
Santa Clara,94-78-6,54.7%,-1.6,+0.4
E Washingtn,106-88-3,54.6%,3.3,+1.1
Marist,70-59-2,54.3%,-2.3,+1.8
Lafayette,70-59-1,54.3%,-3.5,-0.1
Princeton,84-71-3,54.2%,4.7,+1.1
Maryland BC,65-55-2,54.2%,-1.7,+1.3
UCSB,92-78-0,54.1%,3.1,+0.3
San Diego St,93-79-7,54.1%,7.3,+0.7
Kansas St,93-79-2,54.1%,1.0,+0.3
N Illinois,95-81-5,54.0%,-2.0,+0.7
Miss State,96-82-5,53.9%,2.2,+0.8
N Carolina,91-78-8,53.9%,8.5,+0.6
GA Southern,98-84-6,53.9%,0.9,+0.9
Miami,78-67-3,53.8%,3.7,+0.4
N Florida,72-62-2,53.7%,-0.8,+1.2
Belmont,95-82-4,53.7%,8.5,+0.6
Lindenwood,22-19-0,53.7%,-9.4,0.0
Campbell,74-64-1,53.6%,-0.7,+0.6
Connecticut,75-65-3,53.6%,7.6,+1.0
NW State,61-53-2,53.5%,-5.4,+1.6
Towson,107-93-6,53.5%,1.8,+0.6
F Dickinson,69-60-1,53.5%,-1.6,+1.6
UCSD,31-27-0,53.5%,-0.8,+0.7
Texas A&M,93-81-2,53.5%,2.4,+0.3
NC-Grnsboro,101-88-2,53.4%,3.5,+1.2
UL Monroe,102-89-5,53.4%,-4.0,+0.8
Grambling St,55-48-0,53.4%,-1.3,+1.7
Central Ark,56-49-4,53.3%,-7.3,-0.1
E Carolina,57-50-3,53.3%,-1.3,+0.8
Davidson,74-65-2,53.2%,5.2,+0.7
Florida St,74-65-6,53.2%,3.4,+0.3
VA Tech,75-66-0,53.2%,4.4,+0.6
Navy,77-68-3,53.1%,0.4,+0.4
Alcorn St,60-53-3,53.1%,-3.9,+0.1
GA Tech,78-69-2,53.1%,-2.7,+0.2
Louisville,71-63-5,53.0%,3.2,0.0
Southern,62-55-1,53.0%,0.5,+1.0
TX A&M-CC,63-56-1,52.9%,1.1,+1.4
S Carolina,91-81-1,52.9%,0.8,+0.4
Florida A&M,56-50-0,52.8%,-7.9,+0.1
Temple,67-60-5,52.8%,0.3,+0.4
Alabama,98-88-3,52.7%,4.9,+1.1
Central Mich,89-80-7,52.7%,-1.6,+0.6
App State,91-82-5,52.6%,-1.3,+0.7
IPFW,82-74-2,52.6%,0.6,+0.5
Gard-Webb,72-65-2,52.6%,-0.4,+0.4
Toledo,103-93-1,52.6%,5.0,+0.3
Oregon St,93-84-4,52.5%,-2.7,+0.2
N Mex State,75-68-3,52.5%,6.4,+0.1
North Texas,97-88-5,52.4%,1.1,+0.3
Wofford,101-92-2,52.3%,3.0,+0.9
UC Irvine,91-83-5,52.3%,5.0,+0.5
Jksnville St,94-86-5,52.2%,0.3,+0.7
U Penn,83-76-3,52.2%,-1.0,-0.4
Florida Intl,96-88-5,52.2%,-3.6,-0.7
VCU,85-78-6,52.2%,5.0,+0.2
Providence,74-68-3,52.1%,2.7,+0.2
Villanova,87-80-4,52.1%,10.4,+0.6
Alab A&M,62-57-1,52.1%,-5.6,+0.1
S Dakota St,88-81-2,52.1%,5.7,+1.1
Arkansas,103-95-1,52.0%,5.1,+0.9
Jacksonville,66-61-2,52.0%,-3.4,+0.4
Delaware St,53-49-1,52.0%,-8.9,-0.6
Wake Forest,67-62-3,51.9%,0.9,+0.9
St Marys,95-88-3,51.9%,8.3,+0.7
St Peters,71-66-2,51.8%,0.9,+1.2
Duke,88-82-4,51.8%,12.1,+0.4
Utah,90-84-8,51.7%,3.8,+0.3
Lipscomb,75-70-2,51.7%,1.1,-0.6
Akron,90-84-3,51.7%,3.4,+0.3
N Hampshire,62-58-4,51.7%,-2.8,-0.8
Manhattan,62-58-4,51.7%,-3.2,0.0
Boise St,78-73-3,51.7%,4.6,+0.6
Auburn,96-90-3,51.6%,2.8,-0.2
Tarleton St,34-32-1,51.5%,-1.7,+0.8
Valparaiso,86-81-2,51.5%,-0.1,+0.4
N Kentucky,86-81-2,51.5%,1.9,-0.1
Seattle,69-65-1,51.5%,1.1,+1.2
UAB,104-98-5,51.5%,4.9,+0.1
Youngs St,90-85-2,51.4%,-2.1,-0.1
Air Force,73-69-3,51.4%,-5.5,-0.6
Middle Tenn,110-104-2,51.4%,0.8,+0.4
SE Louisiana,56-53-2,51.4%,-2.4,-0.7
Buffalo,93-88-3,51.4%,2.6,+0.3
UCLA,94-89-6,51.4%,4.8,+0.1
W Virginia,95-90-2,51.4%,4.3,+0.2
Vanderbilt,96-91-5,51.3%,-0.7,0.0
Idaho,97-92-2,51.3%,-3.9,0.0
Kansas,97-92-3,51.3%,8.6,+0.3
Murray St,97-92-4,51.3%,6.8,+0.6
Bucknell,78-74-0,51.3%,1.3,+0.3
N Arizona,100-95-6,51.3%,-6.7,-0.4
Prairie View,61-58-5,51.3%,0.6,+0.8
Oregon,102-97-0,51.3%,4.7,+0.1
BYU,103-98-7,51.2%,6.7,+0.9
Northwestern,63-60-3,51.2%,0.4,-0.2
Indiana St,85-81-7,51.2%,0.5,-0.1
Longwood,64-61-3,51.2%,-3.5,+0.8
St Johns,67-64-5,51.2%,3.3,+0.7
Loyola Mymt,90-86-6,51.1%,-3.8,-0.4
Wright St,91-87-2,51.1%,5.4,+1.3
Sac State,93-89-3,51.1%,-2.6,-0.1
Geo Wshgtn,71-68-1,51.1%,-0.2,+0.6
S Mississippi,97-93-4,51.1%,-4.0,+0.6
Army,73-70-4,51.1%,-1.6,-0.2
Rutgers,49-47-3,51.0%,-0.2,-0.1
Fairfield,74-71-3,51.0%,-2.0,-0.3
UC Riverside,76-73-4,51.0%,-2.1,+0.5
Gonzaga,109-105-7,50.9%,17.2,+1.8
Kent St,86-83-9,50.9%,2.0,-0.1
Miss Val St,60-58-1,50.9%,-15.0,-1.6
Texas St,93-90-7,50.8%,1.3,+0.9
E Tenn St,96-93-3,50.8%,3.0,-0.2
Radford,65-63-2,50.8%,0.1,+0.2
Saint Louis,74-72-1,50.7%,0.0,-0.8
Monmouth,78-76-4,50.7%,-1.0,+0.1
Syracuse,78-76-3,50.7%,2.7,+0.2
TN Martin,88-86-1,50.6%,-3.8,-0.1
Iowa St,91-89-3,50.6%,2.9,+0.9
UTSA,91-89-3,50.6%,-3.8,+0.4
W Carolina,105-103-2,50.5%,-5.0,-0.2
Albany,58-57-3,50.4%,0.8,+0.4
Indiana,62-61-2,50.4%,5.9,-0.1
SC Upstate,61-60-4,50.4%,-5.9,-0.1
NC-Asheville,64-63-1,50.4%,0.5,-0.3
Kansas City,67-66-3,50.4%,-3.5,0.0
High Point,66-65-0,50.4%,-1.8,-1.8
San Jose St,67-66-2,50.4%,-10.6,-0.5
Sacred Hrt,67-66-2,50.4%,-0.8,+0.4
Siena,69-68-4,50.4%,-2.0,-0.4
Oral Roberts,71-70-3,50.4%,-0.6,+0.4
Fresno St,75-74-1,50.3%,1.6,+0.2
S Utah,85-84-4,50.3%,-3.6,-0.1
Cleveland St,86-85-6,50.3%,-3.3,-0.5
James Mad,97-96-4,50.3%,-0.2,0.0
Marshall,101-100-3,50.3%,1.8,-0.1
W Michigan,85-85-2,50.0%,-3.1,+0.2
IL-Chicago,87-87-5,50.0%,-3.5,-0.3
TX-Arlington,95-95-5,50.0%,0.8,-0.1
Seton Hall,70-70-2,50.0%,3.4,-0.7
