Team,Over Record,Over %,Under %,Total +/-
S Indiana,17-8-0,68.0%,32.0%,+4.4
Hsn Christian,40-21-2,65.6%,34.4%,+5.4
New Orleans,53-30-2,63.9%,36.1%,+3.9
TX-Pan Am,46-27-2,63.0%,37.0%,+2.3
Denver,69-41-0,62.7%,37.3%,+3.1
Miss Val St,14-9-0,60.9%,39.1%,+2.4
Holy Cross,45-29-2,60.8%,39.2%,+0.5
Bucknell,65-42-2,60.8%,39.3%,+2.3
E Illinois,69-45-2,60.5%,39.5%,+4.2
Wake Forest,88-58-2,60.3%,39.7%,+3.7
McNeese St,52-35-1,59.8%,40.2%,+1.5
Oral Roberts,87-60-1,59.2%,40.8%,+3.8
Santa Clara,91-63-3,59.1%,40.9%,+3.0
Morgan St,43-30-3,58.9%,41.1%,+3.1
Bowling Grn,86-60-1,58.9%,41.1%,+2.4
E Washingtn,110-77-1,58.8%,41.2%,+4.2
San Jose St,45-32-2,58.4%,41.6%,+2.3
Kennesaw St,45-32-2,58.4%,41.6%,+1.9
Ball St,85-61-1,58.2%,41.8%,+2.3
Chicago St,22-16-0,57.9%,42.1%,+3.9
South Dakota,88-65-4,57.5%,42.5%,+4.0
Montana St,90-67-0,57.3%,42.7%,+3.3
N Colorado,88-66-2,57.1%,42.9%,+3.8
N Dakota St,97-73-2,57.1%,42.9%,+2.3
NW State,45-34-2,57.0%,43.0%,+4.4
Florida St,110-85-6,56.4%,43.6%,+1.0
Howard,49-38-0,56.3%,43.7%,+2.8
Niagara,67-52-2,56.3%,43.7%,+4.0
Boston Col,68-53-3,56.2%,43.8%,+1.8
Lafayette,46-36-3,56.1%,43.9%,+1.4
Pepperdine,66-52-1,55.9%,44.1%,+2.4
Georgetown,77-61-0,55.8%,44.2%,+2.7
Radford,68-54-1,55.7%,44.3%,+1.8
S Utah,73-58-3,55.7%,44.3%,+1.0
Iowa,112-89-4,55.7%,44.3%,+2.5
Campbell,64-51-1,55.7%,44.4%,+1.3
SC Upstate,45-36-0,55.6%,44.4%,+2.1
North Dakota,70-56-2,55.6%,44.4%,+2.4
Lehigh,57-46-0,55.3%,44.7%,+2.7
Grd Canyon,84-68-2,55.3%,44.7%,+0.2
