Team,ATS Record,Cover %,MOV,ATS +/-
TX-Pan Am,6-0-0,100.0%,9.9,+11.2
Utah,6-0-0,100.0%,29.8,+7.2
Furman,5-0-0,100.0%,25.6,+4.8
St Bonavent,5-0-0,100.0%,14.7,+4.5
Idaho St,5-0-0,100.0%,8.4,+11.2
Elon,4-0-0,100.0%,11.2,+16.1
Grambling St,5-0-0,100.0%,-2.0,+7.8
Oregon St,5-0-0,100.0%,16.7,+9.6
Kennesaw St,4-0-0,100.0%,17.7,+8.8
Hsn Christian,5-0-0,100.0%,-3.7,+2.7
Memphis,6-1-0,85.7%,5.4,+6.5
Neb Omaha,6-1-0,85.7%,-2.8,+3.2
Tennessee,6-1-0,85.7%,26.9,+7.6
Gard-Webb,6-1-0,85.7%,-2.1,+4.5
Nevada,6-1-0,85.7%,13.6,+6.3
Dayton,6-1-0,85.7%,12.0,+6.0
Liberty,6-1-0,85.7%,12.8,+7.8
Marquette,6-1-0,85.7%,19.3,+4.1
SE Louisiana,5-1-0,83.3%,2.7,+6.8
Missouri St,5-1-0,83.3%,3.6,+4.7
UC Riverside,5-1-1,83.3%,-2.1,+1.4
Ohio St,5-1-0,83.3%,25.8,+11.3
Auburn,5-1-1,83.3%,20.1,+8.8
IPFW,5-1-0,83.3%,9.4,+0.3
Norfolk St,5-1-0,83.3%,13.4,+9.3
Sac State,4-1-1,80.0%,5.2,+9.0
NC A&T,4-1-0,80.0%,7.0,+6.2
SE Missouri,4-1-0,80.0%,1.5,+3.8
Drake,4-1-0,80.0%,17.2,+10.6
Central Mich,4-1-0,80.0%,4.5,+9.5
St Peters,4-1-0,80.0%,9.0,+4.0
Alabama St,4-1-1,80.0%,1.0,+3.9
Maine,4-1-0,80.0%,6.2,+6.1
NW State,4-1-0,80.0%,12.1,+8.6
Florida A&M,4-1-0,80.0%,-17.6,0.0
N Florida,4-1-0,80.0%,10.2,+9.2
LIU,4-1-1,80.0%,-0.1,+5.5
LA Tech,3-1-1,75.0%,15.4,+4.3
Florida St,6-2-0,75.0%,15.1,+6.6
Davidson,3-1-0,75.0%,9.4,-2.3
