Team,ATS Record,Cover %,MOV,ATS +/-
S Alabama,2-0-0,100.0%,7.5,+7.5
Notre Dame,1-0-1,100.0%,-6.0,+2.8
Towson,1-0-0,100.0%,29.5,+2.0
Nevada,1-0-0,100.0%,3.0,+1.5
Presbyterian,2-0-0,100.0%,27.0,+9.5
TX-Pan Am,2-0-0,100.0%,19.0,+11.3
Elon,1-0-0,100.0%,32.0,+25.5
Valparaiso,1-0-0,100.0%,39.0,+3.5
Oregon St,1-0-0,100.0%,-3.0,+2.0
Yale,2-0-0,100.0%,22.7,+9.8
Middle Tenn,1-0-0,100.0%,2.0,+4.0
Rice,1-0-0,100.0%,16.0,+5.5
Northeastrn,1-0-0,100.0%,22.0,+20.0
Florida Intl,4-0-0,100.0%,12.8,+11.6
Grambling St,4-0-0,100.0%,-15.0,+4.3
Arizona St,1-0-0,100.0%,11.0,+17.0
Marshall,2-0-0,100.0%,21.5,+11.8
NC-Asheville,2-0-0,100.0%,4.0,+12.0
St Johns,1-0-0,100.0%,25.0,+14.5
S Dakota St,1-0-0,100.0%,34.0,+17.5
Oklahoma St,1-0-0,100.0%,6.0,+10.0
UCLA,1-0-0,100.0%,31.0,+5.5
Norfolk St,3-0-0,100.0%,4.0,+10.8
Georgia St,2-0-0,100.0%,12.7,+4.0
UC Riverside,3-0-0,100.0%,-1.0,+11.2
Rider,2-0-0,100.0%,2.5,+6.3
Arkansas,1-0-0,100.0%,16.0,+3.0
App State,1-0-0,100.0%,33.0,+3.5
TN Tech,2-0-0,100.0%,6.3,+15.0
Davidson,1-0-0,100.0%,11.0,+16.5
E Michigan,1-0-0,100.0%,14.5,+11.0
San Diego St,1-0-0,100.0%,18.0,+22.5
LSU,1-0-0,100.0%,7.0,+6.0
Col Charlestn,2-0-0,100.0%,15.0,+5.8
UC Davis,2-0-0,100.0%,5.5,+13.0
Marist,1-0-0,100.0%,7.0,+16.0
Dayton,2-0-0,100.0%,6.5,+14.8
Alabama St,2-0-0,100.0%,6.7,+8.5
Mercer,2-0-0,100.0%,15.7,+5.8
E Kentucky,2-0-0,100.0%,12.5,+11.0
McNeese St,1-0-0,100.0%,30.5,+4.0
Iowa,1-0-0,100.0%,33.0,+4.5
Central Mich,2-0-0,100.0%,-3.5,+17.0
Georgia,1-0-0,100.0%,3.0,+9.0
NC A&T,2-0-0,100.0%,2.0,+11.0
W Kentucky,1-0-0,100.0%,13.0,+10.5
California,1-0-0,100.0%,5.0,+12.0
