Team,ATS Record,Cover %,MOV,ATS +/-
Utah Tech,15-4-1,79.0%,8.7,+5.8
St. Thomas,13-6-0,68.4%,9.9,+4.5
Maryland ES,28-14-1,66.7%,-3.9,+2.2
Queens,14-7-1,66.7%,3.7,+0.9
Florida A&M,22-12-0,64.7%,-10.9,+2.4
NC Central,27-16-4,62.8%,8.9,+1.8
UC Riverside,49-30-1,62.0%,1.2,+1.8
TX-Arlington,42-26-0,61.8%,2.5,+2.6
St Marys,45-28-2,61.6%,13.8,+3.0
Portland St,28-18-1,60.9%,9.7,+1.3
Manhattan,53-35-1,60.2%,-2.8,+0.6
Le Moyne,6-4-0,60.0%,-1.7,+4.7
Furman,91-61-4,59.9%,7.9,+2.2
Wichita St,109-77-5,58.6%,9.5,+1.7
Jacksonville,48-34-1,58.5%,3.1,+2.2
Coppin St,31-22-1,58.5%,-12.4,+2.7
S Mississippi,38-27-2,58.5%,0.5,+1.9
N Florida,49-35-2,58.3%,2.7,+2.5
U Penn,32-23-1,58.2%,-0.4,+0.4
S Alabama,40-29-0,58.0%,0.2,0.0
IPFW,66-48-3,57.9%,4.8,+1.9
Maine,63-46-3,57.8%,-7.5,+0.6
Oregon,71-52-0,57.7%,8.9,+1.1
Oakland,49-36-0,57.7%,3.0,+0.4
Virginia,94-70-5,57.3%,8.6,-0.2
SE Louisiana,47-35-0,57.3%,-0.9,+0.6
Jackson St,24-18-1,57.1%,-5.7,+1.8
NC-Grnsboro,84-63-2,57.1%,5.9,+2.3
TX A&M-Com,8-6-0,57.1%,1.9,-0.7
Jksnville St,47-36-2,56.6%,2.0,+2.6
E Washingtn,30-23-1,56.6%,3.8,+1.4
Arkansas St,43-33-1,56.6%,-1.3,+0.1
Drexel,44-34-4,56.4%,1.7,+2.1
Norfolk St,27-21-1,56.3%,0.9,+2.5
Neb Omaha,55-43-2,56.1%,-1.2,+0.6
St Bonavent,110-86-7,56.1%,4.3,+1.4
Vermont,65-51-2,56.0%,10.8,+0.9
Houston,100-79-3,55.9%,12.2,+2.9
Colgate,72-57-0,55.8%,4.2,+0.6
Davidson,106-84-2,55.8%,6.2,+1.6
NC-Asheville,53-42-2,55.8%,4.6,+1.4
Toledo,127-101-1,55.7%,6.4,+1.3
Villanova,114-91-3,55.6%,10.0,+0.9
