Team,Over Record,Over %,Under %,Total +/-
Niagara,1-0-0,100.0%,0.0%,+12.0
Missouri,1-0-0,100.0%,0.0%,+17.0
NC-Asheville,1-0-0,100.0%,0.0%,+31.0
Hsn Christian,1-0-0,100.0%,0.0%,+7.5
W Illinois,1-0-0,100.0%,0.0%,+5.0
San Jose St,1-0-0,100.0%,0.0%,+16.0
Villanova,2-0-0,100.0%,0.0%,+14.5
McNeese St,1-0-0,100.0%,0.0%,+11.0
TX-Pan Am,2-0-0,100.0%,0.0%,+23.3
Louisiana,1-0-0,100.0%,0.0%,+27.0
UC Davis,1-0-0,100.0%,0.0%,+10.5
Nevada,1-0-0,100.0%,0.0%,+23.0
Cal Poly,1-0-0,100.0%,0.0%,+4.5
VCU,1-0-0,100.0%,0.0%,+1.0
NJIT,1-0-0,100.0%,0.0%,+5.5
UAB,1-0-0,100.0%,0.0%,+27.0
Rutgers,1-0-0,100.0%,0.0%,+23.0
Montana St,3-0-0,100.0%,0.0%,+4.8
Canisius,1-0-0,100.0%,0.0%,+6.0
LSU,1-0-0,100.0%,0.0%,+63.5
Saint Louis,1-0-0,100.0%,0.0%,+21.0
Pittsburgh,1-0-0,100.0%,0.0%,+8.5
S Dakota St,1-0-0,100.0%,0.0%,+24.0
Seattle,1-0-0,100.0%,0.0%,+15.0
Longwood,1-0-0,100.0%,0.0%,+11.0
Vanderbilt,1-0-0,100.0%,0.0%,+9.0
Grambling St,1-0-0,100.0%,0.0%,+9.5
Alab A&M,1-0-0,100.0%,0.0%,+28.5
Troy,1-0-0,100.0%,0.0%,+4.5
Elon,1-0-0,100.0%,0.0%,+18.5
Middle Tenn,1-0-0,100.0%,0.0%,+4.5
Portland,1-0-0,100.0%,0.0%,+14.0
SC Upstate,2-0-0,100.0%,0.0%,+16.8
Central Mich,1-0-0,100.0%,0.0%,+1.0
Prairie View,1-0-0,100.0%,0.0%,+21.0
N Dakota St,1-0-0,100.0%,0.0%,+15.0
TN State,1-0-0,100.0%,0.0%,+2.0
Incar Word,1-0-0,100.0%,0.0%,+24.0
Oral Roberts,1-0-0,100.0%,0.0%,+18.0
Miami,1-0-0,100.0%,0.0%,+1.0
Hawaii,1-0-0,100.0%,0.0%,+16.0
W Michigan,1-0-0,100.0%,0.0%,+18.5
Bryant,1-0-0,100.0%,0.0%,+22.0
Lehigh,1-0-0,100.0%,0.0%,+13.5
Norfolk St,1-0-0,100.0%,0.0%,+19.0
Howard,1-0-0,100.0%,0.0%,+24.0
UTSA,1-0-0,100.0%,0.0%,+9.5
Army,1-0-0,100.0%,0.0%,+20.0
Wisconsin,1-0-0,100.0%,0.0%,+8.5
Ark Pine Bl,1-0-0,100.0%,0.0%,+5.0
Georgia,1-0-0,100.0%,0.0%,+8.5
N Florida,1-0-0,100.0%,0.0%,+8.5
Drake,1-0-0,100.0%,0.0%,+9.0
Bradley,1-0-0,100.0%,0.0%,+4.5
Stonehill,3-0-0,100.0%,0.0%,+10.2
Central Ark,1-0-0,100.0%,0.0%,+11.5
North Dakota,1-0-0,100.0%,0.0%,+3.0
Manhattan,1-0-0,100.0%,0.0%,+13.0
Grd Canyon,1-0-0,100.0%,0.0%,+19.0
Montana,1-0-0,100.0%,0.0%,+4.0
Mercyhurst,1-0-0,100.0%,0.0%,+4.5
Le Moyne,2-0-0,100.0%,0.0%,+20.3
IU Indy,2-0-0,100.0%,0.0%,+18.0
Wm & Mary,1-0-0,100.0%,0.0%,+4.0
Murray St,1-0-0,100.0%,0.0%,+9.0
Geo Mason,1-0-0,100.0%,0.0%,+1.0
Oklahoma St,1-0-0,100.0%,0.0%,+23.0
UCF,1-0-0,100.0%,0.0%,+63.5
Utah Tech,1-0-0,100.0%,0.0%,+13.0
Arizona St,1-0-0,100.0%,0.0%,+11.5
Cal St Nrdge,2-0-0,100.0%,0.0%,+11.3
Lindenwood,1-0-0,100.0%,0.0%,+13.0
American,1-0-0,100.0%,0.0%,+7.5
S Indiana,1-0-0,100.0%,0.0%,+0.5
South Dakota,3-1-0,75.0%,25.0%,+15.4
Idaho St,2-1-0,66.7%,33.3%,+6.5
Maryland BC,2-1-0,66.7%,33.3%,+1.3
Mass Lowell,2-1-0,66.7%,33.3%,+9.3
UL Monroe,2-1-0,66.7%,33.3%,+27.0
Princeton,2-1-0,66.7%,33.3%,+3.3
Lipscomb,1-1-0,50.0%,50.0%,-8.8
