Team,ATS Record,Cover %,MOV,ATS +/-
St Bonavent,2-0-0,100.0%,11.5,+3.8
Longwood,1-0-0,100.0%,14.5,+8.5
Georgia St,2-0-0,100.0%,13.3,+1.5
Alabama,3-0-0,100.0%,24.7,+14.0
Stanford,2-0-0,100.0%,18.5,+3.5
Mt St Marys,2-0-0,100.0%,14.7,+11.3
Army,2-0-0,100.0%,11.0,+7.0
TX-Pan Am,3-0-0,100.0%,3.3,+5.0
Yale,1-0-0,100.0%,26.0,+18.0
Tulsa,1-0-0,100.0%,18.5,+1.5
Idaho St,2-0-0,100.0%,18.7,+13.3
New Orleans,4-0-0,100.0%,-10.3,+10.9
Towson,1-0-0,100.0%,-7.0,+4.0
Duke,2-0-0,100.0%,24.0,+8.5
Gard-Webb,2-0-0,100.0%,-6.0,+6.3
Dayton,3-0-0,100.0%,11.0,+5.0
Presbyterian,3-0-0,100.0%,-1.0,+7.3
Coastal Car,3-0-1,100.0%,9.0,+8.8
Middle Tenn,2-0-0,100.0%,23.7,+15.5
Troy,3-0-0,100.0%,13.7,+4.0
Bucknell,2-0-0,100.0%,14.5,+9.8
Mercer,1-0-0,100.0%,29.5,+6.5
Hofstra,2-0-0,100.0%,11.0,+4.5
Sac State,2-0-0,100.0%,28.0,+24.5
N Alabama,2-0-0,100.0%,14.0,+11.5
Buffalo,2-0-0,100.0%,-5.0,+8.8
Drexel,1-0-0,100.0%,34.5,+20.5
Lipscomb,3-0-1,100.0%,15.5,+10.9
Marquette,1-0-0,100.0%,40.0,+17.0
Central Mich,2-0-0,100.0%,11.7,+10.0
Hampton,1-0-0,100.0%,21.5,+9.0
Ohio St,2-0-0,100.0%,21.0,+12.3
Bryant,1-0-0,100.0%,32.5,+16.5
Alabama St,1-0-1,100.0%,8.0,+3.0
Coppin St,2-0-0,100.0%,-22.0,+10.0
NC-Grnsboro,3-0-0,100.0%,7.5,+3.7
NC A&T,3-0-0,100.0%,13.8,+8.0
UCSB,2-0-0,100.0%,35.3,+19.5
Niagara,2-0-0,100.0%,10.0,+1.0
Youngs St,3-0-0,100.0%,7.0,+7.7
Dartmouth,2-0-0,100.0%,30.7,+12.3
Bradley,2-0-0,100.0%,36.0,+7.5
W Michigan,1-0-1,100.0%,3.5,+10.3
Grambling St,1-0-0,100.0%,14.0,+1.5
Hsn Christian,2-0-0,100.0%,-3.7,+4.5
IPFW,1-0-0,100.0%,29.0,+0.5
S Methodist,1-0-0,100.0%,34.0,+18.5
VMI,1-0-0,100.0%,27.0,+15.5
Incar Word,2-0-0,100.0%,-3.0,+5.0
Cincinnati,2-0-0,100.0%,46.0,+14.0
Winthrop,2-0-0,100.0%,20.0,+5.0
Pittsburgh,2-0-0,100.0%,20.5,+12.8
Oregon St,3-0-0,100.0%,17.7,+13.0
Murray St,1-0-0,100.0%,48.5,+23.5
Cal Poly,1-0-0,100.0%,-8.0,+12.5
UCSD,2-0-0,100.0%,25.3,+6.0
South Dakota,2-0-0,100.0%,9.0,+6.5
Kansas,2-0-0,100.0%,16.5,+5.0
Citadel,1-0-0,100.0%,3.0,+7.5
Utah,4-0-0,100.0%,24.5,+8.5
LIU,1-0-1,100.0%,7.3,+0.8
Liberty,3-0-0,100.0%,14.0,+7.3
Mississippi,2-0-1,100.0%,24.3,+8.0
TN State,1-0-0,100.0%,11.5,+3.5
IU Indy,1-0-0,100.0%,56.5,+38.5
Portland,1-0-0,100.0%,3.5,+0.5
Memphis,4-0-0,100.0%,10.5,+7.4
Idaho,2-0-0,100.0%,7.3,+10.0
Merrimack,1-0-0,100.0%,14.0,+21.5
NJIT,2-0-0,100.0%,-2.0,+8.0
LA Tech,1-0-1,100.0%,21.5,+8.3
Fresno St,1-0-1,100.0%,1.0,+3.8
