Team,Over Record,Over %,Under %,Total +/-
Queens,15-7-0,68.2%,31.8%,+1.9
New Orleans,80-44-1,64.5%,35.5%,+4.9
TX A&M-Com,9-5-0,64.3%,35.7%,+11.1
Oral Roberts,71-42-0,62.8%,37.2%,+2.7
Utah Tech,13-8-0,61.9%,38.1%,+4.4
Morgan St,35-22-0,61.4%,38.6%,+3.1
Grd Canyon,36-23-1,61.0%,39.0%,+0.8
Weber St,69-47-2,59.5%,40.5%,+2.2
N Dakota St,48-34-0,58.5%,41.5%,+3.7
North Dakota,49-35-1,58.3%,41.7%,+2.2
Prairie View,25-18-1,58.1%,41.9%,+1.5
St Fran (PA),45-33-0,57.7%,42.3%,+2.5
Hsn Christian,54-40-1,57.5%,42.6%,+5.9
Neb Omaha,58-43-1,57.4%,42.6%,+3.8
Jacksonville,51-38-0,57.3%,42.7%,+2.8
Portland St,63-47-1,57.3%,42.7%,+3.0
Delaware,130-97-2,57.3%,42.7%,+2.3
Northeastrn,119-89-4,57.2%,42.8%,+2.3
NJIT,60-45-1,57.1%,42.9%,+1.0
NC-Asheville,61-46-1,57.0%,43.0%,+2.7
TX Southern,37-28-1,56.9%,43.1%,+4.4
South Dakota,66-50-2,56.9%,43.1%,+3.2
Bellarmine,25-19-0,56.8%,43.2%,+1.1
Winthrop,67-51-2,56.8%,43.2%,+3.7
Abl Christian,48-37-1,56.5%,43.5%,+3.3
S Dakota St,63-49-2,56.3%,43.8%,+3.2
IPFW,79-62-2,56.0%,44.0%,+1.0
NC A&T,43-34-0,55.8%,44.2%,+3.4
Buffalo,217-172-8,55.8%,44.2%,+2.2
Wake Forest,259-206-8,55.7%,44.3%,+1.5
SC Upstate,69-55-0,55.7%,44.4%,+0.9
Providence,218-174-5,55.6%,44.4%,+2.1
N Colorado,56-45-1,55.5%,44.6%,+2.1
Youngs St,112-90-0,55.5%,44.6%,+3.2
Yale,41-33-1,55.4%,44.6%,+3.0
Hofstra,134-108-3,55.4%,44.6%,+2.3
Niagara,92-75-2,55.1%,44.9%,+3.1
WI-Grn Bay,104-85-1,55.0%,45.0%,+1.7
WI-Milwkee,116-95-0,55.0%,45.0%,+2.5
Bowling Grn,224-184-2,54.9%,45.1%,+2.0
Boston Col,217-179-9,54.8%,45.2%,+1.6
Miss State,232-192-5,54.7%,45.3%,+1.8
Mississippi,240-199-6,54.7%,45.3%,+2.4
Oregon St,101-84-0,54.6%,45.4%,+1.3
Drake,205-171-7,54.5%,45.5%,+2.3
F Dickinson,38-32-2,54.3%,45.7%,+3.4
N Carolina,232-196-1,54.2%,45.8%,+1.2
Ark Pine Bl,26-22-1,54.2%,45.8%,+5.0
Utah Valley,39-33-0,54.2%,45.8%,+1.1
Xavier,230-195-6,54.1%,45.9%,+1.6
Colorado St,198-168-6,54.1%,45.9%,+2.2
E Washingtn,67-57-1,54.0%,46.0%,+1.9
S Car State,34-29-0,54.0%,46.0%,+2.3
Auburn,231-197-1,54.0%,46.0%,+1.7
NC State,237-203-8,53.9%,46.1%,+1.1
Radford,63-54-0,53.9%,46.2%,+0.2
Coastal Car,35-30-0,53.9%,46.2%,+1.9
N Florida,49-42-3,53.9%,46.2%,+1.4
Lg Beach St,92-79-2,53.8%,46.2%,+2.3
Towson,124-107-5,53.7%,46.3%,+1.7
UTSA,51-44-0,53.7%,46.3%,+2.1
Denver,96-83-0,53.6%,46.4%,+1.5
Lafayette,76-66-3,53.5%,46.5%,+0.7
Rider,107-93-3,53.5%,46.5%,+1.5
Duquesne,207-180-5,53.5%,46.5%,+1.7
Kennesaw St,46-40-0,53.5%,46.5%,+1.9
San Diego,69-60-2,53.5%,46.5%,+0.3
W Michigan,215-187-5,53.5%,46.5%,+1.2
Nevada,162-141-4,53.5%,46.5%,+1.2
Delaware St,31-27-1,53.5%,46.6%,+2.1
Liberty,55-48-1,53.4%,46.6%,+0.3
Oakland,63-55-1,53.4%,46.6%,+2.6
Indiana St,213-186-6,53.4%,46.6%,+1.3
Incar Word,40-35-1,53.3%,46.7%,+2.4
Charlotte,153-134-6,53.3%,46.7%,+2.0
Coppin St,34-30-0,53.1%,46.9%,+1.7
Lamar,51-45-1,53.1%,46.9%,+0.6
Iona,94-83-2,53.1%,46.9%,+1.0
North Texas,69-61-1,53.1%,46.9%,+1.3
Old Dominion,124-110-2,53.0%,47.0%,+0.5
Iowa,223-198-7,53.0%,47.0%,+2.0
Iowa St,198-176-8,52.9%,47.1%,+1.5
UL Monroe,55-49-3,52.9%,47.1%,+1.3
Ste F Austin,55-49-1,52.9%,47.1%,+0.6
McNeese St,46-41-0,52.9%,47.1%,+0.6
IL-Chicago,139-124-2,52.9%,47.2%,+1.5
Dayton,213-190-7,52.9%,47.2%,+0.5
Geo Mason,191-171-3,52.8%,47.2%,+0.6
Holy Cross,77-69-4,52.7%,47.3%,+0.5
Gard-Webb,59-53-1,52.7%,47.3%,+1.4
Baylor,178-160-3,52.7%,47.3%,+1.8
Santa Clara,70-63-0,52.6%,47.4%,+1.8
TX-Pan Am,30-27-2,52.6%,47.4%,+2.1
Wyoming,192-173-7,52.6%,47.4%,+0.9
TN State,72-65-0,52.6%,47.5%,+0.8
TN Tech,72-65-1,52.6%,47.5%,+1.5
Vermont,72-65-1,52.6%,47.5%,+0.5
Campbell,52-47-2,52.5%,47.5%,+0.8
Utah,146-132-3,52.5%,47.5%,+1.2
Alab A&M,21-19-0,52.5%,47.5%,+0.3
Fresno St,165-150-3,52.4%,47.6%,+1.9
New Mexico,193-176-5,52.3%,47.7%,+1.7
N Kentucky,46-42-1,52.3%,47.7%,+1.5
Wright St,116-106-2,52.3%,47.8%,+1.0
Navy,82-75-2,52.2%,47.8%,0.0
U Penn,71-65-2,52.2%,47.8%,+1.3
American,84-77-0,52.2%,47.8%,+0.6
Geo Wshgtn,194-178-4,52.2%,47.9%,+1.7
Samford,99-91-2,52.1%,47.9%,+1.3
Cornell,37-34-1,52.1%,47.9%,+1.7
UNLV,214-197-2,52.1%,47.9%,+1.2
Rhode Island,214-197-3,52.1%,47.9%,+0.7
Wofford,114-105-4,52.1%,48.0%,+1.1
Ball St,217-200-8,52.0%,48.0%,+1.3
VA Tech,182-168-5,52.0%,48.0%,+1.4
Murray St,94-87-2,51.9%,48.1%,+0.8
Wichita St,203-188-2,51.9%,48.1%,+1.3
Notre Dame,191-177-2,51.9%,48.1%,+2.0
Princeton,69-64-1,51.9%,48.1%,+1.7
UCLA,125-116-2,51.9%,48.1%,+0.9
Oklahoma St,183-170-4,51.8%,48.2%,+1.0
Grambling St,29-27-0,51.8%,48.2%,+0.5
NW State,45-42-2,51.7%,48.3%,+0.9
Missouri St,211-197-4,51.7%,48.3%,+0.8
Tulane,181-169-7,51.7%,48.3%,+1.3
BYU,124-116-4,51.7%,48.3%,+2.2
Pacific,78-73-1,51.7%,48.3%,+0.4
Stetson,47-44-1,51.7%,48.4%,+1.5
Cal St Nrdge,94-88-1,51.7%,48.4%,+2.5
Arkansas,220-206-5,51.6%,48.4%,+0.6
Pepperdine,68-64-2,51.5%,48.5%,+0.5
Canisius,87-82-3,51.5%,48.5%,+2.6
AR Lit Rock,71-67-0,51.5%,48.6%,+0.9
NC-Grnsboro,126-119-4,51.4%,48.6%,+0.7
Marquette,199-188-3,51.4%,48.6%,+1.6
Evansville,205-194-2,51.4%,48.6%,+1.4
Kansas City,39-37-0,51.3%,48.7%,-0.9
Missouri,215-204-4,51.3%,48.7%,+0.6
U Mass,217-206-5,51.3%,48.7%,+0.6
Toledo,217-206-3,51.3%,48.7%,+0.5
Loyola-Chi,162-154-2,51.3%,48.7%,+0.5
S Mississippi,121-115-1,51.3%,48.7%,+1.0
Arizona St,109-104-1,51.2%,48.8%,+0.6
Boston U,88-84-3,51.2%,48.8%,-0.9
S Carolina,221-211-7,51.2%,48.8%,+0.5
Bradley,228-218-3,51.1%,48.9%,+1.3
VMI,72-69-0,51.1%,48.9%,+0.4
Marshall,144-138-4,51.1%,48.9%,+0.8
Indiana,218-209-8,51.1%,49.0%,+0.7
E Carolina,182-175-5,51.0%,49.0%,+0.9
Richmond,212-204-5,51.0%,49.0%,+0.9
Michigan,214-206-2,51.0%,49.1%,+0.2
Troy,56-54-2,50.9%,49.1%,+0.6
Howard,28-27-1,50.9%,49.1%,+0.9
