Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,1-0-0,100.0%,29.7,+12.0
Southern,42-22-0,65.6%,9.0,+3.4
Le Moyne,7-4-0,63.6%,15.5,+5.7
Queens,14-8-1,63.6%,11.4,+1.3
Norfolk St,38-24-1,61.3%,8.9,+4.6
Beth-Cook,35-23-1,60.3%,4.5,+1.6
N Florida,55-37-1,59.8%,6.3,+2.9
S Dakota St,98-66-1,59.8%,12.3,+3.0
Sam Hous St,43-29-1,59.7%,14.2,+2.1
Longwood,47-32-2,59.5%,4.9,+2.0
NC Central,42-29-1,59.2%,16.7,+2.4
UCSD,26-19-2,57.8%,8.2,+0.2
Alab A&M,45-33-0,57.7%,4.0,+1.8
St. Thomas,19-14-0,57.6%,14.7,+2.9
South Dakota,81-60-2,57.5%,10.2,+1.3
Utah Tech,27-20-0,57.5%,5.0,+0.7
Utah Valley,58-43-0,57.4%,12.0,+2.5
Belmont,89-66-3,57.4%,12.1,+1.4
Utah,211-157-11,57.3%,12.5,+2.0
BYU,210-157-10,57.2%,14.2,+1.9
Vermont,64-48-3,57.1%,12.0,+1.9
Colgate,56-42-1,57.1%,6.7,+2.3
Miss Val St,34-26-0,56.7%,2.6,+1.2
Houston,194-149-10,56.6%,11.0,+2.1
Bradley,202-156-15,56.4%,7.2,+1.9
Utah St,197-153-9,56.3%,14.0,+1.9
Ohio,195-153-4,56.0%,9.3,+1.1
Michigan St,218-172-4,55.9%,15.5,+1.1
Abl Christian,39-31-2,55.7%,14.0,+1.8
Middle Tenn,166-132-5,55.7%,9.1,+1.0
NC-Asheville,45-36-0,55.6%,9.0,+0.9
Iowa St,201-161-9,55.5%,11.1,+1.2
IL-Chicago,189-152-8,55.4%,4.2,+0.2
Indiana,233-188-4,55.3%,11.6,+1.2
Furman,136-110-4,55.3%,9.5,+0.6
Nevada,181-147-7,55.2%,9.0,+0.8
Presbyterian,38-31-3,55.1%,4.5,+0.3
Nebraska,196-160-8,55.1%,7.8,+0.8
Duke,226-185-13,55.0%,20.5,+1.2
Villanova,196-161-5,54.9%,11.6,+0.8
Saint Louis,213-175-5,54.9%,7.3,+0.5
New Mexico,205-169-10,54.8%,11.7,+1.0
Miss State,196-162-12,54.8%,9.9,+0.9
Florida A&M,41-34-0,54.7%,1.9,+1.1
Arkansas,201-167-9,54.6%,12.8,+1.1
Auburn,195-163-9,54.5%,9.5,+1.4
S Mississippi,159-133-6,54.5%,8.2,+0.5
Central Ark,37-31-2,54.4%,2.7,-0.1
Arkansas St,157-132-6,54.3%,8.7,+0.5
Gonzaga,195-164-9,54.3%,22.0,+1.6
Weber St,143-121-7,54.2%,12.3,+0.6
UAB,189-160-9,54.2%,11.2,+0.7
Tulsa,191-162-9,54.1%,9.0,+0.5
N Carolina,213-181-6,54.1%,14.5,+0.5
Stanford,213-182-8,53.9%,10.9,+0.8
TX-Arlington,76-65-4,53.9%,8.5,-0.3
Denver,160-137-6,53.9%,5.2,+0.9
Tennessee,209-179-6,53.9%,12.4,+1.3
Liberty,64-55-3,53.8%,9.4,-0.1
Colorado,201-173-9,53.7%,9.6,+1.1
Tarleton St,22-19-1,53.7%,14.6,+0.6
Purdue,205-177-10,53.7%,13.9,+1.8
LA Tech,157-136-3,53.6%,11.6,+1.0
Davidson,152-132-4,53.5%,14.2,+0.5
Maryland ES,23-20-2,53.5%,0.4,-0.3
S Car State,31-27-3,53.5%,4.8,+2.4
Michigan,209-183-4,53.3%,9.6,+0.4
San Diego St,190-167-9,53.2%,10.9,+0.5
Ohio St,225-198-8,53.2%,14.0,+1.0
Oklahoma,192-169-5,53.2%,12.9,+1.2
Akron,175-154-7,53.2%,11.8,+0.8
Memphis,219-194-13,53.0%,13.4,+1.1
TX A&M-CC,44-39-2,53.0%,8.9,+0.5
TX El Paso,186-165-8,53.0%,8.7,+0.6
Creighton,206-183-9,53.0%,13.3,+0.9
W Virginia,198-176-2,52.9%,10.6,+1.0
NC-Wilmgton,156-139-7,52.9%,7.0,+0.3
Drake,176-157-4,52.9%,7.2,+1.0
Iowa,209-188-9,52.6%,11.4,+0.7
Xavier,210-189-10,52.6%,12.9,+1.1
Wisconsin,211-190-10,52.6%,13.1,+0.9
Clemson,192-173-5,52.6%,9.4,+0.8
Indiana St,176-159-7,52.5%,5.5,+1.0
Butler,197-178-10,52.5%,11.6,+1.1
Maryland BC,53-48-0,52.5%,2.5,+1.1
WI-Grn Bay,171-155-7,52.5%,6.8,+0.3
Virginia,193-175-6,52.5%,11.3,+0.5
SE Louisiana,33-30-2,52.4%,7.2,-0.6
UCF,132-120-7,52.4%,7.9,+0.4
N Alabama,33-30-1,52.4%,10.4,+0.4
Lindenwood,11-10-0,52.4%,5.4,-1.6
UCLA,225-205-6,52.3%,11.2,+0.5
Connecticut,197-180-7,52.3%,14.9,+0.3
Wagner,48-44-2,52.2%,6.0,-0.7
UTSA,74-68-3,52.1%,5.2,+1.1
Minnesota,210-193-11,52.1%,8.3,+0.1
Kansas St,186-171-6,52.1%,10.1,+0.9
Maryland,200-184-9,52.1%,13.7,+0.1
