Team,Over Record,Over %,Under %,Total +/-
NC-Asheville,2-0-2,100.0%,0.0%,+5.8
Cal Poly,1-0-0,100.0%,0.0%,+10.5
Cleveland St,1-0-0,100.0%,0.0%,+7.0
S Illinois,2-0-0,100.0%,0.0%,+12.8
Beth-Cook,2-0-0,100.0%,0.0%,+4.3
TX A&M-CC,2-0-0,100.0%,0.0%,+10.3
Utah Valley,3-0-0,100.0%,0.0%,+5.8
E Tenn St,1-0-0,100.0%,0.0%,+9.0
Central Mich,3-0-0,100.0%,0.0%,+15.8
LA Tech,2-0-0,100.0%,0.0%,+20.3
TN State,2-0-0,100.0%,0.0%,+12.3
CS Fullerton,1-0-1,100.0%,0.0%,+14.0
Fla Atlantic,3-0-0,100.0%,0.0%,+8.0
Clemson,2-0-0,100.0%,0.0%,+11.0
Lamar,3-0-0,100.0%,0.0%,+11.0
Cornell,1-0-0,100.0%,0.0%,+10.5
S Car State,2-0-0,100.0%,0.0%,+24.3
IL-Chicago,1-0-0,100.0%,0.0%,+34.0
Charl South,1-0-0,100.0%,0.0%,+12.0
Arkansas St,2-0-0,100.0%,0.0%,+8.0
Marist,4-0-0,100.0%,0.0%,+18.4
N Florida,3-0-0,100.0%,0.0%,+5.3
Dartmouth,2-0-0,100.0%,0.0%,+23.0
Maryland ES,1-0-0,100.0%,0.0%,+18.0
McNeese St,1-0-1,100.0%,0.0%,+4.3
Mt St Marys,2-0-0,100.0%,0.0%,+25.5
NC A&T,3-0-0,100.0%,0.0%,+6.3
Sac State,2-0-0,100.0%,0.0%,+13.8
Col Charlestn,2-0-0,100.0%,0.0%,+47.5
Gonzaga,4-0-0,100.0%,0.0%,+7.0
TX El Paso,2-0-1,100.0%,0.0%,+5.0
Bucknell,2-0-0,100.0%,0.0%,+13.3
IPFW,1-0-0,100.0%,0.0%,+23.5
Villanova,2-0-0,100.0%,0.0%,+11.0
Stony Brook,1-0-0,100.0%,0.0%,+16.0
Yale,1-0-0,100.0%,0.0%,+6.5
W Carolina,2-0-0,100.0%,0.0%,+4.0
Columbia,1-0-0,100.0%,0.0%,+14.5
TX-Pan Am,3-0-0,100.0%,0.0%,+10.3
Murray St,1-0-0,100.0%,0.0%,+9.0
Incar Word,2-0-0,100.0%,0.0%,+11.8
Georgia,3-0-0,100.0%,0.0%,+14.5
Pittsburgh,2-0-0,100.0%,0.0%,+23.5
UTSA,2-0-0,100.0%,0.0%,+4.8
Mercer,1-0-0,100.0%,0.0%,+6.0
SE Missouri,3-0-0,100.0%,0.0%,+4.5
Samford,1-0-0,100.0%,0.0%,+47.0
Hawaii,2-0-0,100.0%,0.0%,+5.3
Stetson,2-0-0,100.0%,0.0%,+14.5
Hampton,1-0-0,100.0%,0.0%,+12.5
St Fran (PA),2-0-0,100.0%,0.0%,+10.0
Georgetown,2-0-0,100.0%,0.0%,+8.5
Prairie View,3-0-0,100.0%,0.0%,+15.2
N Carolina,3-0-0,100.0%,0.0%,+9.7
Jacksonville,2-0-0,100.0%,0.0%,+17.3
Texas Tech,3-0-1,100.0%,0.0%,+3.5
Radford,2-0-0,100.0%,0.0%,+12.5
Dayton,3-0-0,100.0%,0.0%,+10.8
Canisius,2-0-0,100.0%,0.0%,+13.0
S Alabama,2-0-0,100.0%,0.0%,+5.5
Notre Dame,3-0-0,100.0%,0.0%,+8.7
SIU Edward,1-0-0,100.0%,0.0%,+1.5
Akron,2-0-0,100.0%,0.0%,+4.5
Marquette,1-0-0,100.0%,0.0%,+16.0
Weber St,2-0-0,100.0%,0.0%,+25.3
Montana,2-0-0,100.0%,0.0%,+17.3
TN Tech,3-0-0,100.0%,0.0%,+18.5
New Orleans,4-0-0,100.0%,0.0%,+11.5
Rhode Island,2-0-0,100.0%,0.0%,+8.3
Tulsa,1-0-0,100.0%,0.0%,+21.0
Davidson,3-0-0,100.0%,0.0%,+12.7
Mississippi,3-0-0,100.0%,0.0%,+15.5
Alabama,2-0-1,100.0%,0.0%,+11.2
Norfolk St,1-0-0,100.0%,0.0%,+2.5
South Dakota,2-0-0,100.0%,0.0%,+14.5
Gard-Webb,2-0-0,100.0%,0.0%,+2.8
Ark Pine Bl,2-0-0,100.0%,0.0%,+14.5
N Hampshire,2-0-0,100.0%,0.0%,+16.8
Bradley,2-0-0,100.0%,0.0%,+10.8
Idaho,2-0-0,100.0%,0.0%,+9.8
S Methodist,1-0-0,100.0%,0.0%,+16.0
SC Upstate,2-0-0,100.0%,0.0%,+13.8
Ohio,3-0-1,100.0%,0.0%,+9.9
Kentucky,3-0-0,100.0%,0.0%,+9.2
Towson,1-0-0,100.0%,0.0%,+18.5
Mass Lowell,1-0-0,100.0%,0.0%,+2.0
DePaul,2-0-0,100.0%,0.0%,+9.8
Evansville,1-0-0,100.0%,0.0%,+10.0
S Carolina,2-0-0,100.0%,0.0%,+5.5
S Indiana,2-0-0,100.0%,0.0%,+16.0
St. Thomas,1-0-0,100.0%,0.0%,+12.5
W Georgia,2-0-0,100.0%,0.0%,+7.8
James Mad,3-1-0,75.0%,25.0%,+11.1
Toledo,3-1-0,75.0%,25.0%,+7.6
Miss State,3-1-0,75.0%,25.0%,+2.4
Utah,3-1-0,75.0%,25.0%,-0.4
Fla Gulf Cst,3-1-0,75.0%,25.0%,+3.4
Northeastrn,3-1-0,75.0%,25.0%,-1.9
Baylor,3-1-0,75.0%,25.0%,-1.8
St Marys,3-1-0,75.0%,25.0%,+3.5
Portland St,3-1-0,75.0%,25.0%,+7.9
Miami,3-1-0,75.0%,25.0%,+12.1
Sam Hous St,3-1-0,75.0%,25.0%,+6.1
Neb Omaha,2-1-0,66.7%,33.3%,-2.0
Boise St,2-1-0,66.7%,33.3%,+3.7
Illinois,2-1-0,66.7%,33.3%,+7.3
Sacred Hrt,2-1-0,66.7%,33.3%,+3.3
Indiana St,2-1-0,66.7%,33.3%,+3.5
Oregon,2-1-0,66.7%,33.3%,+7.2
Lafayette,2-1-0,66.7%,33.3%,+3.0
TX Southern,2-1-0,66.7%,33.3%,+7.7
Northwestern,2-1-0,66.7%,33.3%,+0.8
U Mass,2-1-0,66.7%,33.3%,+15.3
Central Ark,2-1-0,66.7%,33.3%,-4.0
Buffalo,2-1-0,66.7%,33.3%,+5.0
App State,2-1-0,66.7%,33.3%,-8.7
St Johns,2-1-0,66.7%,33.3%,+4.3
Texas,2-1-0,66.7%,33.3%,+0.8
Fordham,2-1-0,66.7%,33.3%,-4.3
Oklahoma St,2-1-0,66.7%,33.3%,+1.8
Auburn,2-1-0,66.7%,33.3%,+10.8
E Carolina,2-1-0,66.7%,33.3%,+9.2
Quinnipiac,2-1-0,66.7%,33.3%,-1.2
