Rank,Hotness Score,Matchup,Time,Location
1,97.8,#9 Kentucky  at  #33 Clemson,9:30 PM,Littlejohn Coliseum
2,96.6,#23 Michigan  at  #34 Wisconsin,9:00 PM,Kohl Center
3,96.1,#37 Mississippi  at  #38 Louisville,9:00 PM,KFC Yum! Center
4,95.0,#10 Cincinnati  at  #62 Villanova,6:30 PM,William B. Finneran Pavilion
5,93.8,#60 Northwestern  at  #42 Iowa,7:00 PM,Carver-Hawkeye Arena
6,93.6,#61 Florida St  at  #50 LSU,9:00 PM,Pete Maravich Assembly Center
7,92.8,#68 Notre Dame  at  #44 Georgia,7:00 PM,Stegeman Coliseum
8,92.4,#36 Arkansas  at  #80 Miami,7:00 PM,Watsco Center
9,92.2,#31 BYU  at  #92 Providence,8:30 PM,Amica Mutual Pavilion
10,91.8,#90 Syracuse  at  #4 Tennessee,7:30 PM,Thompson-Boling Arena at Food City Center
11,91.7,#96 Washington  at  #16 UCLA,10:30 PM,Pauley Pavilion presented by Wescom
11,91.7,#88 Wake Forest  at  #32 Texas A&M,9:00 PM,Reed Arena
13,88.7,#108 GA Tech  at  #40 Oklahoma,9:00 PM,Lloyd Noble Center
14,87.7,#124 California  at  #46 Missouri,7:00 PM,Mizzou Arena
15,86.5,#100 Santa Clara  at  #83 McNeese St,7:00 PM,Legacy Center
16,85.5,#71 S Carolina  at  #128 Boston Col,7:00 PM,Conte Forum
17,85.3,#136 Sam Hous St  at  #43 Indiana,7:30 PM,Simon Skjodt Assembly Hall
18,83.2,#123 Princeton  at  #98 St Josephs,7:00 PM,Michael J. Hagan Arena
19,78.1,#73 Bradley  at  #178 S Illinois,8:00 PM,Banterra Center
20,78.0,#142 E Tenn St  at  #126 James Mad,7:00 PM,Atlantic Union Bank Center
21,77.5,#169 Utah Valley  at  #89 Stanford,10:00 PM,Maples Pavilion
22,77.2,#131 High Point  at  #143 NC-Grnsboro,7:00 PM,Michael B. Fleming Gymnasium
23,76.4,#139 NC-Wilmgton  at  #137 E Carolina,7:00 PM,Williams Arena at Minges Coliseum
23,76.4,#189 NC-Asheville  at  #77 Geo Mason,7:00 PM,EagleBank Arena
25,75.7,#130 La Salle  at  #156 Northeastrn,7:00 PM,Matthews Arena
26,73.8,#200 Hawaii  at  #87 Grd Canyon,9:00 PM,Global Credit Union Arena at GCU
27,71.6,#118 Lipscomb  at  #195 Chattanooga,7:00 PM,McKenzie Arena
28,69.0,#241 Alabama St  at  #55 S Methodist,8:00 PM,Moody Coliseum
29,66.2,#205 N Kentucky  at  #145 Akron,7:00 PM,James A. Rhodes Arena
30,63.9,#258 Evansville  at  #86 Murray St,8:00 PM,CFSB Center
31,63.7,#168 St Peters  at  #206 Duquesne,7:00 PM,UPMC Cooper Fieldhouse
32,61.9,#284 UTSA  at  #47 St Marys,10:00 PM,University Credit Union Pavilion
33,60.0,#294 W Michigan  at  #49 Dayton,7:00 PM,University of Dayton Arena
34,59.8,#215 Brown  at  #183 Vermont,7:00 PM,Patrick Gymnasium
35,56.2,#312 Utah Tech  at  #57 Boise St,9:00 PM,ExtraMile Arena
36,55.2,#311 E Michigan  at  #74 Loyola-Chi,8:30 PM,Joseph J. Gentile Arena
37,54.8,#315 San Diego  at  #65 Arizona St,9:00 PM,Desert Financial Arena
38,54.3,#135 Winthrop  at  #288 Queens,7:00 PM,Curry Arena
39,52.0,#333 E Illinois  at  #58 Butler,6:30 PM,Hinkle Fieldhouse
40,38.9,#346 Stetson  at  #157 S Florida,7:00 PM,Yuengling Center
41,33.6,#336 Delaware St  at  #209 Delaware,6:30 PM,Bob Carpenter Center
42,33.4,#296 NC A&T  at  #263 Hampton,7:00 PM,Hampton Convocation Center
43,31.7,#252 Army  at  #317 Le Moyne,7:00 PM,Ted Grant Court
44,28.1,#223 Presbyterian  at  #354 Florida A&M,7:00 PM,Alfred Lawson Jr. Multipurpose Center
45,22.6,#313 TN Martin  at  #308 Charl South,7:30 PM,Buccaneer Field House
46,11.0,#323 Dartmouth  at  #357 N Hampshire,7:00 PM,Lundholm Gymnasium
47,--,Pittsburgh-Bradford  at  #331 Buffalo,7:00 PM,Alumni Arena
47,--,Mid-Atlantic Christian  at  #172 App State,6:30 PM,Holmes Convocation Center
47,--,Maine-Augusta  at  #214 Maine,6:00 PM,Memorial Gym
47,--,Tusculum  at  #132 Col Charlestn,7:00 PM,TD Arena
47,--,Benedictine University  at  #339 N Illinois,7:00 PM,NIU Convocation Center
47,--,Arkansas Baptist  at  #221 Grambling St,7:00 PM,Willis Reed Court at the Fredrick C. Hobdy Center
47,--,Toccoa Falls  at  #332 Citadel,7:00 PM,McAlister Field House
47,--,Park University  at  #210 S Utah,8:30 PM,America First Events Center
47,--,Dallas Christian  at  #328 Tarleton St,8:00 PM,Wisdom Gym
47,--,Virginia-Lynchburg  at  #338 VMI,6:00 PM,Cameron Hall
