Team,Over Record,Over %,Under %,Total +/-
Dartmouth,2-0-0,100.0%,0.0%,+23.0
Mississippi,2-0-0,100.0%,0.0%,+23.0
Cornell,2-0-0,100.0%,0.0%,+11.8
James Mad,1-0-0,100.0%,0.0%,+7.0
Gard-Webb,1-0-0,100.0%,0.0%,+3.0
Tennessee,1-0-0,100.0%,0.0%,+8.0
San Francisco,2-0-0,100.0%,0.0%,+12.3
Dayton,1-0-0,100.0%,0.0%,+24.5
Manhattan,1-0-0,100.0%,0.0%,+20.0
Jacksonville,3-0-0,100.0%,0.0%,+13.0
Akron,1-0-0,100.0%,0.0%,+2.5
Princeton,1-0-0,100.0%,0.0%,+13.5
Stony Brook,1-0-0,100.0%,0.0%,+8.0
LA Tech,1-0-0,100.0%,0.0%,+20.5
Lamar,2-0-0,100.0%,0.0%,+15.3
Rutgers,3-0-0,100.0%,0.0%,+13.2
Louisville,1-0-0,100.0%,0.0%,+21.0
Mass Lowell,1-0-0,100.0%,0.0%,+2.0
Missouri St,1-0-0,100.0%,0.0%,+74.0
Incar Word,2-0-0,100.0%,0.0%,+15.3
Bucknell,2-0-0,100.0%,0.0%,+13.8
Cal St Nrdge,1-0-0,100.0%,0.0%,+13.0
N Carolina,2-0-0,100.0%,0.0%,+8.3
SE Missouri,2-0-0,100.0%,0.0%,+12.3
Army,1-0-0,100.0%,0.0%,+6.0
TN Tech,1-0-0,100.0%,0.0%,+29.5
Colorado St,1-0-0,100.0%,0.0%,+8.5
Georgetown,2-0-0,100.0%,0.0%,+8.5
Weber St,1-0-0,100.0%,0.0%,+8.0
E Washingtn,3-0-0,100.0%,0.0%,+9.7
South Dakota,1-0-0,100.0%,0.0%,+0.5
UTSA,2-0-0,100.0%,0.0%,+4.8
Idaho St,1-0-0,100.0%,0.0%,+6.0
S Methodist,1-0-0,100.0%,0.0%,+3.0
IL-Chicago,1-0-0,100.0%,0.0%,+15.0
Navy,2-0-0,100.0%,0.0%,+20.8
Samford,1-0-0,100.0%,0.0%,+47.0
Geo Mason,2-0-0,100.0%,0.0%,+13.8
