Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,5-2-1,71.4%,-3.3,+1.6
NC Central,114-82-4,58.2%,6.0,+1.0
St. Thomas,53-40-2,57.0%,4.5,+1.8
Furman,163-124-5,56.8%,7.5,+1.3
Yale,134-102-8,56.8%,7.2,+1.4
Nevada,183-141-6,56.5%,5.4,+1.2
Sam Hous St,118-91-5,56.5%,6.2,+1.3
Villanova,198-155-5,56.1%,10.1,+0.7
E Washingtn,172-135-3,56.0%,4.3,+1.5
Houston,182-144-7,55.8%,12.3,+2.4
S Dakota St,171-136-4,55.7%,7.3,+1.4
SE Louisiana,111-89-2,55.5%,-1.8,-0.1
S Alabama,164-132-4,55.4%,1.1,+0.6
St Peters,169-136-2,55.4%,0.7,+1.0
Florida A&M,108-87-0,55.4%,-8.5,+0.9
N Florida,124-100-2,55.4%,0.5,+1.2
Colgate,124-101-3,55.1%,4.6,+1.2
Baylor,174-142-7,55.1%,9.2,+0.9
TX A&M-CC,115-95-1,54.8%,2.6,+1.0
Penn St,174-144-7,54.7%,2.4,+1.0
North Texas,159-133-5,54.5%,3.9,+0.9
Maine,104-87-4,54.5%,-7.2,0.0
TX-Arlington,161-135-7,54.4%,3.0,+0.8
Utah Valley,126-106-2,54.3%,3.0,+1.6
Norfolk St,114-96-4,54.3%,4.1,+1.3
S Car State,108-91-4,54.3%,-6.2,+0.9
Oakland,171-145-4,54.1%,1.6,0.0
Le Moyne,20-17-1,54.1%,-1.0,+3.1
NW State,102-87-5,54.0%,-4.2,+0.7
Oregon,189-163-3,53.7%,6.9,+0.6
Connecticut,178-154-5,53.6%,7.5,+0.7
Morehead St,158-137-9,53.6%,2.8,+0.4
Belmont,166-144-6,53.6%,7.7,+0.4
St Bonavent,159-138-10,53.5%,4.0,+0.7
Hampton,115-100-2,53.5%,-1.7,+0.7
Hofstra,161-140-5,53.5%,5.5,+0.6
Lipscomb,131-114-3,53.5%,3.2,+0.4
St Marys,171-149-7,53.4%,10.2,+1.0
Davidson,163-142-3,53.4%,5.2,+0.5
Michigan St,187-163-3,53.4%,7.9,+0.4
UC Irvine,165-144-11,53.4%,6.9,+0.8
GA Tech,166-145-4,53.4%,-0.2,+0.3
Stetson,108-95-7,53.2%,-2.5,+0.7
Gard-Webb,118-104-2,53.2%,2.7,+0.9
Longwood,110-97-3,53.1%,-0.8,+1.0
Toledo,170-150-1,53.1%,6.1,+0.5
Auburn,172-152-8,53.1%,5.4,+0.9
Boise St,165-146-6,53.1%,7.3,+1.3
Virginia,174-154-7,53.1%,8.9,-0.2
Buffalo,160-142-7,53.0%,4.1,+0.7
Creighton,179-159-5,53.0%,6.9,+0.9
Miss State,170-151-6,53.0%,3.9,+0.7
Stony Brook,117-104-7,52.9%,1.8,-0.2
Providence,175-156-5,52.9%,3.6,+0.8
Gonzaga,184-164-9,52.9%,18.1,+1.6
Maryland BC,113-101-2,52.8%,0.2,+1.4
LA Tech,155-139-2,52.7%,7.3,-0.1
Rob Morris,117-105-2,52.7%,-1.5,-0.3
Utah Tech,59-53-3,52.7%,-3.1,0.0
Iowa St,169-152-5,52.7%,5.0,+0.8
Seton Hall,170-153-5,52.6%,3.8,+0.4
Wofford,156-141-3,52.5%,5.1,+0.9
UCF,161-146-3,52.4%,2.0,+0.7
VCU,173-157-6,52.4%,6.6,+0.5
Merrimack,76-69-3,52.4%,0.3,+0.2
Clemson,164-149-6,52.4%,4.7,+0.8
Liberty,120-109-4,52.4%,7.8,+0.1
Purdue,175-159-11,52.4%,10.0,+1.1
Jksnville St,147-134-7,52.3%,2.7,+0.6
Presbyterian,102-93-6,52.3%,-3.4,-0.2
South Dakota,150-137-4,52.3%,2.2,0.0
S Carolina,163-149-4,52.2%,1.9,+0.1
W Kentucky,163-149-4,52.2%,3.5,-0.1
N Carolina,187-171-11,52.2%,8.7,+0.6
USC,179-164-0,52.2%,4.2,0.0
UC Davis,146-134-6,52.1%,1.5,+0.5
Abl Christian,99-91-3,52.1%,4.0,+0.6
BYU,166-153-9,52.0%,8.3,+0.9
Kansas City,116-107-4,52.0%,0.4,+0.4
E Tenn St,155-143-6,52.0%,5.6,+0.5
Duke,182-168-8,52.0%,12.1,+0.3
Indiana St,157-145-9,52.0%,1.9,+0.3
Marquette,171-158-5,52.0%,4.9,+0.4
Michigan,178-165-2,51.9%,6.0,+0.7
UCSD,55-51-2,51.9%,1.5,+0.3
IPFW,152-141-4,51.9%,4.1,+0.3
Kansas St,168-156-5,51.9%,2.1,+0.1
Utah St,161-150-5,51.8%,6.9,+1.3
Southern,103-96-3,51.8%,0.5,+0.6
Maryland ES,88-82-4,51.8%,-6.8,-0.8
Arkansas St,148-138-6,51.8%,-0.5,-0.2
San Diego St,165-154-11,51.7%,8.4,+0.7
SC Upstate,106-99-6,51.7%,-2.7,0.0
Loyola-Chi,166-155-4,51.7%,5.9,+0.5
Temple,157-147-9,51.6%,0.6,0.0
Monmouth,160-150-7,51.6%,-0.4,0.0
Wichita St,160-150-10,51.6%,7.7,+0.2
Vanderbilt,167-157-7,51.5%,0.8,+0.3
Vermont,118-111-6,51.5%,8.9,+0.3
Grd Canyon,119-112-3,51.5%,6.8,+0.6
Santa Clara,153-144-8,51.5%,0.3,+0.2
Drake,160-151-6,51.5%,3.4,+0.8
Oregon St,160-151-6,51.5%,-0.8,+0.4
Campbell,108-102-3,51.4%,1.9,+0.4
Kansas,181-171-5,51.4%,9.2,0.0
UCSB,145-137-7,51.4%,4.9,-0.2
Kent St,151-143-14,51.4%,4.2,+0.1
St Josephs,157-149-7,51.3%,-1.0,0.0
