Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,4-2-1,66.7%,-15.6,+0.1
Gard-Webb,72-44-2,62.1%,-3.8,+2.0
Hofstra,85-52-4,62.0%,2.4,+2.1
Wichita St,63-41-3,60.6%,3.5,+1.1
Virginia,65-44-3,59.6%,3.4,+0.3
Providence,63-43-2,59.4%,-1.7,+1.9
Baylor,60-41-3,59.4%,0.4,+0.6
St Marys,56-39-2,59.0%,6.6,+1.9
Vanderbilt,64-45-3,58.7%,-5.8,+1.2
S Florida,64-45-5,58.7%,-8.0,+1.0
NW State,63-45-3,58.3%,-11.0,+0.8
UC Davis,81-58-1,58.3%,-2.3,+2.4
SE Louisiana,65-47-0,58.0%,-8.3,+0.4
E Washingtn,97-71-2,57.7%,-2.8,+1.6
Lipscomb,71-52-2,57.7%,-2.6,+1.8
Buffalo,75-55-3,57.7%,-0.2,+2.3
Towson,69-51-4,57.5%,-0.1,+1.5
Toledo,81-60-1,57.5%,1.9,+1.2
Sam Hous St,62-46-3,57.4%,-2.4,+1.0
TX A&M-CC,59-44-1,57.3%,-3.6,+1.8
Lafayette,64-48-1,57.1%,-6.8,+1.3
Kansas St,62-47-1,56.9%,-5.3,+0.5
GA Tech,67-51-1,56.8%,-5.9,+1.6
Oakland,88-67-3,56.8%,-2.8,+1.1
Santa Clara,59-45-3,56.7%,-4.8,+1.1
Elon,81-62-0,56.6%,-6.6,+1.5
Seton Hall,64-49-2,56.6%,-1.9,+1.0
Campbell,56-43-3,56.6%,-4.3,+1.1
Stetson,61-47-5,56.5%,-9.4,+0.7
Yale,70-54-5,56.5%,1.3,+1.3
N Colorado,80-62-4,56.3%,-3.0,+1.9
St Peters,85-66-1,56.3%,-3.4,+1.1
Jksnville St,81-63-6,56.3%,-3.0,+1.2
Mississippi,64-50-1,56.1%,-3.8,+0.3
Texas A&M,55-43-2,56.1%,-1.5,+1.8
Boise St,69-54-2,56.1%,1.2,+1.4
Marquette,60-47-2,56.1%,-1.6,+1.0
Loyola Mymt,65-51-6,56.0%,-6.1,+0.8
Temple,63-50-5,55.8%,-3.1,+0.1
Georgia,63-50-1,55.8%,-7.0,-0.3
Utah Valley,64-51-2,55.7%,-3.6,+1.5
S Alabama,74-59-4,55.6%,-6.3,-0.4
Northwestern,60-48-3,55.6%,-5.0,+1.0
James Mad,70-56-2,55.6%,-1.5,+1.5
Florida A&M,65-52-0,55.6%,-14.0,+0.8
Stony Brook,66-53-2,55.5%,-3.1,0.0
Hsn Christian,56-45-1,55.5%,-13.9,-0.4
Jackson St,72-58-2,55.4%,-8.7,+0.6
Lehigh,63-51-0,55.3%,-4.1,+0.7
Merrimack,42-34-3,55.3%,-4.4,+1.1
Arizona,58-47-2,55.2%,5.1,+0.3
UCSB,74-60-2,55.2%,-0.2,+0.9
NC Central,54-44-2,55.1%,-5.4,0.0
USC,60-49-0,55.1%,-2.0,-0.3
Miami,60-49-1,55.1%,-1.7,+1.0
Princeton,61-50-3,55.0%,2.3,+2.0
Cal St Nrdge,78-64-4,54.9%,-8.1,+0.5
Texas,56-46-0,54.9%,-3.3,+0.2
NJIT,63-52-2,54.8%,-7.4,+0.4
Albany,58-48-4,54.7%,-2.1,+1.0
S Dakota St,70-58-1,54.7%,-0.7,0.0
Rob Morris,70-58-0,54.7%,-6.3,-0.2
North Texas,67-56-4,54.5%,-3.4,+0.7
Maine,67-56-1,54.5%,-12.9,-0.6
Loyola-Chi,62-52-4,54.4%,-0.5,+0.1
Mass Lowell,62-52-0,54.4%,-4.3,+0.6
N Arizona,82-69-3,54.3%,-10.6,-0.4
Georgetown,57-48-1,54.3%,-6.1,+1.6
Colgate,64-54-2,54.2%,-0.5,+0.9
Navy,58-49-1,54.2%,-1.9,+1.4
Montana St,78-66-6,54.2%,-5.4,-0.1
S Carolina,60-51-1,54.1%,-4.3,+0.7
Army,60-51-2,54.1%,-4.5,-0.1
Furman,74-63-3,54.0%,1.0,+1.2
Sac State,74-63-5,54.0%,-7.0,0.0
Portland St,75-64-5,54.0%,-4.4,+0.4
Brown,63-54-3,53.9%,-4.5,+1.5
Canisius,77-66-6,53.9%,-4.3,+0.2
Davidson,64-55-1,53.8%,0.5,+0.7
Chattanooga,79-68-1,53.7%,-1.9,+0.7
Coppin St,72-62-4,53.7%,-15.4,-0.4
NC-Grnsboro,72-62-1,53.7%,0.1,+1.9
Bucknell,65-56-1,53.7%,-3.6,+0.6
N Illinois,80-69-2,53.7%,-7.2,+0.4
S Utah,80-69-1,53.7%,-7.1,+0.3
Idaho St,82-71-1,53.6%,-8.4,+1.1
Grambling St,60-52-1,53.6%,-9.4,+1.2
Villanova,61-53-3,53.5%,4.0,-0.7
Geo Mason,61-53-2,53.5%,-3.9,+1.8
American,63-55-1,53.4%,-6.3,+0.7
E Tenn St,71-62-3,53.4%,-0.4,+1.2
IPFW,80-70-1,53.3%,-3.3,+0.3
Nevada,64-56-3,53.3%,-0.7,+0.4
Notre Dame,56-49-4,53.3%,-2.9,+0.9
Tennessee,57-50-0,53.3%,0.6,+0.5
Marist,74-65-3,53.2%,-6.0,+0.5
Morehead St,83-73-5,53.2%,-4.7,+0.6
VCU,58-51-0,53.2%,1.7,+0.1
N Florida,67-59-1,53.2%,-8.3,+0.1
Bellarmine,34-30-1,53.1%,-7.1,+0.7
South Dakota,70-62-1,53.0%,-5.1,-0.3
Central Conn,62-55-1,53.0%,-10.9,+0.5
Niagara,80-71-1,53.0%,-6.7,+0.2
Tulane,54-48-3,52.9%,-7.1,+1.0
Boston U,63-56-5,52.9%,-2.0,+1.8
WI-Milwkee,74-66-3,52.9%,-5.7,-0.1
Norfolk St,57-51-1,52.8%,-4.2,+0.4
Radford,59-53-3,52.7%,-3.4,+1.2
SC Upstate,61-55-5,52.6%,-9.7,+0.5
Vermont,53-48-3,52.5%,3.8,-0.1
Kansas City,54-49-3,52.4%,-8.1,+0.1
S Car State,65-59-0,52.4%,-13.6,+0.4
Binghamton,55-50-2,52.4%,-9.9,+0.8
W Kentucky,67-61-0,52.3%,-2.4,-0.6
Fresno St,67-61-2,52.3%,-2.6,+1.0
Penn St,56-51-3,52.3%,-4.9,+0.7
Citadel,68-62-5,52.3%,-11.5,-0.2
W Carolina,80-73-3,52.3%,-8.8,-0.3
Alabama St,57-52-3,52.3%,-11.9,-1.3
Monmouth,80-73-4,52.3%,-4.0,+0.1
Mercer,72-66-2,52.2%,-3.5,+0.3
Fairfield,73-67-2,52.1%,-4.8,-0.1
San Diego,62-57-1,52.1%,-7.3,+0.5
Wofford,76-70-2,52.1%,-2.1,+0.5
Maryland,52-48-5,52.0%,-1.9,+0.9
TX-Arlington,79-73-3,52.0%,-2.9,+1.3
E Illinois,81-75-2,51.9%,-8.2,+0.8
Texas St,68-63-6,51.9%,-2.6,+0.5
Maryland BC,57-53-2,51.8%,-5.1,+1.4
Bowling Grn,71-66-1,51.8%,-3.9,-0.2
UC Irvine,78-73-5,51.7%,0.9,+0.9
F Dickinson,64-60-0,51.6%,-7.2,+0.1
McNeese St,49-46-3,51.6%,-8.5,+0.7
N Kentucky,67-63-1,51.5%,-2.3,+0.6
Duquesne,51-48-1,51.5%,-5.5,-0.3
Pittsburgh,52-49-4,51.5%,-5.7,+1.2
Central Mich,70-66-7,51.5%,-6.7,+0.3
Hampton,53-50-0,51.5%,-8.0,+0.2
Illinois,54-51-3,51.4%,-2.5,+0.6
Arkansas,55-52-0,51.4%,-2.9,-0.1
Columbia,56-53-3,51.4%,-6.8,0.0
N Hampshire,56-53-1,51.4%,-5.8,-0.2
Colorado St,57-54-0,51.4%,-2.4,+0.3
Jacksonville,59-56-1,51.3%,-7.9,-0.6
St Josephs,62-59-5,51.2%,-5.4,+0.3
Alcorn St,65-62-2,51.2%,-13.0,-0.6
Valparaiso,68-65-5,51.1%,-4.0,-0.5
Hawaii,46-44-2,51.1%,-1.0,+0.7
Gonzaga,48-46-3,51.1%,15.1,+2.7
Samford,72-69-3,51.1%,-6.0,-1.0
St. Thomas,24-23-2,51.1%,-4.9,0.0
UC Riverside,73-70-5,51.1%,-6.4,-0.3
High Point,49-47-2,51.0%,-5.6,-1.8
Washington,53-51-2,51.0%,-6.4,-0.3
Winthrop,54-52-0,50.9%,0.9,+0.6
BYU,54-52-2,50.9%,2.4,+0.9
Kansas,54-52-1,50.9%,2.1,-0.7
Maryland ES,56-54-2,50.9%,-14.6,-0.8
NC-Wilmgton,66-64-6,50.8%,-3.4,+0.1
Cal Baptist,34-33-2,50.8%,-4.6,+0.3
Troy,73-71-3,50.7%,-5.4,+0.6
UL Monroe,74-72-3,50.7%,-8.5,-0.2
Montana,74-72-5,50.7%,-2.2,-0.1
Youngs St,75-73-1,50.7%,-6.8,-0.5
Cleveland St,76-74-3,50.7%,-7.4,-0.2
Neb Omaha,81-79-2,50.6%,-10.1,-1.1
Coastal Car,54-53-3,50.5%,-4.2,-0.4
Presbyterian,55-54-2,50.5%,-10.9,-0.7
DePaul,55-54-5,50.5%,-9.3,+0.1
Wisconsin,56-55-4,50.5%,-0.1,+0.2
St Bonavent,57-56-6,50.4%,-0.6,-0.3
Creighton,57-56-2,50.4%,-1.0,+0.4
Portland,59-58-2,50.4%,-9.9,-0.3
Richmond,60-59-1,50.4%,-1.6,+0.5
Col Charlestn,62-61-2,50.4%,0.8,+0.7
Kent St,64-63-6,50.4%,-2.0,0.0
Quinnipiac,64-63-6,50.4%,-4.2,-0.2
E Kentucky,73-72-2,50.3%,-5.7,-0.3
Belmont,74-73-3,50.3%,3.2,0.0
LA Tech,67-67-0,50.0%,-0.2,-0.7
Kentucky,51-51-1,50.0%,3.3,+0.5
TX Southern,67-67-2,50.0%,-6.5,+0.7
Nicholls,51-51-1,50.0%,-8.5,0.0
S Illinois,63-63-3,50.0%,-4.2,-0.3
GA Southern,72-72-1,50.0%,-4.1,+0.1
San Francisco,56-56-2,50.0%,-0.4,+1.2
Wyoming,58-58-2,50.0%,-6.9,-0.8
Dayton,52-52-3,50.0%,2.8,+0.7
Connecticut,52-52-0,50.0%,-0.5,-0.4
Florida,55-55-1,50.0%,-0.3,-0.2
Rider,76-76-3,50.0%,-3.2,+0.3
TX A&M-Com,20-20-2,50.0%,-11.5,0.0
Le Moyne,12-12-1,50.0%,-10.8,+1.8
Tarleton St,30-30-0,50.0%,-7.9,+0.4
WI-Grn Bay,80-80-2,50.0%,-7.7,-0.1
W Georgia,3-3-0,50.0%,-18.5,-0.5
Prairie View,59-60-2,49.6%,-8.9,-0.3
UCF,57-58-0,49.6%,-5.1,-0.7
NC State,48-49-6,49.5%,-4.1,0.0
Lg Beach St,74-76-1,49.3%,-7.6,-0.4
App State,66-68-7,49.3%,-6.5,-0.5
Weber St,65-67-1,49.2%,-2.5,-1.2
St Fran (PA),62-64-1,49.2%,-6.9,-0.3
Indiana St,61-63-3,49.2%,-3.4,-0.4
Alabama,55-57-1,49.1%,-1.8,0.0
Oklahoma St,54-56-3,49.1%,-4.2,+1.1
UNLV,53-55-3,49.1%,-3.4,-0.4
Charl South,52-54-2,49.1%,-10.1,-0.2
UCSD,26-27-0,49.1%,-5.3,+0.4
Fordham,51-53-3,49.0%,-8.3,+0.3
Cal Poly,70-73-5,49.0%,-10.5,-0.5
IL-Chicago,68-71-4,48.9%,-7.7,-0.9
Idaho,67-70-0,48.9%,-7.3,+0.8
Mt St Marys,60-63-2,48.8%,-6.0,+0.5
Akron,58-61-2,48.7%,-0.7,+0.1
U Mass,54-57-1,48.7%,-6.6,-1.7
N Carolina,53-56-3,48.6%,3.1,+0.1
Wm & Mary,70-74-3,48.6%,-6.3,-0.6
Houston,52-55-1,48.6%,4.4,+1.1
W Michigan,68-72-4,48.6%,-9.2,-0.3
Miss State,51-54-1,48.6%,-4.4,-0.4
Arkansas St,68-72-4,48.6%,-7.0,-0.5
Boston Col,50-53-3,48.5%,-9.1,0.0
LSU,50-53-3,48.5%,-4.1,+0.1
Miami (OH),66-70-4,48.5%,-7.3,+0.2
Louisiana,66-70-2,48.5%,-2.2,-0.8
Ball St,66-70-0,48.5%,-3.4,+0.6
Rice,62-66-2,48.4%,-6.6,+0.2
Florida Intl,62-66-2,48.4%,-7.2,-1.1
Sacred Hrt,59-63-1,48.4%,-5.5,-0.4
Incar Word,44-47-0,48.4%,-11.8,-0.7
Harvard,58-62-2,48.3%,-1.6,-0.5
U Penn,55-59-3,48.3%,-3.7,-1.0
Holy Cross,54-58-0,48.2%,-8.5,+0.2
Northeastrn,67-72-3,48.2%,-2.9,-0.4
W Illinois,67-72-2,48.2%,-9.6,-1.2
CS Fullerton,66-71-4,48.2%,-5.5,+0.8
Iona,64-69-0,48.1%,0.3,-0.5
NC A&T,51-55-1,48.1%,-11.5,-1.0
Oregon,50-54-1,48.1%,-1.0,-1.4
Murray St,62-67-2,48.1%,1.9,+0.3
Delaware,61-66-4,48.0%,-5.4,-0.8
Duke,48-52-3,48.0%,4.8,-0.2
Missouri St,59-64-5,48.0%,-3.8,-0.7
TX-Pan Am,47-51-2,48.0%,-11.6,-0.8
Miss Val St,70-76-1,48.0%,-23.0,-2.1
Detroit,78-85-2,47.9%,-9.8,-1.2
Southern,54-59-3,47.8%,-7.9,-0.1
Xavier,51-56-2,47.7%,-1.3,-0.3
Butler,51-56-2,47.7%,-4.3,-1.1
Memphis,50-55-2,47.6%,-1.0,-0.4
NC-Asheville,50-55-2,47.6%,-5.3,-1.4
Michigan St,49-54-2,47.6%,0.7,-1.2
Wright St,66-73-1,47.5%,-0.4,+0.1
N Mex State,47-52-2,47.5%,0.5,-1.2
N Alabama,47-52-1,47.5%,-9.1,-0.4
Utah Tech,28-31-3,47.5%,-10.8,-0.9
VMI,65-72-5,47.5%,-12.6,-0.8
Siena,65-72-2,47.5%,-4.9,-0.8
New Orleans,46-51-2,47.4%,-10.3,-2.4
Fla Gulf Cst,46-51-0,47.4%,-3.1,+0.2
Drexel,63-70-1,47.4%,-5.4,-0.3
CS Bakersfld,54-60-2,47.4%,-5.3,+0.9
Grd Canyon,36-40-0,47.4%,-1.0,-0.5
Austin Peay,69-77-2,47.3%,-8.2,-1.5
Cornell,59-66-2,47.2%,-6.5,-0.2
Air Force,58-65-4,47.2%,-10.4,-1.5
Manhattan,65-73-2,47.1%,-8.2,-1.6
IU Indy,73-82-3,47.1%,-12.0,-1.3
Dartmouth,55-62-7,47.0%,-7.3,-0.3
TN Tech,70-79-1,47.0%,-10.5,-1.5
Central Ark,54-61-3,47.0%,-14.5,-1.9
Texas Tech,45-51-2,46.9%,-4.1,-0.9
Longwood,50-57-1,46.7%,-7.2,+0.1
San Diego St,49-56-5,46.7%,2.7,-0.4
St Johns,48-55-2,46.6%,-5.7,0.0
Cincinnati,52-60-3,46.4%,1.1,-0.6
Marshall,63-73-1,46.3%,-5.2,-1.7
S Methodist,50-58-3,46.3%,-1.0,-1.3
La Salle,56-65-3,46.3%,-7.4,-1.2
SE Missouri,66-77-5,46.2%,-8.9,-0.3
Iowa St,48-56-2,46.2%,-5.7,-0.9
San Jose St,59-69-1,46.1%,-14.7,-1.4
TX Christian,47-55-3,46.1%,-6.7,-1.5
Louisville,47-55-3,46.1%,-3.8,-0.9
Abl Christian,41-48-1,46.1%,-5.8,-0.7
California,52-61-0,46.0%,-10.3,-2.2
Seattle,45-53-0,45.9%,-5.8,-0.6
TN Martin,72-85-1,45.9%,-7.4,-0.6
Evansville,61-72-1,45.9%,-10.2,-2.5
Missouri,49-58-1,45.8%,-9.1,-1.2
Arizona St,49-58-5,45.8%,-5.1,-1.1
