Team,Over Record,Over %,Under %,Total +/-
New Orleans,211-148-5,58.8%,41.2%,+2.8
Queens,38-28-2,57.6%,42.4%,+1.1
Grd Canyon,140-105-2,57.1%,42.9%,+1.2
North Dakota,200-152-3,56.8%,43.2%,+2.4
Idaho St,289-224-6,56.3%,43.7%,+2.3
Oral Roberts,224-174-3,56.3%,43.7%,+2.4
S Indiana,37-29-0,56.1%,43.9%,+2.4
NC-Asheville,134-106-5,55.8%,44.2%,+1.8
UCSD,58-46-3,55.8%,44.2%,+3.2
Neb Omaha,186-148-3,55.7%,44.3%,+2.3
Oakland,251-200-6,55.7%,44.4%,+2.6
Buffalo,328-265-9,55.3%,44.7%,+2.3
SE Missouri,294-238-8,55.3%,44.7%,+3.0
Hsn Christian,112-91-3,55.2%,44.8%,+4.1
Youngs St,300-245-3,55.1%,45.0%,+2.5
UTSA,185-152-3,54.9%,45.1%,+2.2
Wake Forest,387-318-12,54.9%,45.1%,+1.5
Weber St,308-254-6,54.8%,45.2%,+1.4
South Dakota,193-160-5,54.7%,45.3%,+3.0
E Washingtn,312-260-6,54.6%,45.5%,+2.3
Gard-Webb,136-114-3,54.4%,45.6%,+1.9
Lipscomb,149-125-3,54.4%,45.6%,+1.9
McNeese St,110-93-2,54.2%,45.8%,+2.0
SC Upstate,132-112-0,54.1%,45.9%,+0.7
S Utah,219-186-6,54.1%,45.9%,+1.6
N Colorado,253-216-7,53.9%,46.1%,+2.4
Denver,300-259-7,53.7%,46.3%,+1.1
Auburn,334-289-4,53.6%,46.4%,+1.6
Bellarmine,60-52-2,53.6%,46.4%,+1.2
NW State,116-101-5,53.5%,46.5%,+1.5
TX Southern,148-129-2,53.4%,46.6%,+2.6
Radford,133-116-1,53.4%,46.6%,+0.7
Boston Col,340-297-13,53.4%,46.6%,+1.1
Portland St,282-247-8,53.3%,46.7%,+2.3
Montana St,296-260-0,53.2%,46.8%,+1.2
W Michigan,316-278-5,53.2%,46.8%,+1.1
Nevada,341-300-6,53.2%,46.8%,+1.1
Baylor,322-284-7,53.1%,46.9%,+1.8
WI-Grn Bay,308-272-7,53.1%,46.9%,+1.4
S Dakota St,223-197-3,53.1%,46.9%,+1.8
Abl Christian,103-91-2,53.1%,46.9%,+1.4
Iowa St,341-302-12,53.0%,47.0%,+1.5
Stetson,124-110-3,53.0%,47.0%,+1.7
Providence,349-310-9,53.0%,47.0%,+1.4
Florida Intl,278-247-6,53.0%,47.1%,+0.9
Dayton,350-311-8,53.0%,47.1%,+0.7
