Team,Over Record,Over %,Under %,Total +/-
New Orleans,120-69-4,63.5%,36.5%,+3.5
Oral Roberts,162-118-2,57.9%,42.1%,+2.3
Grd Canyon,134-98-2,57.8%,42.2%,+1.5
Queens,38-28-2,57.6%,42.4%,+1.1
Samford,159-118-2,57.4%,42.6%,+4.0
South Dakota,161-120-4,57.3%,42.7%,+3.6
North Dakota,164-123-3,57.1%,42.9%,+2.7
Denver,161-121-2,57.1%,42.9%,+2.5
Hsn Christian,108-82-2,56.8%,43.2%,+4.6
E Washingtn,174-133-2,56.7%,43.3%,+3.2
S Utah,160-125-6,56.1%,43.9%,+2.2
S Indiana,37-29-0,56.1%,43.9%,+2.4
Wake Forest,172-135-6,56.0%,44.0%,+1.8
Wofford,164-129-4,56.0%,44.0%,+1.9
UCSD,58-46-3,55.8%,44.2%,+3.2
N Colorado,159-127-4,55.6%,44.4%,+2.5
Wyoming,167-134-6,55.5%,44.5%,+2.7
Youngs St,160-129-0,55.4%,44.6%,+2.5
NC-Asheville,114-92-5,55.3%,44.7%,+1.3
WI-Grn Bay,166-134-5,55.3%,44.7%,+2.1
SC Upstate,115-93-0,55.3%,44.7%,+1.2
Iowa,179-145-6,55.3%,44.8%,+2.6
Florida St,176-143-7,55.2%,44.8%,+1.3
Stetson,114-93-3,55.1%,44.9%,+2.2
Neb Omaha,160-131-3,55.0%,45.0%,+2.1
WI-Milwkee,166-136-0,55.0%,45.0%,+2.2
Morgan St,100-82-3,55.0%,45.1%,+1.9
McNeese St,100-82-2,55.0%,45.1%,+1.9
Gard-Webb,122-101-2,54.7%,45.3%,+1.8
Columbia,122-101-5,54.7%,45.3%,+2.0
Gonzaga,193-161-1,54.5%,45.5%,+1.3
Rice,159-133-1,54.5%,45.6%,+2.0
Bowling Grn,159-133-2,54.5%,45.6%,+1.7
UNLV,170-143-1,54.3%,45.7%,+2.1
Montana,164-138-1,54.3%,45.7%,+2.0
Lipscomb,133-112-2,54.3%,45.7%,+1.7
Idaho St,146-123-3,54.3%,45.7%,+1.7
Montana St,160-135-0,54.2%,45.8%,+1.9
Oregon St,169-143-1,54.2%,45.8%,+0.5
Indiana St,163-138-2,54.2%,45.9%,+1.6
Bellarmine,61-52-2,54.0%,46.0%,+1.3
W Virginia,178-152-3,53.9%,46.1%,+1.8
UTSA,148-127-2,53.8%,46.2%,+2.2
Howard,106-91-3,53.8%,46.2%,+2.2
Boston Col,163-140-6,53.8%,46.2%,+1.4
Syracuse,173-149-3,53.7%,46.3%,+1.5
Weber St,152-131-5,53.7%,46.3%,+1.5
S Dakota St,162-140-3,53.6%,46.4%,+2.0
Hampton,114-99-2,53.5%,46.5%,+2.3
F Dickinson,115-100-4,53.5%,46.5%,+2.5
Wright St,164-143-1,53.4%,46.6%,+1.4
Delaware St,103-90-2,53.4%,46.6%,+1.8
Tulane,151-132-2,53.4%,46.6%,+2.3
Dayton,170-149-5,53.3%,46.7%,+0.6
S Methodist,158-139-4,53.2%,46.8%,+1.5
Geo Mason,159-140-2,53.2%,46.8%,+0.8
Ball St,151-133-5,53.2%,46.8%,+1.6
Air Force,152-134-3,53.2%,46.9%,+1.6
Abl Christian,102-90-2,53.1%,46.9%,+1.4
Baylor,170-150-4,53.1%,46.9%,+1.8
IPFW,153-135-4,53.1%,46.9%,+1.3
NC-Wilmgton,154-136-1,53.1%,46.9%,+1.8
Northeastrn,157-139-2,53.0%,47.0%,+1.1
U Mass,159-141-0,53.0%,47.0%,+1.6
Prairie View,107-95-1,53.0%,47.0%,+1.3
LSU,171-152-4,52.9%,47.1%,+2.1
Delaware,153-136-2,52.9%,47.1%,+1.6
Lehigh,108-96-1,52.9%,47.1%,+1.9
Florida Intl,145-129-4,52.9%,47.1%,+1.3
SE Missouri,146-130-5,52.9%,47.1%,+2.4
Santa Clara,155-138-5,52.9%,47.1%,+0.9
NW State,101-90-3,52.9%,47.1%,+1.3
Toledo,165-147-3,52.9%,47.1%,+1.8
Central Ark,103-92-4,52.8%,47.2%,+2.3
TX Southern,131-117-2,52.8%,47.2%,+2.5
SIU Edward,143-128-7,52.8%,47.2%,+0.1
Loyola-MD,105-94-2,52.8%,47.2%,+0.7
Ark Pine Bl,106-95-3,52.7%,47.3%,+1.3
Auburn,174-156-1,52.7%,47.3%,+1.5
Yale,126-113-1,52.7%,47.3%,+2.4
Bucknell,120-108-3,52.6%,47.4%,+1.1
TX-Pan Am,100-90-3,52.6%,47.4%,+1.0
Incar Word,90-81-2,52.6%,47.4%,+1.7
Alcorn St,102-92-2,52.6%,47.4%,+1.8
CS Bakersfld,115-104-0,52.5%,47.5%,+0.7
Utah,169-153-4,52.5%,47.5%,+1.2
San Jose St,151-137-4,52.4%,47.6%,+1.4
Miss Val St,109-99-3,52.4%,47.6%,+1.3
Campbell,110-100-3,52.4%,47.6%,+0.4
Boston U,122-111-2,52.4%,47.6%,-0.2
Norfolk St,111-101-1,52.4%,47.6%,+0.1
La Salle,157-143-2,52.3%,47.7%,+0.9
NC State,170-155-2,52.3%,47.7%,+0.8
E Illinois,149-136-2,52.3%,47.7%,+1.2
Indiana,173-158-4,52.3%,47.7%,+1.1
Loyola Mymt,152-139-4,52.2%,47.8%,-0.3
Detroit,154-141-4,52.2%,47.8%,+2.6
Nevada,166-152-4,52.2%,47.8%,+1.3
Idaho,145-133-5,52.2%,47.8%,+1.2
New Mexico,158-145-2,52.2%,47.9%,+1.7
Lg Beach St,158-145-2,52.2%,47.9%,+1.8
Furman,147-135-4,52.1%,47.9%,+0.2
Central Mich,147-135-3,52.1%,47.9%,+1.2
Rhode Island,160-147-2,52.1%,47.9%,+0.2
Richmond,160-147-4,52.1%,47.9%,+1.0
VA Tech,160-147-5,52.1%,47.9%,+1.3
American,112-103-0,52.1%,47.9%,+0.9
Louisiana,150-138-5,52.1%,47.9%,+1.1
NJIT,113-104-1,52.1%,47.9%,-0.2
Georgetown,167-154-0,52.0%,48.0%,+1.5
Holy Cross,116-107-4,52.0%,48.0%,-0.2
Buffalo,155-143-4,52.0%,48.0%,+1.6
SE Louisiana,104-96-2,52.0%,48.0%,+1.1
Belmont,159-147-3,52.0%,48.0%,+1.1
Oakland,160-148-2,52.0%,48.1%,+1.6
Nebraska,161-149-5,51.9%,48.1%,+0.9
TX A&M-CC,107-99-4,51.9%,48.1%,+0.4
Charlotte,148-137-11,51.9%,48.1%,+1.4
N Dakota St,151-140-3,51.9%,48.1%,+1.5
U Penn,124-115-3,51.9%,48.1%,+1.3
Kentucky,182-169-1,51.9%,48.2%,+1.4
Portland St,141-131-5,51.8%,48.2%,+1.7
Georgia,169-157-1,51.8%,48.2%,+0.5
Colorado St,157-146-4,51.8%,48.2%,+1.3
Alabama,174-162-7,51.8%,48.2%,+0.8
Marshall,159-148-4,51.8%,48.2%,+1.7
Purdue,176-164-3,51.8%,48.2%,+1.4
Oregon,181-169-5,51.7%,48.3%,+0.9
W Illinois,131-123-1,51.6%,48.4%,+1.0
Radford,115-108-1,51.6%,48.4%,-0.1
N Florida,115-108-3,51.6%,48.4%,+1.4
Vanderbilt,167-157-6,51.5%,48.5%,+1.1
Hofstra,155-146-1,51.5%,48.5%,+1.8
Ohio St,173-163-3,51.5%,48.5%,+1.1
Pepperdine,156-147-4,51.5%,48.5%,+1.2
Lafayette,104-98-4,51.5%,48.5%,0.0
Utah St,157-148-4,51.5%,48.5%,+1.1
Austin Peay,146-138-5,51.4%,48.6%,+2.6
Michigan,174-165-5,51.3%,48.7%,+0.3
DePaul,158-150-4,51.3%,48.7%,+0.9
James Mad,147-140-2,51.2%,48.8%,+1.2
LA Tech,147-140-4,51.2%,48.8%,-0.1
Kennesaw St,106-101-4,51.2%,48.8%,+0.4
Arizona,176-168-5,51.2%,48.8%,+1.2
Illinois St,156-149-3,51.2%,48.9%,+0.6
TX Christian,164-157-5,51.1%,48.9%,+0.7
Pacific,143-137-4,51.1%,48.9%,+1.2
W Carolina,146-140-1,51.1%,49.0%,+1.1
