Team,ATS Record,Cover %,MOV,ATS +/-
Le Moyne,6-1-0,85.7%,19.5,+10.0
Queens,7-3-2,70.0%,14.4,+2.7
SE Louisiana,34-16-0,68.0%,6.2,+1.9
Maryland ES,22-11-1,66.7%,-5.8,+0.8
Norfolk St,39-22-0,63.9%,2.8,+1.6
Grd Canyon,36-21-0,63.2%,11.7,+2.1
Fla Gulf Cst,28-17-0,62.2%,6.1,+3.8
NC Central,29-18-1,61.7%,11.9,+3.0
IU Indy,51-32-0,61.5%,4.1,+1.2
Mercer,38-24-3,61.3%,3.6,+2.4
Vermont,31-20-0,60.8%,8.5,+2.0
McNeese St,23-15-1,60.5%,6.4,+2.3
TX-Arlington,38-25-1,60.3%,6.8,+2.5
N Alabama,19-13-1,59.4%,11.5,+0.4
Incar Word,19-13-0,59.4%,6.3,+1.0
Presbyterian,27-19-2,58.7%,5.0,+0.6
Cornell,49-35-1,58.3%,3.9,+1.1
S Dakota St,51-37-2,58.0%,8.2,+1.5
Wofford,77-56-3,57.9%,9.9,+0.9
N Florida,24-18-0,57.1%,1.9,+1.2
Tarleton St,16-12-0,57.1%,17.5,+3.7
Davidson,114-87-3,56.7%,9.7,+0.8
Monmouth,51-39-3,56.7%,-2.6,+0.6
Coastal Car,35-27-1,56.5%,8.4,+0.3
UC Irvine,84-65-8,56.4%,8.0,+0.5
St Marys,97-76-6,56.1%,11.6,+0.9
Florida A&M,28-22-0,56.0%,-5.9,+1.2
LSU,85-67-8,55.9%,7.3,+1.0
WI-Milwkee,95-75-4,55.9%,3.8,+1.0
Lehigh,25-20-0,55.6%,4.3,0.0
Yale,50-40-5,55.6%,5.2,+1.1
Siena,100-80-7,55.6%,2.1,+1.7
Oregon,93-75-5,55.4%,9.3,+1.3
Utah St,95-77-5,55.2%,12.0,+1.9
Liberty,43-35-0,55.1%,6.4,-0.1
LA Tech,70-57-6,55.1%,8.3,+0.8
Chattanooga,71-58-1,55.0%,11.9,0.0
Alab A&M,22-18-0,55.0%,-5.4,+0.9
UCF,73-60-2,54.9%,2.9,-0.2
Sacred Hrt,17-14-0,54.8%,-3.4,+1.0
Abl Christian,24-20-0,54.6%,14.5,+1.2
Brown,43-36-3,54.4%,1.4,+0.6
BYU,81-68-4,54.4%,11.8,+2.0
Morehead St,69-58-3,54.3%,8.7,+0.1
Buffalo,96-81-4,54.2%,4.3,+1.0
Mississippi,104-88-2,54.2%,3.9,+0.5
Charl South,26-22-0,54.2%,6.0,+1.5
James Mad,65-55-2,54.2%,4.4,-0.7
Marquette,132-112-3,54.1%,6.2,+0.2
Hofstra,69-59-9,53.9%,4.8,+1.0
Hsn Christian,21-18-0,53.9%,1.4,-0.8
Missouri St,91-78-2,53.9%,6.6,+1.1
San Francisco,79-68-2,53.7%,8.7,+1.6
Maryland,137-118-4,53.7%,8.6,+1.1
Illinois,123-106-10,53.7%,8.1,+1.2
Bradley,96-83-5,53.6%,4.2,+0.7
North Dakota,37-32-1,53.6%,5.4,-0.5
Boston U,30-26-1,53.6%,2.1,+1.1
Charlotte,85-74-4,53.5%,2.6,+0.5
Montana,72-63-1,53.3%,8.6,+1.7
Bucknell,24-21-0,53.3%,2.1,+0.3
Lipscomb,24-21-1,53.3%,5.5,+1.0
San Diego St,97-85-2,53.3%,8.6,+0.9
IL-Chicago,95-84-1,53.1%,1.3,0.0
Tennessee,108-96-2,52.9%,8.2,+0.1
App State,72-64-3,52.9%,8.7,+0.8
Lg Beach St,74-66-2,52.9%,3.2,+0.1
UNLV,84-75-5,52.8%,6.6,-0.3
Purdue,123-110-6,52.8%,8.4,+0.7
Connecticut,124-111-3,52.8%,9.4,-0.3
Saint Louis,106-95-5,52.7%,2.3,0.0
Wright St,87-78-4,52.7%,5.4,+0.3
St Josephs,107-96-5,52.7%,2.9,+0.4
Denver,79-71-3,52.7%,1.0,-0.3
Gonzaga,91-82-0,52.6%,17.7,+1.8
Richmond,101-91-4,52.6%,4.0,+0.7
UC Davis,51-46-2,52.6%,1.1,-0.4
Dayton,106-96-3,52.5%,6.8,+1.2
Cal St Nrdge,74-67-2,52.5%,4.1,+0.3
Rice,53-48-1,52.5%,4.2,+0.3
S Car State,22-20-0,52.4%,-2.6,+1.0
Kansas City,24-22-0,52.2%,6.0,-1.2
