Team,ATS Record,Cover %,MOV,ATS +/-
Mercyhurst,2-1-1,66.7%,-8.0,-2.8
Oakland,103-70-3,59.5%,3.6,+0.5
Connecticut,126-86-5,59.4%,8.5,+1.7
St. Thomas,30-21-0,58.8%,3.6,+1.5
SC Upstate,48-34-2,58.5%,-1.8,+0.8
Longwood,68-49-1,58.1%,2.8,+1.4
Furman,112-81-3,58.0%,7.0,+1.6
Yale,95-69-7,57.9%,6.1,+1.1
N Alabama,44-32-2,57.9%,2.1,+1.9
Southern,57-42-1,57.6%,3.1,+1.5
Villanova,153-114-4,57.3%,10.1,+1.1
Nevada,120-90-5,57.1%,6.4,+1.4
N Florida,66-50-2,56.9%,1.3,+1.1
Samford,84-64-3,56.8%,3.6,+1.6
Kansas City,56-43-2,56.6%,0.9,+0.3
Lafayette,49-38-1,56.3%,-2.8,+0.5
Toledo,117-91-0,56.3%,7.0,+1.2
Jksnville St,82-64-5,56.2%,3.8,+1.1
E Washingtn,106-83-2,56.1%,5.2,+0.8
UC Irvine,120-94-8,56.1%,6.8,+1.0
Providence,117-92-2,56.0%,3.6,+1.3
Sam Hous St,75-59-4,56.0%,6.0,+1.4
Indiana St,91-72-5,55.8%,3.3,+1.0
Utah St,111-88-5,55.8%,8.5,+2.2
Iowa St,103-82-3,55.7%,7.0,+1.5
Houston,139-111-7,55.6%,11.9,+2.0
VCU,126-101-4,55.5%,7.2,+1.0
NC Central,61-49-2,55.5%,7.0,+0.3
Canisius,72-58-4,55.4%,0.7,+0.4
North Texas,94-76-3,55.3%,5.1,+1.5
New Orleans,47-38-1,55.3%,-2.4,-0.3
Seton Hall,110-89-3,55.3%,4.0,+0.9
Davidson,105-85-1,55.3%,4.5,+0.3
Belmont,125-102-6,55.1%,8.2,+0.3
Kansas St,98-80-1,55.1%,3.6,+0.8
Penn St,93-76-6,55.0%,2.5,+0.6
Rutgers,77-63-3,55.0%,3.2,+1.2
St Peters,88-72-0,55.0%,1.2,+1.1
S Florida,67-55-6,54.9%,-0.9,+0.6
Cal St Nrdge,57-47-1,54.8%,-2.4,-0.1
Clemson,103-85-4,54.8%,5.0,+1.5
UL Monroe,69-57-1,54.8%,1.1,+1.3
