Team,Over Record,Over %,Under %,Total +/-
S Indiana,17-9-0,65.4%,34.6%,+4.1
Hsn Christian,40-22-2,64.5%,35.5%,+5.1
New Orleans,54-30-2,64.3%,35.7%,+3.9
Miss Val St,15-9-0,62.5%,37.5%,+3.0
Denver,69-42-0,62.2%,37.8%,+2.9
TX-Pan Am,46-29-2,61.3%,38.7%,+1.8
Bucknell,65-42-2,60.8%,39.3%,+2.3
E Illinois,69-46-2,60.0%,40.0%,+4.1
Holy Cross,45-30-2,60.0%,40.0%,+0.4
McNeese St,52-35-1,59.8%,40.2%,+1.5
Morgan St,44-30-3,59.5%,40.5%,+3.5
Wake Forest,88-60-2,59.5%,40.5%,+3.3
Bowling Grn,87-60-1,59.2%,40.8%,+2.6
Oral Roberts,87-61-1,58.8%,41.2%,+3.7
San Jose St,47-33-2,58.8%,41.3%,+2.5
E Washingtn,110-78-1,58.5%,41.5%,+4.1
Santa Clara,91-65-3,58.3%,41.7%,+2.9
South Dakota,90-65-4,58.1%,41.9%,+4.2
N Dakota St,101-73-2,58.1%,42.0%,+2.6
Chicago St,22-16-0,57.9%,42.1%,+3.9
Ball St,85-62-1,57.8%,42.2%,+2.2
N Colorado,89-66-2,57.4%,42.6%,+3.8
Kennesaw St,45-34-2,57.0%,43.0%,+1.5
Montana St,91-69-0,56.9%,43.1%,+3.2
Florida St,112-85-6,56.9%,43.2%,+1.1
Lehigh,60-46-0,56.6%,43.4%,+2.9
Howard,49-38-0,56.3%,43.7%,+2.8
Niagara,68-53-2,56.2%,43.8%,+3.8
Iowa,114-89-4,56.2%,43.8%,+2.6
Boston Col,69-54-3,56.1%,43.9%,+1.9
UCSD,28-22-2,56.0%,44.0%,+1.6
High Point,61-48-3,56.0%,44.0%,+2.3
North Dakota,71-56-2,55.9%,44.1%,+2.4
Grd Canyon,86-68-2,55.8%,44.2%,+0.3
Pepperdine,67-53-1,55.8%,44.2%,+2.2
N Arizona,59-47-0,55.7%,44.3%,+2.5
S Utah,74-59-3,55.6%,44.4%,+1.0
NW State,45-36-2,55.6%,44.4%,+4.0
Idaho,61-49-0,55.5%,44.6%,+1.6
Lafayette,47-38-3,55.3%,44.7%,+1.3
Prairie View,53-43-1,55.2%,44.8%,+0.7
Radford,69-56-1,55.2%,44.8%,+1.6
Campbell,64-52-1,55.2%,44.8%,+1.2
Gard-Webb,66-54-1,55.0%,45.0%,+1.3
Abl Christian,66-54-2,55.0%,45.0%,+1.4
W Illinois,55-45-1,55.0%,45.0%,+1.2
Georgetown,78-64-0,54.9%,45.1%,+2.5
