Team,ATS Record,Cover %,MOV,ATS +/-
Mercer,2-0-0,100.0%,10.0,+2.5
Wright St,2-0-0,100.0%,10.5,+3.0
Hampton,1-0-0,100.0%,11.0,+6.5
St. Thomas,4-0-0,100.0%,17.3,+9.4
Florida A&M,1-0-0,100.0%,42.0,+3.5
Beth-Cook,1-0-0,100.0%,13.0,+9.0
Mt St Marys,3-0-0,100.0%,8.3,+2.5
W Kentucky,2-0-2,100.0%,11.0,+2.8
Furman,5-0-0,100.0%,9.2,+4.0
Oral Roberts,1-0-0,100.0%,7.0,+2.5
CS Bakersfld,2-0-0,100.0%,11.5,+9.8
Detroit,1-0-0,100.0%,6.0,+4.5
Neb Omaha,1-0-0,100.0%,6.0,+4.0
Oregon St,5-0-0,100.0%,23.8,+13.3
Utah Tech,1-0-0,100.0%,14.0,+11.5
TN State,1-0-0,100.0%,10.0,+1.5
S Car State,4-0-0,100.0%,37.5,+29.4
Portland,1-0-0,100.0%,11.0,+4.0
S Mississippi,2-0-0,100.0%,13.0,+8.3
Kennesaw St,2-0-0,100.0%,12.0,+7.5
Binghamton,1-0-0,100.0%,19.0,+1.5
SE Louisiana,1-0-0,100.0%,3.0,+1.0
Hsn Christian,1-0-0,100.0%,4.0,+1.0
UL Monroe,1-0-0,100.0%,62.0,+44.5
Idaho St,1-0-0,100.0%,16.0,+10.5
Queens,3-0-0,100.0%,13.3,+10.0
Denver,2-0-0,100.0%,19.0,+12.0
Norfolk St,2-0-0,100.0%,10.0,+4.8
SIU Edward,2-0-0,100.0%,15.5,+11.3
Merrimack,2-0-0,100.0%,13.0,+8.8
Texas St,3-0-0,100.0%,14.0,+7.7
Alabama St,2-0-0,100.0%,10.0,+8.8
Siena,1-0-0,100.0%,13.0,+8.5
Tarleton St,1-0-0,100.0%,31.0,+12.5
E Illinois,1-0-0,100.0%,13.0,+10.0
St Bonavent,7-1-0,87.5%,13.1,+4.3
Tennessee,6-1-0,85.7%,27.4,+4.6
Florida St,6-1-0,85.7%,19.1,+8.6
Marquette,6-1-1,85.7%,22.1,+3.7
Kent St,5-1-0,83.3%,10.0,+3.6
Troy,5-1-0,83.3%,11.0,+0.3
Col Charlestn,5-1-0,83.3%,6.2,+0.3
Ohio St,5-1-0,83.3%,29.0,+11.6
Auburn,5-1-1,83.3%,25.7,+9.4
Lipscomb,4-1-0,80.0%,17.6,+6.4
N Iowa,4-1-0,80.0%,19.2,+10.1
Elon,4-1-0,80.0%,11.6,+8.7
Radford,3-1-1,75.0%,8.6,+2.0
Marshall,3-1-0,75.0%,16.8,+6.6
Abl Christian,3-1-0,75.0%,3.3,+0.6
W Virginia,3-1-0,75.0%,22.5,+10.4
Davidson,3-1-0,75.0%,10.0,-1.3
Liberty,3-1-0,75.0%,18.5,+4.0
Georgia,5-2-0,71.4%,24.1,+8.1
Bradley,5-2-0,71.4%,15.4,+4.9
Utah,5-2-0,71.4%,26.1,+1.9
DePaul,5-2-0,71.4%,23.7,+9.9
UC Irvine,5-2-0,71.4%,13.0,+3.7
Cal St Nrdge,5-2-0,71.4%,10.0,+5.6
VCU,5-2-0,71.4%,18.6,+4.1
Illinois,5-2-0,71.4%,29.0,+8.7
James Mad,5-2-0,71.4%,5.9,+2.1
Charl South,2-1-0,66.7%,20.7,+9.0
TX-Arlington,2-1-0,66.7%,3.0,-1.3
NC State,4-2-0,66.7%,18.0,+2.0
Nevada,6-3-0,66.7%,8.9,+1.1
Montana St,4-2-0,66.7%,10.8,+5.0
N Dakota St,2-1-0,66.7%,5.0,+0.5
Wyoming,2-1-0,66.7%,11.7,+0.8
Yale,4-2-0,66.7%,11.7,+3.4
Gonzaga,6-3-0,66.7%,21.4,+4.8
UC Davis,2-1-0,66.7%,-2.0,-5.7
Pepperdine,2-1-0,66.7%,10.7,+5.5
Geo Mason,6-3-0,66.7%,19.4,+5.9
Army,2-1-0,66.7%,7.0,+4.0
Colorado,4-2-0,66.7%,16.7,+3.8
TX El Paso,2-1-0,66.7%,12.0,+6.8
Florida Intl,2-1-0,66.7%,17.7,+11.2
Florida,6-3-0,66.7%,21.6,+4.1
Ste F Austin,2-1-1,66.7%,4.3,-0.8
Wichita St,4-2-2,66.7%,12.1,+3.1
Niagara,2-1-0,66.7%,4.0,+1.7
North Texas,2-1-0,66.7%,13.3,+6.2
Dartmouth,2-1-0,66.7%,-1.7,-4.8
Central Conn,2-1-0,66.7%,2.7,-0.8
N Alabama,4-2-0,66.7%,17.8,+3.3
Missouri St,2-1-0,66.7%,4.0,+1.7
Dayton,4-2-0,66.7%,16.0,-1.5
Vanderbilt,6-3-0,66.7%,15.3,+0.6
Coastal Car,2-1-1,66.7%,8.3,+4.1
Wash State,4-2-0,66.7%,14.7,+3.3
Hofstra,2-1-0,66.7%,5.7,0.0
Lehigh,2-1-0,66.7%,7.3,+5.2
Jacksonville,2-1-0,66.7%,6.3,+0.8
Maine,2-1-0,66.7%,5.7,+2.5
Pittsburgh,5-3-0,62.5%,19.1,+4.7
UCLA,5-3-0,62.5%,25.1,+4.8
St Johns,5-3-0,62.5%,17.8,+2.2
Penn St,5-3-0,62.5%,26.1,+8.0
Indiana,5-3-0,62.5%,14.3,-0.8
Clemson,5-3-0,62.5%,19.4,+2.4
Michigan St,5-3-0,62.5%,18.1,+4.0
Stanford,5-3-0,62.5%,12.1,-2.1
Duke,5-3-0,62.5%,19.8,+2.2
Michigan,5-3-0,62.5%,18.4,+5.2
South Dakota,3-2-0,60.0%,6.2,+1.8
S Utah,3-2-0,60.0%,8.2,+3.6
TX-Pan Am,3-2-0,60.0%,5.2,-2.2
