Team,Over Record,Over %,Under %,Total +/-
Maine,2-0-1,100.0%,0.0%,+2.8
N Colorado,2-0-0,100.0%,0.0%,+29.3
Morgan St,2-0-0,100.0%,0.0%,+5.8
Memphis,4-0-0,100.0%,0.0%,+3.6
E Washingtn,2-0-0,100.0%,0.0%,+9.5
Akron,4-0-0,100.0%,0.0%,+17.4
E Michigan,2-0-0,100.0%,0.0%,+34.3
NC Central,1-0-0,100.0%,0.0%,+27.5
Alabama St,2-0-0,100.0%,0.0%,+6.3
St. Thomas,4-0-0,100.0%,0.0%,+20.4
Hampton,1-0-0,100.0%,0.0%,+4.5
Delaware,3-0-0,100.0%,0.0%,+16.5
Sacred Hrt,1-0-0,100.0%,0.0%,+5.5
South Dakota,5-0-0,100.0%,0.0%,+19.2
N Florida,4-0-0,100.0%,0.0%,+9.8
N Arizona,4-0-0,100.0%,0.0%,+9.4
UL Monroe,1-0-0,100.0%,0.0%,+82.5
Holy Cross,1-0-0,100.0%,0.0%,+5.5
Florida A&M,1-0-0,100.0%,0.0%,+32.5
American,1-0-0,100.0%,0.0%,+7.5
Loyola Mymt,2-0-0,100.0%,0.0%,+2.8
TX Southern,1-0-0,100.0%,0.0%,+12.5
Alab A&M,1-0-0,100.0%,0.0%,+28.5
Stetson,1-0-0,100.0%,0.0%,+5.5
Mercer,2-0-0,100.0%,0.0%,+16.0
Wm & Mary,4-0-0,100.0%,0.0%,+8.9
Morehead St,1-0-0,100.0%,0.0%,+16.5
TN State,1-0-0,100.0%,0.0%,+4.0
Portland,1-0-0,100.0%,0.0%,+43.0
Utah Valley,4-0-0,100.0%,0.0%,+6.1
Louisiana,2-0-0,100.0%,0.0%,+3.0
Central Ark,2-0-0,100.0%,0.0%,+4.8
Lehigh,3-0-0,100.0%,0.0%,+11.8
Liberty,4-0-0,100.0%,0.0%,+13.1
Gard-Webb,4-0-0,100.0%,0.0%,+4.9
Cal Poly,1-0-0,100.0%,0.0%,+9.5
Detroit,1-0-0,100.0%,0.0%,+15.5
NC A&T,1-0-0,100.0%,0.0%,+9.5
Oral Roberts,1-0-0,100.0%,0.0%,+14.5
Hsn Christian,1-0-0,100.0%,0.0%,+26.5
Central Mich,2-0-0,100.0%,0.0%,+22.5
LIU,1-0-0,100.0%,0.0%,+10.5
Manhattan,2-0-0,100.0%,0.0%,+12.0
New Mexico,7-1-0,87.5%,12.5%,+9.6
Rhode Island,6-1-0,85.7%,14.3%,+5.5
U Mass,6-1-0,85.7%,14.3%,+7.3
Villanova,6-1-1,85.7%,14.3%,+7.4
Yale,5-1-0,83.3%,16.7%,+15.4
California,5-1-0,83.3%,16.7%,+12.6
Dayton,5-1-0,83.3%,16.7%,-0.2
Ohio,5-1-1,83.3%,16.7%,+7.9
Fordham,5-1-0,83.3%,16.7%,+8.2
Troy,5-1-0,83.3%,16.7%,+3.6
Baylor,4-1-0,80.0%,20.0%,+10.8
Indiana St,4-1-0,80.0%,20.0%,+8.6
Gonzaga,7-2-0,77.8%,22.2%,+1.9
Texas Tech,6-2-1,75.0%,25.0%,+1.2
Navy,3-1-0,75.0%,25.0%,+16.3
Howard,3-1-0,75.0%,25.0%,+12.9
UCSD,3-1-0,75.0%,25.0%,+6.0
VA Tech,3-1-0,75.0%,25.0%,-5.8
Maryland BC,3-1-0,75.0%,25.0%,+3.5
Samford,6-2-0,75.0%,25.0%,+9.9
Arizona,6-2-0,75.0%,25.0%,+3.8
Davidson,3-1-0,75.0%,25.0%,+10.9
DePaul,5-2-0,71.4%,28.6%,+3.7
Wisconsin,5-2-0,71.4%,28.6%,-0.4
Utah,5-2-0,71.4%,28.6%,+2.4
La Salle,5-2-0,71.4%,28.6%,+6.9
Cal St Nrdge,5-2-0,71.4%,28.6%,+6.9
Belmont,5-2-0,71.4%,28.6%,+7.9
IPFW,5-2-0,71.4%,28.6%,+4.8
Winthrop,5-2-0,71.4%,28.6%,+11.6
Kentucky,5-2-0,71.4%,28.6%,+3.4
N Carolina,5-2-0,71.4%,28.6%,+6.9
Bradley,5-2-0,71.4%,28.6%,+2.7
Rutgers,4-2-0,66.7%,33.3%,+9.5
Col Charlestn,4-2-0,66.7%,33.3%,+10.8
Charl South,2-1-0,66.7%,33.3%,+2.5
TX-Arlington,2-1-0,66.7%,33.3%,+2.3
Grd Canyon,4-2-0,66.7%,33.3%,+7.5
S Methodist,6-3-0,66.7%,33.3%,+3.1
TN Tech,2-1-0,66.7%,33.3%,+3.3
Notre Dame,4-2-0,66.7%,33.3%,+3.3
Fla Atlantic,4-2-0,66.7%,33.3%,+1.9
S Alabama,4-2-0,66.7%,33.3%,+2.6
USC,4-2-0,66.7%,33.3%,+3.6
Drexel,2-1-0,66.7%,33.3%,-3.2
St Peters,2-1-0,66.7%,33.3%,-0.2
Wyoming,2-1-0,66.7%,33.3%,-1.3
Geo Mason,6-3-0,66.7%,33.3%,+2.7
Mt St Marys,2-1-0,66.7%,33.3%,+14.2
Dartmouth,2-1-0,66.7%,33.3%,+5.7
Sam Hous St,4-2-0,66.7%,33.3%,+2.5
Miami,4-2-0,66.7%,33.3%,+8.3
Miss State,6-3-0,66.7%,33.3%,+4.8
Colgate,2-1-0,66.7%,33.3%,-1.3
Maryland,6-3-0,66.7%,33.3%,+4.9
