Team,ATS Record,Cover %,MOV,ATS +/-
St Johns,1-0-0,100.0%,-1.0,+1.5
Creighton,1-0-1,100.0%,4.5,+8.3
Tennessee,1-0-0,100.0%,22.0,+24.5
Utah St,1-0-0,100.0%,8.0,+10.5
Loyola-Chi,1-0-0,100.0%,5.0,+7.0
St Bonavent,1-0-0,100.0%,-5.0,+1.5
Winthrop,2-0-0,100.0%,-10.5,+4.5
Connecticut,1-0-0,100.0%,11.0,+12.5
Texas A&M,1-0-0,100.0%,5.0,+6.0
Belmont,2-0-0,100.0%,12.0,+16.3
LA Tech,2-0-0,100.0%,2.5,+8.8
Alabama,2-0-0,100.0%,10.0,+12.8
E Carolina,2-0-0,100.0%,-3.0,+4.0
Rhode Island,1-0-0,100.0%,6.0,+8.5
Elon,3-0-0,100.0%,-2.7,+13.0
Arizona St,5-0-0,100.0%,3.4,+12.0
McNeese St,1-0-0,100.0%,-8.0,+9.5
Oklahoma,2-0-0,100.0%,5.0,+10.0
St Marys,1-0-0,100.0%,9.0,+12.5
TX-Pan Am,3-0-0,100.0%,-12.0,+12.3
Arkansas St,2-0-0,100.0%,2.0,+21.0
UCLA,1-0-0,100.0%,2.0,+5.5
Utah,1-0-0,100.0%,-5.0,+2.5
Michigan,1-0-0,100.0%,3.0,+6.0
Liberty,4-0-0,100.0%,7.3,+10.3
Duke,1-0-0,100.0%,14.0,+15.5
Kentucky,2-0-0,100.0%,3.0,+9.0
Grd Canyon,1-0-0,100.0%,7.0,+8.0
St Peters,4-0-0,100.0%,-4.5,+7.0
Vanderbilt,1-0-0,100.0%,2.0,+4.5
S Alabama,2-0-0,100.0%,-2.0,+9.5
UC Irvine,1-0-0,100.0%,20.0,+23.5
Samford,1-0-0,100.0%,-8.0,+9.0
IPFW,2-0-0,100.0%,-10.0,+4.3
Oregon,2-0-0,100.0%,6.0,+11.3
Iowa,1-0-0,100.0%,-2.0,+7.5
Princeton,1-0-0,100.0%,8.0,+14.0
Mississippi,3-0-0,100.0%,10.7,+13.7
Drake,3-0-0,100.0%,11.3,+16.8
Kansas,1-0-0,100.0%,3.0,+7.5
Iowa St,1-0-0,100.0%,-2.0,+1.5
UCSD,5-0-0,100.0%,9.8,+13.4
NC-Grnsboro,3-0-0,100.0%,-6.7,+4.2
Villanova,2-0-0,100.0%,3.5,+8.5
Oregon St,2-0-0,100.0%,-3.0,+2.8
Columbia,1-0-0,100.0%,10.0,+27.0
Dayton,3-0-0,100.0%,3.7,+12.2
Northeastrn,4-0-0,100.0%,1.3,+5.4
Stanford,2-0-0,100.0%,5.0,+6.5
Central Mich,4-0-0,100.0%,-1.5,+13.5
Brown,2-0-0,100.0%,4.0,+9.5
S Dakota St,2-0-0,100.0%,3.0,+14.8
NC-Wilmgton,3-0-0,100.0%,1.7,+12.5
Hsn Christian,6-1-0,85.7%,-12.4,+2.2
Idaho St,5-1-0,83.3%,-5.0,+7.7
San Jose St,5-1-0,83.3%,-4.2,+5.1
North Dakota,5-1-0,83.3%,-5.7,+4.5
Illinois St,5-1-0,83.3%,0.3,+5.5
NW State,5-1-0,83.3%,-8.0,+8.6
Bucknell,5-1-0,83.3%,-9.5,+2.8
Buffalo,5-1-0,83.3%,-12.5,+4.8
Grambling St,5-1-0,83.3%,-15.0,+2.4
Drexel,5-1-0,83.3%,1.3,+6.8
SE Louisiana,5-1-1,83.3%,-3.0,+7.4
UC Riverside,5-1-0,83.3%,-9.3,+1.7
Florida A&M,5-1-0,83.3%,-25.8,+1.4
Delaware,5-1-0,83.3%,-0.2,+5.0
Presbyterian,5-1-0,83.3%,-0.8,+8.8
Middle Tenn,4-1-1,80.0%,4.2,+8.1
Missouri St,4-1-0,80.0%,-2.8,+3.8
