Team,Over Record,Over %,Under %,Total +/-
W Georgia,2-0-0,100.0%,0.0%,+5.3
Mercyhurst,1-0-0,100.0%,0.0%,+3.5
St. Thomas,8-3-0,72.7%,27.3%,+6.5
Hsn Christian,27-12-0,69.2%,30.8%,+7.7
Bellarmine,14-7-0,66.7%,33.3%,+1.4
Morgan St,29-16-1,64.4%,35.6%,+3.7
Lipscomb,28-16-1,63.6%,36.4%,+4.5
GA Southern,66-39-1,62.9%,37.1%,+5.1
S Car State,27-16-0,62.8%,37.2%,+7.3
Missouri St,81-48-1,62.8%,37.2%,+5.7
Bucknell,28-17-1,62.2%,37.8%,+3.6
N Colorado,60-37-2,61.9%,38.1%,+5.6
E Washingtn,71-45-2,61.2%,38.8%,+4.9
Prairie View,25-16-0,61.0%,39.0%,+4.1
Jacksonville,26-17-0,60.5%,39.5%,+2.4
South Dakota,50-33-1,60.2%,39.8%,+3.8
Chicago St,27-18-0,60.0%,40.0%,+5.1
Pacific,63-42-1,60.0%,40.0%,+2.8
Rob Morris,24-16-1,60.0%,40.0%,+2.7
Mass Lowell,25-17-0,59.5%,40.5%,+3.5
NC-Wilmgton,72-49-0,59.5%,40.5%,+4.3
Delaware,69-47-1,59.5%,40.5%,+3.9
Denver,71-49-2,59.2%,40.8%,+2.3
Oral Roberts,46-32-0,59.0%,41.0%,+4.0
Youngs St,66-46-2,58.9%,41.1%,+4.1
Radford,30-21-0,58.8%,41.2%,+3.2
UCSD,10-7-1,58.8%,41.2%,+1.4
Citadel,54-38-2,58.7%,41.3%,+3.3
Ste F Austin,31-22-2,58.5%,41.5%,+2.7
Belmont,57-41-2,58.2%,41.8%,+1.9
TX Southern,33-24-1,57.9%,42.1%,+3.2
WI-Grn Bay,77-56-1,57.9%,42.1%,+3.5
Stony Brook,33-24-0,57.9%,42.1%,+5.1
Neb Omaha,44-32-1,57.9%,42.1%,+2.2
Longwood,26-19-1,57.8%,42.2%,+0.6
N Arizona,57-42-2,57.6%,42.4%,+3.0
W Illinois,46-34-1,57.5%,42.5%,+3.3
S Utah,46-34-3,57.5%,42.5%,+3.4
NC-Asheville,35-26-0,57.4%,42.6%,+2.7
Grd Canyon,32-24-1,57.1%,42.9%,+3.0
N Dakota St,61-46-1,57.0%,43.0%,+3.0
Jksnville St,53-40-2,57.0%,43.0%,+1.1
Utah Valley,33-25-0,56.9%,43.1%,-1.1
Hampton,29-22-0,56.9%,43.1%,+4.2
IPFW,42-32-3,56.8%,43.2%,+1.5
California,78-60-1,56.5%,43.5%,+1.8
Illinois St,71-55-1,56.4%,43.7%,+2.3
BYU,67-52-2,56.3%,43.7%,+2.8
AR Lit Rock,64-50-0,56.1%,43.9%,+1.7
Campbell,23-18-0,56.1%,43.9%,+4.1
W Michigan,69-54-0,56.1%,43.9%,+2.4
N Florida,23-18-1,56.1%,43.9%,+4.4
Buffalo,79-62-3,56.0%,44.0%,+2.6
Alcorn St,28-22-0,56.0%,44.0%,+3.0
TN Tech,56-44-0,56.0%,44.0%,+4.8
Northeastrn,56-44-4,56.0%,44.0%,+1.5
St Josephs,89-70-3,56.0%,44.0%,+1.3
Dayton,94-74-2,56.0%,44.1%,+1.9
Mercer,33-26-2,55.9%,44.1%,+2.4
Oregon St,74-59-1,55.6%,44.4%,+1.4
NC State,104-83-2,55.6%,44.4%,+1.0
St Johns,102-82-4,55.4%,44.6%,+2.2
Marquette,119-96-2,55.4%,44.7%,+2.2
Notre Dame,110-89-4,55.3%,44.7%,+2.1
IL-Chicago,74-60-1,55.2%,44.8%,+2.3
LA Tech,54-44-2,55.1%,44.9%,+0.5
Troy,56-46-5,54.9%,45.1%,+2.3
Michigan,107-88-1,54.9%,45.1%,+2.6
UTSA,34-28-0,54.8%,45.2%,+3.3
Brown,34-28-0,54.8%,45.2%,+1.0
Sacred Hrt,17-14-0,54.8%,45.2%,+5.6
TN Martin,57-47-2,54.8%,45.2%,+4.1
Wake Forest,120-99-4,54.8%,45.2%,+1.3
Oakland,52-43-1,54.7%,45.3%,+2.0
Bradley,73-61-2,54.5%,45.5%,+2.8
Washington,80-67-1,54.4%,45.6%,+2.2
Geo Mason,72-61-1,54.1%,45.9%,+2.2
Duquesne,85-72-0,54.1%,45.9%,+2.7
Portland,60-51-4,54.1%,46.0%,+1.5
S Indiana,7-6-0,53.9%,46.2%,+3.2
Auburn,63-54-1,53.9%,46.2%,+2.6
Loyola Mymt,56-48-3,53.9%,46.2%,+1.3
N Carolina,120-103-4,53.8%,46.2%,+0.6
Boston Col,99-85-3,53.8%,46.2%,+0.4
Wichita St,88-76-3,53.7%,46.3%,+1.6
Abl Christian,22-19-1,53.7%,46.3%,+1.8
USC,74-64-2,53.6%,46.4%,+1.7
Duke,104-90-3,53.6%,46.4%,+1.9
Central Mich,67-58-2,53.6%,46.4%,+1.3
Air Force,67-58-2,53.6%,46.4%,+0.6
Pepperdine,55-48-1,53.4%,46.6%,+2.0
San Jose St,80-70-0,53.3%,46.7%,+2.1
Indiana St,73-64-2,53.3%,46.7%,+1.1
Wisconsin,106-93-4,53.3%,46.7%,+0.4
Liberty,41-36-0,53.3%,46.8%,+0.3
Colgate,33-29-0,53.2%,46.8%,-0.4
Florida,92-81-1,53.2%,46.8%,+0.7
Harvard,42-37-0,53.2%,46.8%,+0.2
Utah St,77-68-3,53.1%,46.9%,+2.9
Austin Peay,45-40-3,52.9%,47.1%,+3.5
Georgetown,118-105-2,52.9%,47.1%,+1.8
Cal St Nrdge,64-57-2,52.9%,47.1%,+2.1
Penn St,101-90-3,52.9%,47.1%,+1.2
Miss State,75-67-2,52.8%,47.2%,+0.9
Santa Clara,58-52-0,52.7%,47.3%,+1.1
UCF,70-63-3,52.6%,47.4%,0.0
