Team,Over Record,Over %,Under %,Total +/-
Dayton,2-0-0,100.0%,0.0%,+17.8
Gonzaga,1-0-0,100.0%,0.0%,+5.5
Maine,2-0-1,100.0%,0.0%,+3.5
Maryland,1-0-0,100.0%,0.0%,+6.0
W Carolina,3-0-0,100.0%,0.0%,+6.5
Boise St,1-0-0,100.0%,0.0%,+2.5
Albany,3-0-0,100.0%,0.0%,+19.0
S Methodist,2-0-0,100.0%,0.0%,+10.0
St Marys,1-0-0,100.0%,0.0%,+14.5
Auburn,1-0-0,100.0%,0.0%,+7.5
Ohio,4-0-1,100.0%,0.0%,+6.8
Manhattan,3-0-0,100.0%,0.0%,+11.2
Kentucky,1-0-0,100.0%,0.0%,+12.0
N Florida,1-0-0,100.0%,0.0%,+9.5
Geo Wshgtn,1-0-1,100.0%,0.0%,+2.5
Gard-Webb,5-0-0,100.0%,0.0%,+11.2
Montana,2-0-0,100.0%,0.0%,+17.3
Wm & Mary,5-0-0,100.0%,0.0%,+9.8
Army,1-0-0,100.0%,0.0%,+6.0
Washington,2-0-0,100.0%,0.0%,+6.8
Texas Tech,1-0-0,100.0%,0.0%,+2.0
LSU,1-0-0,100.0%,0.0%,+63.5
UCF,2-0-0,100.0%,0.0%,+34.5
Connecticut,3-0-0,100.0%,0.0%,+2.8
Longwood,1-0-0,100.0%,0.0%,+1.5
Weber St,4-0-0,100.0%,0.0%,+16.6
TX-Pan Am,2-0-0,100.0%,0.0%,+25.5
Michigan St,2-0-0,100.0%,0.0%,+16.8
Cincinnati,1-0-0,100.0%,0.0%,+9.5
North Texas,1-0-0,100.0%,0.0%,+18.5
NC-Asheville,2-0-1,100.0%,0.0%,+7.7
Marquette,1-0-0,100.0%,0.0%,+12.0
Memphis,1-0-0,100.0%,0.0%,+3.5
Indiana,2-0-0,100.0%,0.0%,+14.8
Mt St Marys,3-0-0,100.0%,0.0%,+32.2
Samford,1-0-0,100.0%,0.0%,+47.0
Iowa,1-0-0,100.0%,0.0%,+18.0
Iowa St,1-0-0,100.0%,0.0%,+30.5
