Team,ATS Record,Cover %,MOV,ATS +/-
F Dickinson,2-0-0,100.0%,26.8,+4.8
NC-Asheville,1-0-0,100.0%,39.7,+10.0
CS Bakersfld,2-0-0,100.0%,30.7,+9.8
Central Conn,2-0-0,100.0%,19.7,+4.5
Wm & Mary,1-0-0,100.0%,37.7,+9.0
Siena,2-0-0,100.0%,4.5,+6.8
North Dakota,2-0-0,100.0%,14.0,+9.5
UC Irvine,2-0-0,100.0%,21.3,+1.3
Mercer,1-0-0,100.0%,47.7,+2.5
Presbyterian,1-0-0,100.0%,39.3,+8.0
Wright St,2-0-0,100.0%,21.8,+4.0
Wagner,1-0-0,100.0%,30.0,+1.5
Kennesaw St,3-0-0,100.0%,22.0,+9.5
Elon,2-0-0,100.0%,40.7,+25.8
NC-Grnsboro,2-0-0,100.0%,19.3,+4.3
E Kentucky,1-0-0,100.0%,26.7,+5.0
TN Martin,1-0-0,100.0%,52.5,+14.5
Morehead St,1-0-0,100.0%,23.0,+5.0
Maine,1-0-0,100.0%,42.7,+19.5
S Car State,4-0-0,100.0%,35.0,+30.4
Utah Valley,2-0-0,100.0%,29.0,+20.3
Alabama St,1-0-0,100.0%,30.5,+5.5
Beth-Cook,1-0-0,100.0%,13.0,+9.0
E Illinois,1-0-0,100.0%,26.3,+10.0
Auburn,3-0-1,100.0%,37.8,+13.3
Ark Pine Bl,1-0-0,100.0%,24.0,+11.5
Sam Hous St,1-0-0,100.0%,21.5,+5.0
Oregon St,7-0-0,100.0%,20.5,+11.4
American,2-0-0,100.0%,22.3,+14.0
Denver,3-0-0,100.0%,13.8,+9.8
Hofstra,1-0-0,100.0%,36.3,+9.5
Idaho St,1-0-0,100.0%,36.3,+10.5
S Mississippi,3-0-0,100.0%,16.5,+6.7
SC Upstate,1-0-0,100.0%,23.0,+5.0
TX El Paso,1-0-0,100.0%,27.7,+12.5
Florida A&M,2-0-0,100.0%,39.0,+5.5
Binghamton,2-0-0,100.0%,14.0,+1.5
Yale,2-0-0,100.0%,31.7,+13.5
Delaware St,2-0-0,100.0%,28.2,+6.3
Maryland ES,1-0-0,100.0%,24.5,+2.5
Sacred Hrt,2-0-0,100.0%,18.5,+19.8
SE Missouri,2-0-0,100.0%,23.7,+13.8
LIU,1-0-0,100.0%,34.0,+1.5
Texas St,2-0-0,100.0%,29.3,+7.3
Wofford,2-0-0,100.0%,32.7,+17.0
La Salle,4-0-0,100.0%,14.5,+11.0
Lehigh,2-0-0,100.0%,26.3,+15.0
Lindenwood,1-0-0,100.0%,47.3,+17.0
Jacksonville,2-0-0,100.0%,12.8,+6.5
Nevada,6-1-0,85.7%,16.7,+4.4
Pittsburgh,5-1-0,83.3%,30.5,+11.3
Marquette,5-1-1,83.3%,23.7,+3.5
Ohio St,5-1-0,83.3%,29.0,+11.6
N Alabama,4-1-0,80.0%,21.4,+7.6
N Iowa,4-1-0,80.0%,21.8,+6.3
Wash State,4-1-0,80.0%,15.0,+4.2
NC-Wilmgton,4-1-0,80.0%,13.3,+1.2
Hsn Christian,4-1-0,80.0%,5.3,+1.6
Connecticut,4-1-1,80.0%,34.8,+2.9
Houston,4-1-0,80.0%,37.4,+9.0
Florida St,4-1-0,80.0%,14.2,+4.6
Tennessee,4-1-0,80.0%,31.0,+2.5
Samford,4-1-0,80.0%,24.6,+2.6
Texas A&M,4-1-0,80.0%,20.4,+1.2
Lipscomb,3-1-0,75.0%,12.5,+1.4
IU Indy,3-1-0,75.0%,26.5,+12.4
WI-Milwkee,3-1-0,75.0%,18.2,+4.0
Montana St,3-1-0,75.0%,22.6,+7.1
Troy,3-1-0,75.0%,12.8,-1.8
Northeastrn,3-1-0,75.0%,9.0,+8.0
Columbia,3-1-1,75.0%,25.1,+3.7
Gonzaga,3-1-0,75.0%,37.0,+14.6
Furman,3-1-0,75.0%,26.8,+0.9
Mt St Marys,3-1-0,75.0%,10.6,-0.9
South Dakota,3-1-1,75.0%,21.9,+6.5
St Bonavent,3-1-0,75.0%,16.0,+1.9
Pepperdine,3-1-0,75.0%,20.8,+5.6
James Mad,3-1-0,75.0%,16.0,+5.0
Col Charlestn,3-1-0,75.0%,7.0,-1.8
Dayton,5-2-0,71.4%,15.6,-0.1
UCLA,5-2-0,71.4%,29.9,+7.3
Stanford,5-2-0,71.4%,14.9,-1.2
Geo Mason,5-2-0,71.4%,24.4,+7.7
St Johns,5-2-0,71.4%,20.3,+1.9
Indiana,5-2-0,71.4%,20.1,+2.9
Colorado,5-2-0,71.4%,15.9,+3.7
Albany,2-1-0,66.7%,9.5,+5.3
S Dakota St,2-1-0,66.7%,22.2,+7.0
DePaul,6-3-0,66.7%,19.8,+8.3
Boise St,2-1-0,66.7%,28.8,+11.8
UC Davis,2-1-0,66.7%,2.8,-1.8
Morgan St,2-1-0,66.7%,23.1,-0.3
Drexel,2-1-0,66.7%,15.3,+5.0
San Jose St,2-1-0,66.7%,8.8,-4.0
Harvard,2-1-0,66.7%,5.3,+5.8
Illinois St,2-1-0,66.7%,18.5,+0.3
Purdue,4-2-0,66.7%,16.0,+2.5
Tulane,4-2-0,66.7%,16.6,+0.8
Georgia,4-2-0,66.7%,26.8,+8.4
Army,2-1-0,66.7%,19.0,-0.5
Rhode Island,4-2-0,66.7%,21.1,+10.9
Youngs St,2-1-0,66.7%,19.8,-0.7
Marshall,4-2-0,66.7%,14.1,+4.6
Charl South,2-1-0,66.7%,17.3,+9.7
N Florida,2-1-0,66.7%,20.6,+2.0
Utah St,4-2-0,66.7%,30.6,+5.3
Wyoming,2-1-0,66.7%,14.5,+0.8
Winthrop,2-1-0,66.7%,32.5,+3.0
Bradley,2-1-0,66.7%,30.8,+2.0
Brown,4-2-0,66.7%,9.0,+3.4
Abl Christian,2-1-0,66.7%,19.8,-1.5
Missouri St,2-1-0,66.7%,10.3,+3.5
Valparaiso,4-2-0,66.7%,16.1,+4.8
Duke,4-2-0,66.7%,30.2,+4.2
Texas Tech,4-2-0,66.7%,29.0,+2.1
W Virginia,4-2-0,66.7%,24.5,+8.6
W Kentucky,2-1-3,66.7%,11.4,+1.1
Rice,2-1-0,66.7%,8.3,-0.2
St. Thomas,2-1-0,66.7%,21.6,-0.7
Radford,2-1-0,66.7%,18.5,+7.3
San Francisco,4-2-0,66.7%,22.1,+6.3
Stonehill,2-1-0,66.7%,16.0,+11.2
S Indiana,2-1-0,66.7%,17.8,+7.2
Utah,5-3-0,62.5%,25.1,+1.5
Maryland,5-3-0,62.5%,31.0,+8.6
Miss State,3-2-0,60.0%,26.2,+2.3
Fordham,3-2-0,60.0%,16.5,+1.2
Iowa St,3-2-0,60.0%,30.6,+0.9
Michigan,3-2-0,60.0%,22.4,+4.0
Rob Morris,3-2-0,60.0%,9.8,-1.7
Vanderbilt,3-2-0,60.0%,21.6,-1.4
VCU,3-2-0,60.0%,27.5,+3.3
Michigan St,3-2-0,60.0%,23.8,+4.1
Lafayette,3-2-0,60.0%,15.6,+2.8
TX A&M-CC,3-2-0,60.0%,25.0,+5.4
Davidson,3-2-0,60.0%,19.0,+1.9
Baylor,3-2-0,60.0%,37.4,+10.2
S Methodist,4-3-0,57.1%,21.9,+4.4
Villanova,4-3-0,57.1%,18.4,+1.6
Illinois,4-3-0,57.1%,28.3,+8.2
Penn St,4-3-0,57.1%,30.9,+8.2
SIU Edward,1-1-0,50.0%,23.8,+3.8
Iona,2-2-0,50.0%,-2.5,-2.8
St Fran (PA),1-1-0,50.0%,23.0,+6.0
Norfolk St,1-1-0,50.0%,25.0,+0.5
N Illinois,1-1-0,50.0%,18.3,-5.0
Howard,1-1-0,50.0%,23.3,-0.8
Delaware,2-2-0,50.0%,6.2,-3.8
Austin Peay,1-1-0,50.0%,7.0,+2.5
N Dakota St,1-1-0,50.0%,15.2,-1.0
N Arizona,1-1-0,50.0%,29.6,+4.3
BYU,3-3-0,50.0%,30.7,-0.3
NC State,4-4-0,50.0%,14.3,-1.4
UCSB,3-3-0,50.0%,15.6,-2.7
Hawaii,3-3-0,50.0%,8.0,-1.7
Hampton,1-1-0,50.0%,19.3,+1.0
Memphis,2-2-0,50.0%,7.3,-2.6
N Kentucky,2-2-0,50.0%,8.6,+0.8
NW State,1-1-0,50.0%,17.3,+7.0
Belmont,2-2-1,50.0%,7.5,-1.1
Manhattan,2-2-0,50.0%,1.8,-0.6
LSU,3-3-0,50.0%,16.7,-0.8
Arizona St,2-2-0,50.0%,15.8,-1.1
Quinnipiac,1-1-0,50.0%,12.3,+0.8
LA Tech,1-1-0,50.0%,19.0,-8.0
Kansas,3-3-0,50.0%,20.3,-0.2
Toledo,1-1-0,50.0%,12.7,-19.8
Wichita St,2-2-1,50.0%,12.6,-0.6
IPFW,2-2-0,50.0%,20.0,-1.0
Arizona,2-2-0,50.0%,27.3,+3.1
UC Riverside,1-1-1,50.0%,17.3,+1.5
Georgia St,2-2-0,50.0%,8.2,-2.3
Holy Cross,1-1-0,50.0%,9.0,-2.5
Loyola-MD,1-1-0,50.0%,13.7,+1.3
Towson,1-1-0,50.0%,15.3,-10.3
Fla Atlantic,1-1-1,50.0%,19.8,-2.2
Dartmouth,1-1-0,50.0%,24.3,-7.8
