Team,Over Record,Over %,Under %,Total +/-
Indiana St,2-0-0,100.0%,0.0%,+15.0
App State,1-0-0,100.0%,0.0%,+3.0
Yale,1-0-0,100.0%,0.0%,+46.0
Longwood,1-0-0,100.0%,0.0%,+1.5
New Mexico,1-0-0,100.0%,0.0%,+0.5
Colorado St,1-0-0,100.0%,0.0%,+8.0
Illinois St,1-0-0,100.0%,0.0%,+21.5
Portland St,2-0-0,100.0%,0.0%,+4.8
St Johns,1-0-0,100.0%,0.0%,+7.5
Dayton,2-0-0,100.0%,0.0%,+17.8
S Mississippi,1-0-0,100.0%,0.0%,+7.0
Miss State,1-0-0,100.0%,0.0%,+18.5
Indiana,2-0-0,100.0%,0.0%,+14.8
TX Christian,1-0-0,100.0%,0.0%,+8.0
Texas Tech,1-0-0,100.0%,0.0%,+2.0
Syracuse,1-0-0,100.0%,0.0%,+2.0
Texas A&M,1-0-0,100.0%,0.0%,+4.5
S Utah,1-0-0,100.0%,0.0%,+4.0
Sam Hous St,1-0-0,100.0%,0.0%,+23.0
Winthrop,2-0-0,100.0%,0.0%,+15.0
NC-Wilmgton,1-0-0,100.0%,0.0%,+3.0
Alabama St,2-0-0,100.0%,0.0%,+14.8
S Florida,1-0-0,100.0%,0.0%,+38.0
UAB,1-0-0,100.0%,0.0%,+21.5
Akron,2-0-0,100.0%,0.0%,+26.8
Jacksonville,1-0-0,100.0%,0.0%,+9.5
Drexel,1-0-0,100.0%,0.0%,+18.5
Fresno St,1-0-0,100.0%,0.0%,+15.0
Colgate,1-0-0,100.0%,0.0%,+23.0
Temple,1-0-0,100.0%,0.0%,+18.5
Vanderbilt,1-0-0,100.0%,0.0%,+2.0
Connecticut,2-0-0,100.0%,0.0%,+3.5
TN State,1-0-0,100.0%,0.0%,+22.0
Rhode Island,1-0-0,100.0%,0.0%,+1.5
Louisiana,1-0-0,100.0%,0.0%,+5.0
Seton Hall,1-0-0,100.0%,0.0%,+2.0
Ohio,1-0-0,100.0%,0.0%,+9.0
Loyola Mymt,1-0-0,100.0%,0.0%,+2.5
Gonzaga,2-0-0,100.0%,0.0%,+3.0
La Salle,2-0-0,100.0%,0.0%,+25.8
Geo Wshgtn,1-0-0,100.0%,0.0%,+5.0
Canisius,1-0-0,100.0%,0.0%,+18.5
Rutgers,1-0-0,100.0%,0.0%,+22.5
W Illinois,1-0-0,100.0%,0.0%,+24.0
Oregon,1-0-0,100.0%,0.0%,+7.5
American,1-0-0,100.0%,0.0%,+23.0
Gard-Webb,1-0-0,100.0%,0.0%,+1.5
Alabama,1-0-0,100.0%,0.0%,+22.5
NC Central,2-0-0,100.0%,0.0%,+3.8
Wm & Mary,2-0-0,100.0%,0.0%,+15.3
SC Upstate,1-0-0,100.0%,0.0%,+15.5
Wright St,1-0-0,100.0%,0.0%,+4.5
Princeton,1-0-0,100.0%,0.0%,+24.0
Alab A&M,1-0-0,100.0%,0.0%,+13.0
Maine,2-0-0,100.0%,0.0%,+4.3
Tulane,1-0-0,100.0%,0.0%,+1.0
Portland,1-0-0,100.0%,0.0%,+9.0
Creighton,1-0-0,100.0%,0.0%,+4.5
Detroit,1-0-0,100.0%,0.0%,+9.5
San Francisco,1-0-0,100.0%,0.0%,+7.5
Virginia,1-0-0,100.0%,0.0%,+7.5
Wyoming,1-0-0,100.0%,0.0%,+2.5
Chicago St,1-0-0,100.0%,0.0%,+18.5
Beth-Cook,1-0-0,100.0%,0.0%,+1.5
N Arizona,1-0-0,100.0%,0.0%,+7.5
Samford,1-0-0,100.0%,0.0%,+3.0
Siena,1-0-0,100.0%,0.0%,+9.5
Belmont,1-0-0,100.0%,0.0%,+1.0
Kansas St,1-0-0,100.0%,0.0%,+1.5
Middle Tenn,1-0-0,100.0%,0.0%,+38.0
E Michigan,1-0-0,100.0%,0.0%,+4.0
Delaware,1-0-0,100.0%,0.0%,+46.0
Arizona,2-0-0,100.0%,0.0%,+6.0
Utah Valley,2-0-0,100.0%,0.0%,+3.8
Coastal Car,1-0-0,100.0%,0.0%,+13.0
Iona,2-0-0,100.0%,0.0%,+9.0
Rice,2-0-0,100.0%,0.0%,+1.5
Howard,1-0-0,100.0%,0.0%,+17.5
Abl Christian,1-0-0,100.0%,0.0%,+2.5
Fordham,1-0-0,100.0%,0.0%,+7.5
Mississippi,1-0-0,100.0%,0.0%,+13.0
USC,1-0-0,100.0%,0.0%,+0.5
Binghamton,2-0-0,100.0%,0.0%,+23.5
Mercyhurst,1-0-0,100.0%,0.0%,+12.5
