Team,Over Record,Over %,Under %,Total +/-
W Georgia,2-0-0,100.0%,0.0%,+7.8
Queens,16-8-0,66.7%,33.3%,+5.2
Wofford,78-39-1,66.7%,33.3%,+7.0
Lindenwood,14-7-1,66.7%,33.3%,+5.9
Hsn Christian,49-25-1,66.2%,33.8%,+11.4
F Dickinson,53-29-3,64.6%,35.4%,+6.5
UCSD,31-17-0,64.6%,35.4%,+6.8
McNeese St,43-24-2,64.2%,35.8%,+3.9
TX Southern,49-28-1,63.6%,36.4%,+6.3
CS Bakersfld,47-27-0,63.5%,36.5%,+4.8
Neb Omaha,64-38-3,62.8%,37.3%,+5.4
SE Louisiana,40-24-0,62.5%,37.5%,+3.3
WI-Milwkee,81-49-0,62.3%,37.7%,+4.7
Gard-Webb,46-28-0,62.2%,37.8%,+4.0
Florida St,95-58-4,62.1%,37.9%,+3.8
E Washingtn,67-42-0,61.5%,38.5%,+6.6
Wyoming,86-54-2,61.4%,38.6%,+4.3
New Orleans,41-26-1,61.2%,38.8%,+3.3
Oral Roberts,63-40-0,61.2%,38.8%,+3.2
UL Monroe,75-48-3,61.0%,39.0%,+4.1
Air Force,84-54-1,60.9%,39.1%,+3.8
Loyola Mymt,84-54-2,60.9%,39.1%,+3.2
TX A&M-Com,14-9-0,60.9%,39.1%,+8.7
Wake Forest,93-60-2,60.8%,39.2%,+2.5
E Illinois,69-45-2,60.5%,39.5%,+4.8
Iowa,98-65-4,60.1%,39.9%,+4.3
Loyola-MD,45-30-1,60.0%,40.0%,+2.1
Yale,51-34-0,60.0%,40.0%,+4.5
S Car State,37-25-0,59.7%,40.3%,+4.8
Oakland,74-50-0,59.7%,40.3%,+5.0
South Dakota,66-45-1,59.5%,40.5%,+3.7
Howard,41-28-1,59.4%,40.6%,+5.0
Denver,70-48-1,59.3%,40.7%,+4.5
N Colorado,67-46-2,59.3%,40.7%,+4.6
Auburn,91-63-1,59.1%,40.9%,+3.9
Boston U,59-41-2,59.0%,41.0%,+4.1
Samford,69-48-1,59.0%,41.0%,+5.4
North Dakota,63-44-2,58.9%,41.1%,+1.7
E Tenn St,73-52-1,58.4%,41.6%,+2.9
Norfolk St,35-25-0,58.3%,41.7%,+3.5
W Illinois,63-45-0,58.3%,41.7%,+2.1
S Utah,68-49-0,58.1%,41.9%,+3.0
Towson,65-47-0,58.0%,42.0%,+3.6
Colorado St,80-58-3,58.0%,42.0%,+4.4
Wm & Mary,63-46-1,57.8%,42.2%,+4.1
Rice,75-55-0,57.7%,42.3%,+3.3
W Michigan,69-51-3,57.5%,42.5%,+4.1
Radford,46-34-1,57.5%,42.5%,+1.5
Colgate,54-40-1,57.5%,42.6%,+0.1
SE Missouri,62-46-2,57.4%,42.6%,+3.7
Cincinnati,94-70-3,57.3%,42.7%,+4.0
Drake,75-56-0,57.3%,42.8%,+4.0
Beth-Cook,33-25-0,56.9%,43.1%,+3.7
Brown,58-44-0,56.9%,43.1%,+2.8
Arkansas St,71-54-0,56.8%,43.2%,+3.5
California,98-75-4,56.7%,43.4%,+1.7
Lipscomb,61-47-1,56.5%,43.5%,+4.2
N Arizona,62-48-3,56.4%,43.6%,+1.4
Xavier,96-75-4,56.1%,43.9%,+1.6
Wisconsin,93-73-3,56.0%,44.0%,+1.2
Youngs St,70-55-0,56.0%,44.0%,+4.2
Kennesaw St,48-38-2,55.8%,44.2%,+1.3
Princeton,53-42-0,55.8%,44.2%,+3.0
Bowling Grn,73-58-2,55.7%,44.3%,+1.9
Presbyterian,39-31-0,55.7%,44.3%,+4.3
Hofstra,65-52-1,55.6%,44.4%,+2.8
Lehigh,50-40-0,55.6%,44.4%,+2.9
Idaho St,56-45-1,55.5%,44.6%,+2.7
NC-Asheville,41-33-1,55.4%,44.6%,+0.1
IPFW,67-54-3,55.4%,44.6%,+2.6
Elon,62-50-0,55.4%,44.6%,+3.6
Lafayette,48-39-1,55.2%,44.8%,+1.7
N Florida,49-40-1,55.1%,44.9%,+1.7
Kent St,71-58-2,55.0%,45.0%,+3.7
Niagara,66-54-2,55.0%,45.0%,+3.8
Binghamton,45-37-1,54.9%,45.1%,+1.5
Grd Canyon,62-51-1,54.9%,45.1%,+0.5
N Dakota St,57-47-2,54.8%,45.2%,+2.5
St Bonavent,71-59-1,54.6%,45.4%,+3.0
Tulane,72-60-3,54.6%,45.5%,+3.0
Utah,90-75-2,54.6%,45.5%,+2.7
Richmond,79-66-2,54.5%,45.5%,+1.4
WI-Grn Bay,67-56-3,54.5%,45.5%,+1.7
Minnesota,92-77-2,54.4%,45.6%,+1.5
Miss Val St,31-26-0,54.4%,45.6%,+0.6
Central Mich,63-53-2,54.3%,45.7%,+2.6
Gonzaga,82-69-0,54.3%,45.7%,+0.3
W Kentucky,70-59-6,54.3%,45.7%,+3.0
North Texas,70-59-2,54.3%,45.7%,+1.5
Stetson,45-38-0,54.2%,45.8%,+3.2
Ball St,71-60-0,54.2%,45.8%,+1.6
Kansas,84-71-2,54.2%,45.8%,+3.1
Florida Intl,66-56-3,54.1%,45.9%,+2.3
Utah St,73-62-1,54.1%,45.9%,+1.5
Boston Col,81-69-2,54.0%,46.0%,+1.7
U Mass,81-69-0,54.0%,46.0%,+1.8
Austin Peay,61-52-2,54.0%,46.0%,+3.1
La Salle,75-64-1,54.0%,46.0%,+1.0
SC Upstate,41-35-0,54.0%,46.1%,+1.3
S Methodist,82-70-3,54.0%,46.1%,+1.4
Utah Valley,49-42-1,53.9%,46.2%,+2.5
Montana St,63-54-0,53.9%,46.2%,+0.9
Ste F Austin,42-36-1,53.9%,46.2%,+2.3
DePaul,92-79-1,53.8%,46.2%,+2.2
Geo Mason,78-67-1,53.8%,46.2%,+0.9
Stanford,86-74-1,53.8%,46.3%,+2.0
UC Irvine,58-50-1,53.7%,46.3%,+2.5
Geo Wshgtn,80-69-1,53.7%,46.3%,+3.5
San Francisco,80-69-2,53.7%,46.3%,+1.9
Temple,73-63-1,53.7%,46.3%,+2.6
St Fran (PA),44-38-0,53.7%,46.3%,+1.9
Indiana,96-83-0,53.6%,46.4%,+0.9
Purdue,82-71-2,53.6%,46.4%,+1.9
Arkansas,90-78-5,53.6%,46.4%,+0.6
Belmont,68-59-2,53.5%,46.5%,+0.8
S Mississippi,61-53-0,53.5%,46.5%,+2.5
W Virginia,85-74-1,53.5%,46.5%,+2.2
Nevada,78-68-1,53.4%,46.6%,+1.1
Kentucky,96-84-1,53.3%,46.7%,+3.0
Ohio,72-63-2,53.3%,46.7%,+2.4
N Carolina,81-71-3,53.3%,46.7%,+1.8
Sac State,60-53-1,53.1%,46.9%,+3.3
Furman,61-54-2,53.0%,47.0%,-0.1
Pacific,70-62-1,53.0%,47.0%,+2.0
S Alabama,71-63-2,53.0%,47.0%,+2.2
St. Thomas,18-16-2,52.9%,47.1%,+1.9
Idaho,64-57-2,52.9%,47.1%,+1.7
Georgia St,64-57-0,52.9%,47.1%,+2.4
Montana,64-57-1,52.9%,47.1%,+1.0
Incar Word,37-33-1,52.9%,47.1%,0.0
Abl Christian,38-34-1,52.8%,47.2%,+2.1
Texas Tech,88-79-1,52.7%,47.3%,+0.6
Rider,60-54-0,52.6%,47.4%,+0.6
Dayton,83-75-2,52.5%,47.5%,+0.3
TX-Arlington,63-57-0,52.5%,47.5%,+0.1
Delaware,63-57-2,52.5%,47.5%,+1.6
Colorado,86-78-2,52.4%,47.6%,+1.0
Bellarmine,23-21-1,52.3%,47.7%,+1.6
Connecticut,81-74-1,52.3%,47.7%,+0.8
Campbell,47-43-1,52.2%,47.8%,+1.0
Cal Baptist,47-43-1,52.2%,47.8%,+1.4
Pepperdine,71-65-3,52.2%,47.8%,-0.1
Fla Atlantic,61-56-2,52.1%,47.9%,+1.7
Chattanooga,62-57-0,52.1%,47.9%,+1.0
Mississippi,87-80-3,52.1%,47.9%,+1.4
Monmouth,63-58-1,52.1%,47.9%,+1.6
UNLV,89-82-1,52.1%,48.0%,+1.2
S Carolina,79-73-2,52.0%,48.0%,+0.5
Weber St,55-51-4,51.9%,48.1%,+1.4
IU Indy,56-52-1,51.9%,48.2%,+1.6
Oregon St,84-78-1,51.9%,48.2%,+1.1
Ark Pine Bl,28-26-1,51.9%,48.2%,-0.6
Longwood,42-39-0,51.9%,48.2%,+2.6
UCLA,86-80-2,51.8%,48.2%,+0.9
SIU Edward,58-54-0,51.8%,48.2%,-0.6
New Mexico,73-68-1,51.8%,48.2%,+1.6
Vanderbilt,89-83-3,51.7%,48.3%,+1.9
Florida,77-72-2,51.7%,48.3%,+0.1
Baylor,81-76-0,51.6%,48.4%,+1.6
Michigan,84-79-0,51.5%,48.5%,+0.2
James Mad,68-64-1,51.5%,48.5%,+1.7
Washington,85-80-2,51.5%,48.5%,+0.4
Missouri St,69-65-1,51.5%,48.5%,+0.9
GA Southern,56-53-3,51.4%,48.6%,-0.1
Wichita St,76-72-1,51.4%,48.7%,+2.3
TX Christian,84-80-1,51.2%,48.8%,-0.2
Cal St Nrdge,63-60-1,51.2%,48.8%,+2.1
Providence,86-82-2,51.2%,48.8%,+1.4
Mass Lowell,45-43-1,51.1%,48.9%,+1.2
Winthrop,45-43-3,51.1%,48.9%,+1.4
Alcorn St,27-26-1,50.9%,49.1%,+1.2
Duke,84-81-2,50.9%,49.1%,+0.1
Pittsburgh,84-81-5,50.9%,49.1%,+0.2
TN Tech,59-57-0,50.9%,49.1%,+2.4
UTSA,62-60-0,50.8%,49.2%,-0.9
Manhattan,63-61-2,50.8%,49.2%,+2.1
TX-Pan Am,37-36-1,50.7%,49.3%,-0.7
Marshall,74-72-2,50.7%,49.3%,+2.3
Clemson,79-77-1,50.6%,49.4%,+0.5
Marquette,88-86-1,50.6%,49.4%,+0.4
Maryland BC,48-47-0,50.5%,49.5%,+1.2
U Penn,55-54-1,50.5%,49.5%,+0.5
Cal Poly,56-55-0,50.5%,49.6%,+2.9
LA Tech,63-62-3,50.4%,49.6%,-0.2
Indiana St,64-63-0,50.4%,49.6%,-0.6
Portland,64-63-3,50.4%,49.6%,+1.2
San Jose St,66-65-2,50.4%,49.6%,+0.1
Charlotte,69-68-3,50.4%,49.6%,+1.5
St Marys,81-80-1,50.3%,49.7%,-0.5
Wash State,82-81-1,50.3%,49.7%,+1.2
NC State,85-84-1,50.3%,49.7%,0.0
Georgia,88-87-0,50.3%,49.7%,0.0
Troy,57-57-5,50.0%,50.0%,+0.4
Ohio St,89-89-1,50.0%,50.0%,+0.5
Chicago St,34-34-1,50.0%,50.0%,+1.4
Le Moyne,7-7-0,50.0%,50.0%,+3.4
Coppin St,31-31-0,50.0%,50.0%,-0.9
Arizona,84-84-3,50.0%,50.0%,-0.8
Northeastrn,59-59-0,50.0%,50.0%,+0.8
Hampton,38-38-1,50.0%,50.0%,+2.0
Miss State,79-79-0,50.0%,50.0%,-0.4
Kansas City,44-44-1,50.0%,50.0%,+0.6
Portland St,55-55-1,50.0%,50.0%,+0.6
LIU,26-26-2,50.0%,50.0%,+1.5
S Indiana,13-13-0,50.0%,50.0%,-0.4
Mercyhurst,1-1-0,50.0%,50.0%,-3.5
Georgetown,89-90-0,49.7%,50.3%,+1.3
Creighton,82-83-4,49.7%,50.3%,0.0
Penn St,75-76-1,49.7%,50.3%,+0.6
Col Charlestn,70-71-1,49.7%,50.4%,0.0
Wright St,68-69-1,49.6%,50.4%,+0.7
Murray St,62-63-0,49.6%,50.4%,+1.5
TN State,54-55-0,49.5%,50.5%,+1.4
American,46-47-0,49.5%,50.5%,-0.2
LSU,83-85-3,49.4%,50.6%,+1.3
Jacksonville,39-40-0,49.4%,50.6%,-1.5
Notre Dame,76-78-2,49.4%,50.7%,+1.0
Miami,76-78-1,49.4%,50.7%,+1.3
VA Tech,74-76-2,49.3%,50.7%,+0.6
