Team,ATS Record,Cover %,MOV,ATS +/-
Stonehill,2-0-0,100.0%,7.5,+15.3
Mercyhurst,1-0-0,100.0%,-28.0,+2.0
St. Thomas,8-2-0,80.0%,4.4,+8.2
Incar Word,7-2-0,77.8%,5.3,+3.1
Lindenwood,3-1-0,75.0%,1.0,+8.6
S Car State,14-5-1,73.7%,-4.1,+3.3
Utah Tech,8-3-0,72.7%,0.3,+2.8
Maryland BC,7-3-1,70.0%,-0.5,+0.9
Alabama St,14-6-1,70.0%,-4.8,+2.8
Cal St Nrdge,28-12-0,70.0%,2.2,+5.1
Prairie View,9-4-0,69.2%,-6.0,+3.5
Memphis,38-17-1,69.1%,6.5,+3.1
E Tenn St,25-12-1,67.6%,1.4,+2.4
Manhattan,25-12-3,67.6%,-0.7,+3.1
N Hampshire,6-3-2,66.7%,-8.1,-2.8
NC A&T,14-7-1,66.7%,-5.5,+2.3
Gonzaga,50-25-1,66.7%,8.6,+1.7
Boston U,16-8-1,66.7%,-1.0,+0.2
Richmond,31-16-1,66.0%,2.5,+3.5
NW State,15-8-0,65.2%,-8.0,+0.5
San Jose St,15-8-0,65.2%,0.5,+2.9
Utah St,45-24-0,65.2%,7.8,+3.1
Sacred Hrt,11-6-0,64.7%,0.6,+5.8
NC-Wilmgton,33-18-2,64.7%,2.2,+3.3
SIU Edward,9-5-0,64.3%,-0.8,+3.1
Iowa St,32-18-0,64.0%,5.9,+3.6
E Carolina,19-11-0,63.3%,-0.6,+2.8
NC State,31-18-1,63.3%,2.0,+2.9
Jksnville St,15-9-1,62.5%,1.7,+0.7
Syracuse,35-21-2,62.5%,3.2,+2.0
VA Tech,25-15-2,62.5%,-0.8,+1.4
Colgate,8-5-1,61.5%,0.7,0.0
CS Bakersfld,16-10-0,61.5%,3.4,+2.1
Ohio St,30-19-0,61.2%,4.4,+3.4
WI-Grn Bay,33-21-1,61.1%,2.7,+2.8
Drake,33-21-4,61.1%,3.8,+1.8
Oakland,25-16-1,61.0%,1.6,+0.2
Radford,14-9-0,60.9%,2.3,+1.8
Grd Canyon,14-9-1,60.9%,5.2,+1.9
San Diego St,38-25-0,60.3%,4.9,+2.5
N Iowa,33-22-2,60.0%,1.6,+1.5
Sac State,15-10-1,60.0%,-6.4,+1.2
Jacksonville,12-8-1,60.0%,-0.9,+2.5
Buffalo,21-14-1,60.0%,0.7,-0.7
Creighton,31-21-1,59.6%,3.2,+0.5
Liberty,22-15-0,59.5%,2.5,+1.0
E Washingtn,22-15-0,59.5%,0.9,+0.9
SE Louisiana,10-7-0,58.8%,-0.1,+0.3
Hampton,20-14-0,58.8%,-0.2,+2.5
UTSA,17-12-0,58.6%,3.1,+2.7
Duke,41-29-1,58.6%,10.8,+0.5
Kentucky,29-21-1,58.0%,6.9,+1.0
TN State,11-8-0,57.9%,-2.7,-1.3
Hawaii,44-32-0,57.9%,2.7,+2.9
Montana St,22-16-1,57.9%,4.1,+2.1
Florida A&M,11-8-0,57.9%,-8.8,+2.7
W Kentucky,37-27-0,57.8%,2.7,+1.8
N Dakota St,30-22-1,57.7%,4.2,+2.4
Kansas,38-28-1,57.6%,7.1,+1.4
Pittsburgh,23-17-2,57.5%,1.7,+1.7
Kent St,35-26-1,57.4%,3.4,+0.9
Longwood,16-12-0,57.1%,-2.3,+2.5
Texas St,16-12-2,57.1%,0.2,+3.7
Valparaiso,20-15-0,57.1%,4.6,+2.3
Mass Lowell,8-6-1,57.1%,0.5,+3.2
New Mexico,29-22-2,56.9%,7.8,+1.5
Wright St,29-22-0,56.9%,5.3,+2.7
Arkansas St,21-16-0,56.8%,-0.6,+1.1
Oregon St,17-13-1,56.7%,-0.7,-0.5
Stony Brook,13-10-0,56.5%,-1.4,+3.7
UL Monroe,13-10-1,56.5%,-7.6,-1.5
Penn St,22-17-3,56.4%,-2.3,+0.6
Connecticut,36-28-1,56.3%,3.4,+1.1
Notre Dame,23-18-0,56.1%,0.5,+0.7
Vanderbilt,23-18-2,56.1%,0.0,-0.2
Texas A&M,23-18-1,56.1%,0.4,+1.0
Samford,14-11-1,56.0%,-1.5,+0.5
Wisconsin,28-22-1,56.0%,4.8,+1.4
Albany,14-11-1,56.0%,0.7,+1.6
Gard-Webb,19-15-0,55.9%,2.4,+4.0
Alabama,29-23-1,55.8%,0.8,+0.7
Cleveland St,20-16-0,55.6%,0.2,+1.8
Belmont,20-16-0,55.6%,4.3,+1.9
Temple,25-20-1,55.6%,0.3,+0.6
UNLV,21-17-2,55.3%,4.6,+0.9
San Francisco,33-27-1,55.0%,2.3,+1.4
Iona,33-27-2,55.0%,3.7,+1.8
Ste F Austin,11-9-1,55.0%,4.8,+0.6
Old Dominion,29-24-3,54.7%,0.3,+0.1
Kennesaw St,12-10-0,54.6%,-3.0,-0.3
Mt St Marys,6-5-0,54.6%,-3.0,+2.0
Washington,25-21-1,54.4%,3.0,+1.2
VCU,32-27-3,54.2%,2.7,+2.2
Niagara,26-22-1,54.2%,-0.4,-0.5
TX A&M-CC,13-11-0,54.2%,1.6,+1.3
Davidson,26-22-3,54.2%,3.0,-1.3
Coppin St,13-11-1,54.2%,-8.2,+0.2
Presbyterian,14-12-1,53.9%,-5.7,+0.7
Wagner,7-6-0,53.9%,-2.8,-3.7
Campbell,14-12-0,53.9%,1.0,+1.0
Morehead St,14-12-0,53.9%,-0.3,+0.4
Michigan,29-25-0,53.7%,2.9,+2.6
Cornell,83-72-4,53.6%,-1.7,+0.4
Butler,23-20-0,53.5%,2.6,+0.8
St Peters,16-14-2,53.3%,-0.8,0.0
Lg Beach St,26-23-2,53.1%,-2.4,-0.4
Geo Wshgtn,26-23-2,53.1%,-1.0,-0.5
Yale,87-77-2,53.1%,1.6,+0.5
Binghamton,9-8-1,52.9%,-5.1,+0.1
LA Tech,27-24-0,52.9%,0.6,-1.5
Bowling Grn,18-16-0,52.9%,-3.4,-0.9
Houston,27-24-0,52.9%,1.4,+0.2
St Bonavent,18-16-1,52.9%,0.1,+1.5
Portland St,19-17-0,52.8%,-2.8,-1.6
Arizona St,20-18-1,52.6%,5.2,+3.2
Lipscomb,10-9-0,52.6%,-4.6,-0.7
Baylor,21-19-0,52.5%,1.8,+0.5
Air Force,21-19-1,52.5%,-2.1,+0.1
Georgia St,22-20-0,52.4%,1.2,+0.3
Loyola-Chi,23-21-2,52.3%,4.5,+0.6
App State,23-21-1,52.3%,0.1,+1.0
Howard,12-11-0,52.2%,-7.6,-2.2
Neb Omaha,12-11-0,52.2%,-2.3,+1.0
NC Central,12-11-0,52.2%,-0.7,-1.3
Louisville,26-24-1,52.0%,7.8,+0.4
Brown,82-76-3,51.9%,-2.5,+0.1
N Colorado,14-13-0,51.9%,-2.1,-0.9
Oklahoma,28-26-1,51.9%,4.3,+0.8
Idaho St,16-15-3,51.6%,-1.4,+0.1
Elon,18-17-1,51.4%,-2.7,+1.4
NC-Grnsboro,20-19-4,51.3%,-1.9,-1.0
Clemson,20-19-2,51.3%,3.2,+0.8
Detroit,21-20-0,51.2%,3.8,-0.5
Towson,22-21-0,51.2%,-2.9,0.0
Colorado St,23-22-0,51.1%,0.2,+1.9
Nevada,23-22-0,51.1%,2.4,+0.6
St Josephs,25-24-3,51.0%,-2.0,-0.3
Columbia,80-77-0,51.0%,-2.8,-0.3
Cincinnati,27-26-1,50.9%,3.3,0.0
Iowa,27-26-1,50.9%,2.4,+0.4
Charlotte,27-26-0,50.9%,-3.2,-2.3
Villanova,27-26-2,50.9%,2.1,-0.2
S Illinois,28-27-0,50.9%,-0.1,-0.2
Texas,29-28-2,50.9%,1.6,+0.5
N Mex State,29-28-0,50.9%,3.4,+0.6
Oregon,29-28-4,50.9%,4.6,+2.3
TX El Paso,36-35-1,50.7%,0.0,-0.5
Quinnipiac,11-11-0,50.0%,-2.3,0.0
Georgetown,20-20-1,50.0%,2.4,+2.7
Central Ark,5-5-1,50.0%,-4.3,-0.4
American,6-6-0,50.0%,0.0,+0.8
Seattle,10-10-0,50.0%,-0.2,-0.7
Hofstra,27-27-2,50.0%,0.3,+0.5
Navy,9-9-1,50.0%,3.2,+1.0
Kansas City,14-14-0,50.0%,-1.0,+0.6
North Texas,20-20-1,50.0%,0.9,+0.2
Pepperdine,36-36-3,50.0%,2.1,+0.6
S Dakota St,22-22-2,50.0%,4.4,+0.8
Virginia,18-18-2,50.0%,1.9,-0.5
Marquette,24-24-1,50.0%,2.8,+0.8
UCLA,24-24-3,50.0%,1.7,-1.4
Wash State,13-13-0,50.0%,4.9,+4.2
Ohio,20-20-1,50.0%,-0.3,+0.8
UCSD,5-5-0,50.0%,0.1,+1.2
Boston Col,21-21-1,50.0%,-0.9,+1.7
Duquesne,15-15-0,50.0%,-1.7,-0.7
W Illinois,9-9-0,50.0%,-4.4,-0.6
Boise St,16-16-1,50.0%,0.8,+0.5
Bellarmine,4-4-1,50.0%,14.0,+3.3
TX A&M-Com,2-2-0,50.0%,-5.3,-2.9
Princeton,86-87-3,49.7%,5.2,-0.6
Harvard,81-82-1,49.7%,1.3,+0.5
U Penn,83-85-3,49.4%,4.3,+0.5
Michigan St,31-32-1,49.2%,5.0,+0.4
Col Charlestn,30-31-1,49.2%,2.0,-0.2
Weber St,29-30-0,49.2%,0.8,-0.3
Middle Tenn,27-28-0,49.1%,1.0,+2.2
S Alabama,24-25-0,49.0%,0.4,-0.3
Stanford,24-25-3,49.0%,1.6,-1.6
Montana,24-25-0,49.0%,1.3,-0.5
W Virginia,22-23-1,48.9%,2.0,+0.3
Missouri,22-23-1,48.9%,-0.8,-0.6
Auburn,21-22-0,48.8%,1.1,+0.1
James Mad,21-22-0,48.8%,0.1,-0.9
Florida Intl,20-21-2,48.8%,-4.7,-2.8
Wyoming,19-20-0,48.7%,-1.4,0.0
Murray St,18-19-3,48.7%,1.9,+0.4
Wofford,18-19-0,48.7%,0.3,-0.8
E Michigan,15-16-0,48.4%,-3.4,-1.0
E Kentucky,15-16-0,48.4%,-1.6,-1.8
Dartmouth,73-78-4,48.3%,-5.7,-0.3
NC-Asheville,14-15-0,48.3%,-1.9,-1.6
Fairfield,25-27-1,48.1%,-2.4,-0.2
