Team,Over Record,Over %,Under %,Total +/-
S Dakota St,82-45-1,64.6%,35.4%,+5.9
Syracuse,67-38-0,63.8%,36.2%,+4.8
Delaware St,70-40-1,63.6%,36.4%,+5.3
New Orleans,62-36-2,63.3%,36.7%,+3.6
NJIT,73-44-1,62.4%,37.6%,+3.1
S Indiana,23-14-0,62.2%,37.8%,+5.1
Santa Clara,62-39-4,61.4%,38.6%,+2.3
Sacred Hrt,75-49-0,60.5%,39.5%,+4.8
Columbia,67-44-2,60.4%,39.6%,+3.1
Weber St,79-52-1,60.3%,39.7%,+2.6
Central Ark,71-47-2,60.2%,39.8%,+3.7
LSU,63-42-1,60.0%,40.0%,+3.9
Northeastrn,82-55-1,59.9%,40.2%,+2.5
Iowa St,63-43-1,59.4%,40.6%,+4.4
UTSA,77-53-2,59.2%,40.8%,+5.5
Wright St,81-56-0,59.1%,40.9%,+3.1
Fresno St,75-52-1,59.1%,40.9%,+2.0
NC-Asheville,60-42-4,58.8%,41.2%,+3.4
Oral Roberts,88-62-2,58.7%,41.3%,+2.6
South Dakota,75-53-3,58.6%,41.4%,+4.7
UNLV,65-47-0,58.0%,42.0%,+4.0
North Dakota,87-63-1,58.0%,42.0%,+4.1
Lg Beach St,87-63-0,58.0%,42.0%,+4.8
Michigan,62-45-0,57.9%,42.1%,+2.2
Arizona,62-45-0,57.9%,42.1%,+4.5
Toledo,81-59-1,57.9%,42.1%,+4.5
NC A&T,63-46-0,57.8%,42.2%,+3.0
Seattle,56-41-2,57.7%,42.3%,+2.4
Illinois St,71-52-1,57.7%,42.3%,+2.8
Denver,79-58-1,57.7%,42.3%,+1.6
Youngs St,84-62-0,57.5%,42.5%,+1.9
Georgetown,62-46-0,57.4%,42.6%,+3.2
Morgan St,59-44-1,57.3%,42.7%,+1.9
St Josephs,71-53-0,57.3%,42.7%,+3.4
Indiana St,70-53-2,56.9%,43.1%,+4.1
Nebraska,66-50-1,56.9%,43.1%,+2.3
Oregon St,62-47-0,56.9%,43.1%,-0.1
Holy Cross,62-47-3,56.9%,43.1%,+1.1
Florida St,59-45-3,56.7%,43.3%,+0.9
New Mexico,64-49-0,56.6%,43.4%,+3.9
Old Dominion,70-54-1,56.5%,43.6%,+2.2
Queens,22-17-2,56.4%,43.6%,+0.2
Stetson,62-48-3,56.4%,43.6%,+2.1
Boston Col,58-45-4,56.3%,43.7%,+0.8
Louisiana,76-59-2,56.3%,43.7%,+1.6
Georgia,63-49-0,56.3%,43.8%,+2.2
Charlotte,68-53-5,56.2%,43.8%,+1.9
Providence,59-46-4,56.2%,43.8%,+0.1
Tulane,59-46-0,56.2%,43.8%,+2.6
Alcorn St,73-57-0,56.2%,43.9%,+2.8
Prairie View,69-54-1,56.1%,43.9%,+2.5
NC-Wilmgton,74-58-1,56.1%,43.9%,+3.0
Sam Hous St,61-48-0,56.0%,44.0%,+0.7
Bowling Grn,76-60-0,55.9%,44.1%,+2.5
Grd Canyon,43-34-0,55.8%,44.2%,+1.9
Mercer,77-61-2,55.8%,44.2%,+2.9
NW State,63-50-1,55.8%,44.3%,+2.5
Montana,83-66-0,55.7%,44.3%,+3.3
WI-Grn Bay,89-71-2,55.6%,44.4%,+2.4
Detroit,89-71-3,55.6%,44.4%,+4.0
Texas A&M,55-44-1,55.6%,44.4%,+1.3
Marshall,75-60-2,55.6%,44.4%,+2.1
W Virginia,56-45-2,55.5%,44.6%,+2.3
Norfolk St,61-49-0,55.5%,44.6%,0.0
E Carolina,56-45-3,55.5%,44.6%,+0.5
Samford,77-62-1,55.4%,44.6%,+2.8
Buffalo,72-58-1,55.4%,44.6%,+2.5
Bellarmine,36-29-1,55.4%,44.6%,+1.5
E Washingtn,93-75-2,55.4%,44.6%,+1.8
Baylor,57-46-2,55.3%,44.7%,+1.4
Idaho St,83-67-2,55.3%,44.7%,+1.4
Michigan St,58-47-1,55.2%,44.8%,+1.3
Louisville,58-47-1,55.2%,44.8%,+2.5
Rhode Island,64-52-1,55.2%,44.8%,+0.6
San Jose St,70-57-1,55.1%,44.9%,+3.0
Cornell,70-57-1,55.1%,44.9%,+3.3
Bucknell,66-54-2,55.0%,45.0%,+1.6
San Diego,66-54-1,55.0%,45.0%,+1.8
NC-Grnsboro,72-59-3,55.0%,45.0%,+2.3
U Mass,61-50-0,55.0%,45.1%,+1.3
Abl Christian,50-41-1,55.0%,45.1%,+1.7
E Kentucky,78-64-1,54.9%,45.1%,+1.9
Hampton,56-46-0,54.9%,45.1%,+2.5
App State,72-60-4,54.6%,45.5%,+1.5
SC Upstate,67-56-0,54.5%,45.5%,+0.5
Hawaii,49-41-3,54.4%,45.6%,+1.7
St Johns,56-47-2,54.4%,45.6%,+4.9
American,64-54-0,54.2%,45.8%,+1.7
Memphis,58-49-1,54.2%,45.8%,+4.7
N Iowa,66-56-0,54.1%,45.9%,+2.2
Col Charlestn,67-57-0,54.0%,46.0%,+2.5
UCSD,28-24-2,53.9%,46.2%,+2.3
NC State,56-48-0,53.9%,46.2%,+1.7
UCSB,71-61-4,53.8%,46.2%,+2.6
GA Tech,64-55-1,53.8%,46.2%,+1.6
Winthrop,57-49-0,53.8%,46.2%,+2.4
La Salle,65-56-0,53.7%,46.3%,+1.7
Manhattan,73-63-1,53.7%,46.3%,+1.2
VMI,73-63-1,53.7%,46.3%,+1.8
Gonzaga,52-45-0,53.6%,46.4%,+3.0
TX-Pan Am,52-45-2,53.6%,46.4%,+1.4
SIU Edward,75-65-6,53.6%,46.4%,+1.1
Wake Forest,60-52-4,53.6%,46.4%,+1.0
Duquesne,53-46-1,53.5%,46.5%,+2.6
Ark Pine Bl,76-66-2,53.5%,46.5%,+1.7
Geo Mason,61-53-1,53.5%,46.5%,+0.9
Dayton,55-48-3,53.4%,46.6%,+0.7
Neb Omaha,87-76-0,53.4%,46.6%,+1.6
BYU,56-49-2,53.3%,46.7%,+3.0
Oregon,56-49-1,53.3%,46.7%,+0.5
Wichita St,57-50-1,53.3%,46.7%,0.0
Marquette,58-51-2,53.2%,46.8%,+3.5
Belmont,77-68-1,53.1%,46.9%,+1.8
Rice,69-61-1,53.1%,46.9%,+0.8
Richmond,61-54-2,53.0%,47.0%,+2.3
IPFW,79-70-1,53.0%,47.0%,+0.6
TX Christian,54-48-3,52.9%,47.1%,+3.6
Boise St,64-57-2,52.9%,47.1%,+1.5
Lipscomb,65-58-1,52.9%,47.2%,-0.1
Harvard,65-58-1,52.9%,47.2%,+0.4
S Carolina,57-51-4,52.8%,47.2%,+0.1
E Michigan,76-68-0,52.8%,47.2%,+1.7
Montana St,78-70-0,52.7%,47.3%,+1.6
Cleveland St,78-70-3,52.7%,47.3%,+1.5
Iona,69-62-1,52.7%,47.3%,+1.6
S Florida,60-54-0,52.6%,47.4%,+2.8
U Penn,60-54-2,52.6%,47.4%,+1.1
Bryant,61-55-1,52.6%,47.4%,+1.7
Howard,51-46-2,52.6%,47.4%,+1.2
Nevada,63-57-1,52.5%,47.5%,+1.6
N Colorado,74-67-2,52.5%,47.5%,+1.4
TX A&M-CC,54-49-2,52.4%,47.6%,+0.6
VA Tech,54-49-2,52.4%,47.6%,-0.2
Rob Morris,65-59-3,52.4%,47.6%,+0.4
Murray St,66-60-3,52.4%,47.6%,-0.8
Miss State,55-50-0,52.4%,47.6%,+1.7
Arkansas,56-51-0,52.3%,47.7%,+2.4
Ball St,68-62-4,52.3%,47.7%,+1.3
Coastal Car,57-52-1,52.3%,47.7%,+3.8
USC,57-52-1,52.3%,47.7%,+0.8
Quinnipiac,69-63-1,52.3%,47.7%,+4.5
Citadel,69-63-0,52.3%,47.7%,+2.4
Alabama,58-53-3,52.3%,47.8%,+1.5
S Methodist,58-53-0,52.3%,47.8%,+1.1
Idaho,70-64-2,52.2%,47.8%,+0.9
Incar Word,47-43-2,52.2%,47.8%,+2.4
Marist,71-65-3,52.2%,47.8%,+0.4
Army,59-54-0,52.2%,47.8%,+1.4
TX El Paso,60-55-2,52.2%,47.8%,+1.8
Wyoming,60-55-4,52.2%,47.8%,+0.9
Portland St,72-66-3,52.2%,47.8%,+2.6
IL-Chicago,74-68-0,52.1%,47.9%,+2.4
High Point,50-46-1,52.1%,47.9%,0.0
SE Missouri,75-69-3,52.1%,47.9%,+2.3
Missouri St,64-59-1,52.0%,48.0%,+2.4
Maine,65-60-1,52.0%,48.0%,-0.7
Florida Intl,66-61-1,52.0%,48.0%,+0.6
Nicholls,53-49-1,52.0%,48.0%,+3.1
UC Davis,70-65-1,51.9%,48.2%,+1.0
Central Mich,73-68-1,51.8%,48.2%,+0.9
N Dakota St,73-68-1,51.8%,48.2%,+1.1
Miss Val St,75-70-3,51.7%,48.3%,+1.4
Stony Brook,63-59-0,51.6%,48.4%,+1.0
Texas Tech,49-46-3,51.6%,48.4%,+0.4
Fla Atlantic,66-62-3,51.6%,48.4%,+2.5
Delaware,68-64-0,51.5%,48.5%,+1.1
LA Tech,68-64-1,51.5%,48.5%,+0.5
Hsn Christian,52-49-1,51.5%,48.5%,0.0
Northwestern,55-52-3,51.4%,48.6%,+0.4
Kansas St,56-53-2,51.4%,48.6%,+1.8
Iowa,56-53-1,51.4%,48.6%,+1.2
Lehigh,58-55-1,51.3%,48.7%,+1.3
Oklahoma St,59-56-0,51.3%,48.7%,+0.6
Radford,60-57-0,51.3%,48.7%,+0.1
Loyola-MD,61-58-1,51.3%,48.7%,+0.5
Gard-Webb,61-58-0,51.3%,48.7%,+1.0
Siena,69-66-2,51.1%,48.9%,+0.4
S Utah,73-70-4,51.1%,49.0%,0.0
Clemson,52-50-3,51.0%,49.0%,-0.5
Connecticut,53-51-1,51.0%,49.0%,+1.1
Houston,54-52-0,50.9%,49.1%,+1.9
Navy,55-53-2,50.9%,49.1%,-0.2
Evansville,67-65-1,50.8%,49.2%,+1.5
N Illinois,73-71-3,50.7%,49.3%,+0.1
W Carolina,78-76-0,50.7%,49.4%,+0.4
IU Indy,78-76-2,50.7%,49.4%,+0.9
Kentucky,52-51-0,50.5%,49.5%,-0.9
Texas,52-51-0,50.5%,49.5%,+0.4
Lamar,53-52-1,50.5%,49.5%,-0.6
Tulsa,56-55-0,50.5%,49.6%,+0.7
Vanderbilt,56-55-1,50.5%,49.6%,+0.2
Georgia St,68-67-1,50.4%,49.6%,+1.1
GA Southern,73-72-0,50.3%,49.7%,+0.3
Drexel,67-67-0,50.0%,50.0%,+2.4
Indiana,51-51-4,50.0%,50.0%,+0.1
James Mad,63-63-0,50.0%,50.0%,+0.2
S Illinois,62-62-2,50.0%,50.0%,-0.8
CS Fullerton,67-67-3,50.0%,50.0%,+2.4
N Florida,63-63-2,50.0%,50.0%,+1.7
UAB,56-56-4,50.0%,50.0%,+0.3
W Kentucky,62-62-3,50.0%,50.0%,+1.0
Pepperdine,62-62-1,50.0%,50.0%,+2.2
Liberty,37-37-2,50.0%,50.0%,+0.5
Ste F Austin,45-45-0,50.0%,50.0%,-0.1
Kennesaw St,54-54-1,50.0%,50.0%,0.0
Missouri,53-53-2,50.0%,50.0%,-0.3
Lafayette,56-56-2,50.0%,50.0%,-0.8
Campbell,51-51-1,50.0%,50.0%,-0.8
Texas St,67-67-2,50.0%,50.0%,0.0
San Diego St,55-55-1,50.0%,50.0%,-1.4
Illinois,54-54-1,50.0%,50.0%,+1.3
Mercyhurst,4-4-0,50.0%,50.0%,+1.1
WI-Milwkee,71-72-0,49.7%,50.4%,+1.0
Furman,68-69-2,49.6%,50.4%,-0.2
Yale,62-63-1,49.6%,50.4%,+1.5
Ohio,60-61-3,49.6%,50.4%,-0.4
Dartmouth,60-61-2,49.6%,50.4%,+1.8
Akron,59-60-0,49.6%,50.4%,+1.3
Wisconsin,57-58-2,49.6%,50.4%,+0.6
Villanova,57-58-2,49.6%,50.4%,+0.5
Rutgers,56-57-1,49.6%,50.4%,+2.0
Arizona St,55-56-0,49.6%,50.5%,+0.5
NC Central,51-52-0,49.5%,50.5%,-1.3
N Alabama,50-51-0,49.5%,50.5%,+2.4
Cal St Nrdge,70-72-3,49.3%,50.7%,+1.2
Hofstra,68-70-0,49.3%,50.7%,+1.8
Utah Tech,31-32-0,49.2%,50.8%,+1.2
Bradley,61-63-1,49.2%,50.8%,+1.7
Davidson,56-58-3,49.1%,50.9%,+2.1
Mass Lowell,55-57-2,49.1%,50.9%,+1.6
Washington,52-54-0,49.1%,50.9%,+0.7
Ohio St,51-53-2,49.0%,51.0%,+0.6
McNeese St,48-50-0,49.0%,51.0%,+0.8
St. Thomas,24-25-1,49.0%,51.0%,-0.4
Troy,70-73-3,49.0%,51.1%,-0.8
Canisius,68-71-5,48.9%,51.1%,+0.7
AR Lit Rock,67-70-1,48.9%,51.1%,-0.2
S Mississippi,64-67-4,48.9%,51.2%,-0.5
Pacific,64-67-2,48.9%,51.2%,+0.4
CS Bakersfld,57-60-0,48.7%,51.3%,-0.8
Grambling St,55-58-1,48.7%,51.3%,-1.4
Utah St,55-58-1,48.7%,51.3%,+0.9
Colorado St,54-57-0,48.7%,51.4%,-1.4
Utah,53-56-0,48.6%,51.4%,-1.3
Alabama St,53-56-3,48.6%,51.4%,+1.7
Oklahoma,53-56-0,48.6%,51.4%,+1.4
TN Tech,72-77-0,48.3%,51.7%,-0.4
Wofford,70-75-2,48.3%,51.7%,-1.5
Chattanooga,69-74-3,48.3%,51.8%,+0.3
Cal Poly,68-73-4,48.2%,51.8%,+1.6
Coppin St,67-72-2,48.2%,51.8%,-1.6
Miami (OH),66-71-2,48.2%,51.8%,-0.3
Charl South,52-56-2,48.2%,51.9%,+0.1
Notre Dame,52-56-1,48.2%,51.9%,-0.9
Middle Tenn,60-65-3,48.0%,52.0%,+2.9
Le Moyne,12-13-0,48.0%,52.0%,-1.6
TX-Arlington,72-78-2,48.0%,52.0%,+0.6
Fla Gulf Cst,46-50-2,47.9%,52.1%,-0.8
Chicago St,57-62-4,47.9%,52.1%,-0.4
Austin Peay,68-74-3,47.9%,52.1%,+1.9
Seton Hall,55-60-1,47.8%,52.2%,0.0
S Alabama,64-70-0,47.8%,52.2%,+0.1
DePaul,53-58-3,47.8%,52.3%,-0.8
TX A&M-Com,21-23-0,47.7%,52.3%,+1.0
N Arizona,72-79-1,47.7%,52.3%,+0.8
Tennessee,51-56-1,47.7%,52.3%,+0.9
UC Riverside,70-77-0,47.6%,52.4%,+0.1
Wash State,50-55-0,47.6%,52.4%,+1.0
Kansas City,50-55-1,47.6%,52.4%,-1.6
Tarleton St,29-32-1,47.5%,52.5%,-0.1
TX Southern,65-72-1,47.5%,52.6%,+0.7
Alab A&M,51-57-1,47.2%,52.8%,-2.5
Boston U,59-66-0,47.2%,52.8%,-3.3
Fairfield,65-73-2,47.1%,52.9%,-0.5
Duke,48-54-2,47.1%,52.9%,-0.4
Monmouth,72-81-1,47.1%,52.9%,+0.1
Valparaiso,64-72-0,47.1%,52.9%,0.0
Saint Louis,48-54-2,47.1%,52.9%,+0.8
TN Martin,71-80-3,47.0%,53.0%,+1.1
Drake,55-62-1,47.0%,53.0%,+0.5
Jacksonville,55-62-0,47.0%,53.0%,-0.1
SE Louisiana,53-60-2,46.9%,53.1%,-0.1
Auburn,52-59-0,46.9%,53.2%,-1.0
Virginia,52-59-2,46.9%,53.2%,+0.4
Florida,52-59-0,46.9%,53.2%,-1.3
Air Force,58-66-2,46.8%,53.2%,-0.5
E Illinois,72-82-0,46.8%,53.3%,-1.4
Colgate,56-64-1,46.7%,53.3%,+0.6
Florida A&M,54-62-1,46.6%,53.5%,+0.1
Wm & Mary,66-76-2,46.5%,53.5%,0.0
W Michigan,66-76-1,46.5%,53.5%,-1.1
Princeton,52-60-1,46.4%,53.6%,+0.8
St Fran (PA),58-67-2,46.4%,53.6%,-0.4
TN State,64-74-2,46.4%,53.6%,-1.4
Mt St Marys,57-66-3,46.3%,53.7%,-0.5
W Illinois,63-73-1,46.3%,53.7%,+0.4
Minnesota,49-57-2,46.2%,53.8%,+0.1
Central Conn,55-64-1,46.2%,53.8%,-0.7
San Francisco,52-61-0,46.0%,54.0%,-1.2
Stanford,52-61-1,46.0%,54.0%,+0.5
Towson,55-65-2,45.8%,54.2%,0.0
N Kentucky,60-71-1,45.8%,54.2%,-0.6
Oakland,70-83-1,45.8%,54.3%,0.0
Maryland,48-57-1,45.7%,54.3%,-2.0
Arkansas St,64-76-3,45.7%,54.3%,-0.4
Loyola-Chi,52-62-1,45.6%,54.4%,-0.8
Geo Wshgtn,52-62-3,45.6%,54.4%,-0.5
F Dickinson,57-68-1,45.6%,54.4%,-0.3
Niagara,67-80-1,45.6%,54.4%,+0.3
UCF,50-60-3,45.5%,54.6%,+1.5
Xavier,50-60-1,45.5%,54.6%,+0.8
Utah Valley,54-65-0,45.4%,54.6%,-1.8
Portland,53-64-1,45.3%,54.7%,+0.2
Vermont,48-58-0,45.3%,54.7%,-0.8
UCLA,47-57-2,45.2%,54.8%,0.0
North Texas,56-68-3,45.2%,54.8%,-0.3
Jksnville St,65-79-2,45.1%,54.9%,+0.4
Mississippi,51-62-1,45.1%,54.9%,+0.8
Albany,49-60-1,45.0%,55.1%,+0.2
Brown,53-65-1,44.9%,55.1%,-1.3
Morehead St,70-86-2,44.9%,55.1%,-0.4
Butler,48-59-2,44.9%,55.1%,-0.9
VCU,47-58-2,44.8%,55.2%,-1.0
Miami,48-60-2,44.4%,55.6%,+0.5
Fordham,46-58-2,44.2%,55.8%,-1.1
Longwood,45-57-4,44.1%,55.9%,-2.4
Penn St,48-61-2,44.0%,56.0%,-0.6
St Bonavent,51-65-3,44.0%,56.0%,-2.8
Binghamton,47-60-1,43.9%,56.1%,-0.9
Elon,61-78-1,43.9%,56.1%,-2.7
Presbyterian,48-62-1,43.6%,56.4%,-0.8
Rider,66-86-1,43.4%,56.6%,+0.3
Loyola Mymt,52-68-2,43.3%,56.7%,-3.3
N Mex State,41-54-2,43.2%,56.8%,-1.8
Wagner,50-66-3,43.1%,56.9%,-2.0
W Georgia,3-4-0,42.9%,57.1%,-5.5
LIU,36-48-0,42.9%,57.1%,-0.5
Temple,50-67-1,42.7%,57.3%,-1.4
Jackson St,57-77-0,42.5%,57.5%,-2.3
Maryland BC,48-65-0,42.5%,57.5%,-1.1
Beth-Cook,42-57-2,42.4%,57.6%,-2.3
