Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Alabama St.,Norfolk State,Norfolk State,-5.5,146.5.,125,[]
Buffalo,Georgia,Georgia,-26.5,147.5.,149,[]
Oakland,Cleveland St.,Cleveland St.,+1,128.5.,167,[]
Charleston Southern,North Alabama,North Alabama,-10,148.,155,[]
Tenn-Martin,Morehead St.,Tenn-Martin,+5,143.5.,139,[]
Grambling State,Delaware State,Delaware State,+5,141.5.,133,[]
Lipscomb,Middle Tennessee St.,Middle Tennessee St.,-1.5,148.5.,132,[]
UC Irvine,Belmont,UC Irvine,-2,154.5.,176,[]
New Orleans,Texas,Texas,-32.5,149.,160,[]
SIU Edwardsville,Little Rock,Little Rock,-3,137.,116,[]
Tennessee Tech,Lindenwood,Tennessee Tech,+3,145.5.,152,[]
Tennessee St.,Southern Indiana,Tennessee St.,+4,151.5.,152,[]
Eastern Illinois,SE Missouri St.,SE Missouri St.,-4,140.,151,[]
Bellarmine,Wyoming,Wyoming,-13.5,139.5.,147,[]
Long Beach St.,Pepperdine,Long Beach St.,+6,139.,155,[]
South Dakota,Utah Tech,Utah Tech,+2.5,163.5.,179,[]
Chicago St.,Grand Canyon,Chicago St.,+30,150.,125,[]
Merrimack,Saint Mary'S,Merrimack,+20.5,128.5.,141,[]
