Team,ATS Record,Cover %,MOV,ATS +/-
Le Moyne,7-1-0,87.5%,22.4,+12.9
Queens,8-3-2,72.7%,15.2,+2.9
Maryland ES,22-11-1,66.7%,4.1,+0.8
W Georgia,2-1-0,66.7%,-9.0,+2.2
SE Louisiana,31-17-0,64.6%,3.4,+1.4
Hofstra,36-20-1,64.3%,10.8,+2.3
New Orleans,26-15-0,63.4%,5.8,+2.9
IU Indy,37-22-0,62.7%,1.2,+1.4
N Florida,23-14-0,62.2%,8.9,+1.9
Morehead St,37-23-1,61.7%,13.5,+1.6
Monmouth,45-28-2,61.6%,2.9,+2.0
NC Central,24-15-1,61.5%,18.9,+2.1
McNeese St,22-14-1,61.1%,12.0,+2.4
Grd Canyon,33-21-0,61.1%,12.1,+2.0
Norfolk St,31-20-0,60.8%,12.2,+1.3
Incar Word,20-13-0,60.6%,5.2,+1.2
N Alabama,20-13-1,60.6%,11.4,+0.8
Buffalo,46-30-2,60.5%,8.7,+2.4
North Texas,35-23-0,60.3%,11.3,+2.0
Austin Peay,30-20-1,60.0%,6.5,0.0
Cornell,24-16-0,60.0%,9.7,+1.6
Georgia,42-28-2,60.0%,5.4,+1.0
Vermont,25-17-0,59.5%,14.1,+1.6
TX-Arlington,32-22-1,59.3%,10.7,+2.3
Wofford,32-22-1,59.3%,13.5,+1.6
Tennessee,47-33-1,58.8%,9.0,+1.2
Tarleton St,17-12-0,58.6%,17.0,+3.9
Davidson,55-39-1,58.5%,6.7,+0.1
Coastal Car,31-22-1,58.5%,13.5,+0.7
S Indiana,7-5-2,58.3%,11.4,+2.6
St Peters,54-39-0,58.1%,1.9,+0.9
Hsn Christian,22-16-0,57.9%,5.7,-0.5
Fla Atlantic,30-22-3,57.7%,11.3,+1.3
Kansas City,19-14-0,57.6%,15.3,-0.1
Iowa St,46-34-1,57.5%,11.0,+1.1
Presbyterian,23-17-2,57.5%,9.1,-0.4
BYU,27-20-2,57.5%,15.1,+2.8
Citadel,27-20-1,57.5%,12.3,+0.5
S Dakota St,40-30-0,57.1%,12.3,+0.7
Oregon,48-36-2,57.1%,11.9,+2.1
Coppin St,24-18-1,57.1%,-6.4,+0.7
S Methodist,53-40-2,57.0%,9.4,+0.9
Abl Christian,25-19-0,56.8%,14.1,+1.5
Fordham,38-29-2,56.7%,2.7,+0.6
St Marys,43-33-2,56.6%,13.6,+1.6
Fla Gulf Cst,22-17-0,56.4%,11.0,+2.9
Villanova,51-40-1,56.0%,10.2,-0.2
Purdue,56-44-3,56.0%,10.2,+0.8
N Carolina,57-45-2,55.9%,10.8,+1.7
GA Tech,39-31-1,55.7%,4.4,+0.7
UNLV,44-35-2,55.7%,7.5,+0.6
Xavier,49-39-3,55.7%,7.9,+1.1
E Washingtn,35-28-0,55.6%,10.3,+1.9
UC Davis,35-28-2,55.6%,5.9,+0.3
Denver,36-29-1,55.4%,1.8,-0.5
Cleveland St,36-29-1,55.4%,5.9,+2.6
W Kentucky,26-21-1,55.3%,10.5,+2.0
San Francisco,32-26-0,55.2%,14.1,+3.6
Clemson,54-44-0,55.1%,4.2,+1.5
Alab A&M,22-18-0,55.0%,-7.7,+0.9
Central Conn,23-19-0,54.8%,-1.7,+1.4
Rice,23-19-0,54.8%,5.2,+0.8
S Illinois,35-29-6,54.7%,4.1,+1.1
Longwood,25-21-0,54.4%,6.4,+1.0
Yale,19-16-1,54.3%,16.2,+2.4
UCF,45-38-2,54.2%,2.4,-0.6
