Team,ATS Record,Cover %,MOV,ATS +/-
Nevada,4-0-0,100.0%,25.5,+11.1
Alcorn St,2-0-1,100.0%,-19.0,+8.3
Tennessee,5-0-0,100.0%,28.4,+7.4
Denver,5-0-0,100.0%,6.3,+10.3
TX-Pan Am,1-0-0,100.0%,27.5,+3.5
Cal St Nrdge,2-0-0,100.0%,6.5,+6.8
UC Davis,2-0-0,100.0%,7.5,+12.8
NC-Wilmgton,5-0-0,100.0%,5.2,+7.7
Brown,3-0-0,100.0%,9.3,+9.7
Oakland,1-0-0,100.0%,-21.0,+6.5
Arizona,1-0-0,100.0%,32.0,+12.5
Missouri St,1-0-0,100.0%,11.0,+9.0
Toledo,3-0-0,100.0%,-1.7,+2.2
Lamar,1-0-0,100.0%,4.0,+2.0
St. Thomas,2-0-0,100.0%,10.5,+6.0
W Kentucky,3-0-2,100.0%,15.8,+3.8
UC Riverside,4-0-0,100.0%,0.0,+8.5
Oregon St,4-0-0,100.0%,23.4,+11.9
UC Irvine,1-0-0,100.0%,15.0,+14.0
NC-Grnsboro,2-0-0,100.0%,28.0,+10.3
Illinois St,3-0-0,100.0%,13.7,+7.8
Auburn,3-0-1,100.0%,28.3,+6.8
Alabama St,2-0-0,100.0%,0.0,+14.0
CS Bakersfld,2-0-0,100.0%,30.3,+10.3
TX A&M-Com,2-0-0,100.0%,-0.5,+5.0
Furman,7-1-0,87.5%,4.9,+2.3
F Dickinson,6-1-0,85.7%,-0.4,+4.5
Detroit,6-1-0,85.7%,-5.4,+7.4
Drexel,5-1-0,83.3%,-1.0,+3.5
San Francisco,5-1-1,83.3%,13.7,+6.6
St Bonavent,5-1-0,83.3%,12.4,+3.3
Queens,5-1-0,83.3%,8.0,+6.1
UCLA,4-1-0,80.0%,28.8,+6.8
Indiana,4-1-0,80.0%,15.6,+2.7
Yale,4-1-0,80.0%,4.8,+3.3
Central Conn,4-1-0,80.0%,13.5,+9.5
LA Tech,4-1-0,80.0%,3.2,+1.2
Kennesaw St,4-1-0,80.0%,6.7,+5.5
Texas A&M,4-1-0,80.0%,17.8,+2.6
Penn St,4-1-0,80.0%,32.0,+12.0
N Iowa,4-1-0,80.0%,13.0,+6.7
Florida A&M,4-1-0,80.0%,1.8,+0.2
Arizona St,4-1-0,80.0%,14.8,+7.2
