Team,Over Record,Over %,Under %,Total +/-
Queens,25-14-1,64.1%,35.9%,+1.3
Miss Val St,87-57-1,60.4%,39.6%,+4.2
New Orleans,131-87-2,60.1%,39.9%,+2.1
Idaho St,187-130-5,59.0%,41.0%,+4.5
UCSD,34-24-2,58.6%,41.4%,+7.0
S Indiana,26-19-0,57.8%,42.2%,+2.7
Grd Canyon,83-62-0,57.2%,42.8%,+1.1
Le Moyne,12-9-0,57.1%,42.9%,-2.0
SE Missouri,196-149-6,56.8%,43.2%,+3.6
TX A&M-Com,26-20-0,56.5%,43.5%,+4.8
Gard-Webb,87-67-2,56.5%,43.5%,+3.1
North Dakota,125-97-1,56.3%,43.7%,+2.2
NC State,183-143-4,56.1%,43.9%,+1.7
SIU Edward,125-98-4,56.1%,44.0%,+0.5
NC-Asheville,80-63-5,55.9%,44.1%,+2.0
Oakland,149-118-4,55.8%,44.2%,+2.3
Coppin St,78-62-1,55.7%,44.3%,+1.4
Weber St,201-160-3,55.7%,44.3%,+1.9
Lehigh,89-71-1,55.6%,44.4%,+3.6
Kennesaw St,81-65-2,55.5%,44.5%,+1.8
High Point,77-62-2,55.4%,44.6%,+3.0
Iowa,165-133-1,55.4%,44.6%,+2.9
Wright St,191-154-2,55.4%,44.6%,+0.9
F Dickinson,78-63-2,55.3%,44.7%,+3.7
N Colorado,146-118-5,55.3%,44.7%,+2.8
Neb Omaha,96-78-1,55.2%,44.8%,+1.8
Youngs St,177-144-1,55.1%,44.9%,+1.9
Nevada,193-157-3,55.1%,44.9%,+1.7
Florida Intl,172-140-2,55.1%,44.9%,+1.2
TX-Pan Am,70-57-1,55.1%,44.9%,+1.2
U Mass,169-138-3,55.1%,45.0%,+1.8
Norfolk St,77-63-1,55.0%,45.0%,+0.5
SE Louisiana,68-56-0,54.8%,45.2%,+3.1
Lipscomb,89-74-1,54.6%,45.4%,+1.7
CS Bakersfld,78-65-0,54.6%,45.5%,+1.2
Buffalo,184-154-5,54.4%,45.6%,+1.8
Hofstra,209-175-4,54.4%,45.6%,+2.8
Indiana St,187-157-5,54.4%,45.6%,+1.8
Alcorn St,69-58-2,54.3%,45.7%,+1.8
American,84-71-0,54.2%,45.8%,+0.7
Auburn,195-165-2,54.2%,45.8%,+2.0
Texas St,124-105-2,54.2%,45.9%,+1.0
UTSA,124-105-3,54.2%,45.9%,+1.4
Toledo,199-169-3,54.1%,45.9%,+1.2
Radford,80-68-1,54.1%,46.0%,+0.2
Brown,159-136-4,53.9%,46.1%,+1.9
Samford,182-156-4,53.9%,46.2%,+2.2
N Florida,84-72-1,53.9%,46.2%,+1.9
NW State,70-60-3,53.9%,46.2%,+1.4
